Name,Rating,Total Reviews,Address,Website,Phone
Zenit Home,"4,4",,"Budapest, Döbrentei utca 21, 1013",zenithome.hu,06 30 501 7784
Geppetto Belsőépítész Iroda,"4,6",,"Budapest, Pasaréti út 31-I/2, 1026",geppetto.hu,(06 1) 270 0107
Müller Mónika Enteriőr I Lakberendezési stúdió és üzlet,"4,5",,"Budapest, Paulay Ede u. 10, 1061",mullermonika.hu,06 70 625 8537
Ligno Art Kft.,"4,2",,"Budapest, Fő u. 10, 1011",lignoart.hu,06 70 772 8046
Eőry Szilvia - Lakberendező & Belsőépítész,"5,0",,"Budapest, Rákóczi út 20, 1072",eoryszilvia.hu,06 30 974 9051
MádiLáncos Studio Kft.,"4,9",,"Budapest, ZenGarden Irodaház VII. emelet, Horvát u. 14-26, 1027",madilancos.hu,06 30 601 0064
Pivot270 Belsőépítész Stúdió,"4,2",,"Budapest, Ugocsa u. 11, 1126",pivot270.com,(06 1) 616 1608
HBELLORIN - Interior Design and Renovation in Budapest,"5,0",,"Budapest, Andrássy út 45, 1061",hbellorin.com,06 70 523 8635
Laki Adrienn- Lakberendező,"5,0",,"Budapest, Nagyida köz 1, 1112",lakiadrienn.hu,06 20 529 3503
atelierR design studio,"4,8",,"Budapest, Ezredes u. 14, 1024",atelierr.hu,06 20 551 1245
Lehoczky Léna Lakberendező,"4,7",,"Budapest, Böszörményi út 40-5/4, 1126",lehoczkylena.com,06 20 959 9007
Renouveaux Budapest Belsőépítészet Lakásfelújítás,"3,7",,"Budapest, Lánchíd u. 7, 1013",renouveaux.eu,06 30 822 3464
Salt Design,"5,0",,"Budapest, Stollár Béla u. 12C, 1055",saltdesign.hu,06 70 455 0332
"Studio Hannes Építészeti, Belsőépítészeti Tervező és Tanácsadó Kft.","5,0",,"Budapest, Izabella u. 23, 1077",studiohannes.com,06 70 661 4009
BK interior - Balázs Kriszta belsőépítész,"5,0",,,bkinterior.net,06 20 370 8210
Adamdesign Belsőépítész Iroda,"4,9",,"Budapest, Soroksári út 48-Hungária Malomudvar Irodaház, 1095",adamdesignstudio.hu,06 20 969 9388
"Bényei István - építész, belsőépítész","4,9",,"Budapest, Szamóca u. 8/b, 1125",benyei.hu,06 30 931 1613
Manilla.hu,"4,0",,"Budapest, Margit körút 50-52, 1027",manilla.hu,06 30 650 3162
Flat Art 2000 Lakásművészeti Stúdió,"4,6",,"Budapest, Csata u. 17, 1135",flatart.hu,06 20 480 5312
Cadden studio Kft. | Szén Molnár Tamás - belsőépítész,"5,0",,"Budapest, Bartók Béla út 134-I. emelet 8, 1115",szenmolnar.com,06 30 178 9255
"Kun Design - Konyhabútor és Egyedi Bútor, Bútorgyártás, Belsőépítészet, Bútortervezés, Budapest","4,9",,"Budapest, Nyáry Pál u. 6, 1191",kundesign.hu,06 30 563 0129
Art Front Hungary Kft. interior designer atelier,"5,0",,"Budapest, Kis Rókus u. 39/a, 1024",,
SzeRaKo Építész Iroda,"4,6",,"Budapest, Október huszonharmadika u. 25, 1117",szerako.hu,(06 1) 209 3738
Home Design,"4,6",,"Budapest, Márvány u. 46, 1126",homedesignbuda.hu,06 70 369 0952
Dalmoro Magyarország Kft - French/Italian Interior Designer,"5,0",,"Budapest, Soroksári út 44, 1095",dalmoro.co,06 30 605 5552
"Flamingo Home Design - Lakberendező, Belsőépítész Iroda Budapest","5,0",,"Budapest, Ráday u. 54-I./16, 1092",flamingohomedesign.hu,06 20 228 8700
Szabó és Társa Belsőépítészeti Kft | Homlokzati hőszigetelés | Belsőépítészeti tervezés | Festés-Mázolás,"5,0",,"Budapest, Karinthy Frigyes út 44, 1111",szabobelsoepiteszet.hu,06 30 901 8362
Renouveaux Budapest Belsőépítészet Lakásfelújítás,"3,7",,"Budapest, Lánchíd u. 7, 1013",renouveaux.eu,06 30 822 3464
Szűcs Klára Belsőépítész Lakberendező,"4,9",,,szucsklara.hu,06 30 961 3666
Stílusház Kreatív Művészeti Magániskola,"4,5",,"Budapest, Erzsébet krt. 26, 1073",stilushaz.hu,06 30 509 1913
BK interior - Balázs Kriszta belsőépítész,"5,0",,,bkinterior.net,06 20 370 8210
"Kolibri Lakberendezés - Home Staging - Ingatlan felkészítés, konyhatervezés, tanácsadás, komplett tervezés","5,0",,"Budapest, Rózsa u. 2, 1042",gyorslakberendezes.hu,06 70 612 1074
TérÉrzék Design Stúdió - Belsőépítész Iroda,"5,0",,"Budapest, Drégely u. 6-8 B-ép. 401, 1097",tererzek.hu,06 70 518 2515
"T1 STUDIO - Architecture and Interior design - Budapest, Hungary","5,0",,"Budapest, Csörsz u. 7, 1123",t1studio.hu,06 30 277 1045
Lakberendező,"5,0",,"Budapest, Falk Miksa u. 3, 1055",lakberendezo.hu,06 70 426 2522
Arch3.Design &Architecture -HU,"5,0",,"Budapest, Szervita tér 8, 1052",arch3.design,
"Archidea építésziroda - építészeti és belsőépítészeti tervezés, tanácsadás","4,9",,"Budapest, Bécsi út 321, 1037",archidea.hu,06 70 617 5906
"ANGELIKA MUHLY INTERIORS - Muhly Angelika lakberendező, Muhly Kft.","5,0",,"Budapest, Endrődi Sándor u. 44a, 1026",angelikamuhly.com,06 20 418 6712
Nemes Tér Stúdió,"5,0",,"Budapest, Árpád út 56, 1041",,06 20 525 2606
Manooi,"4,8",,"Budapest, Apostol u. 13b, 1023",manooi.com,(06 1) 336 2690
Konkrét Stúdió Építészeti Kft.,"5,0",,"Budapest, Szalag u. 4, 1011",konkretstudio.hu,06 30 479 8345
Zsámbéki Anna,"5,0",,"Budapest, Logodi u. 51, 1012",,06 20 320 7937
KEMABO belsőépítészet,"4,5",,"Budapest, Bojtár u. 37, 1037",kemabo.hu,(06 1) 453 3180
Fines Finium Studio építésziroda,"5,0",,"Budapest, Etele út 26, 1119",ffstudio.hu,06 20 508 0878
