Name,Rating,Total Reviews,Address,Website,Phone
Beatadesign Lakberendezés & Karrier Program,"4,9",,,beatadesign.hu,06 70 220 0026
Adamdesign Belsőépítész Iroda,"4,9",,"Budapest, Soroksári út 48-Hungária Malomudvar Irodaház, 1095",adamdesignstudio.hu,06 20 969 9388
Geppetto Belsőépítész Iroda,"4,6",,"Budapest, Pasaréti út 31-I/2, 1026",geppetto.hu,(06 1) 270 0107
Eőry Szilvia - Lakberendező & Belsőépítész,"5,0",,"Budapest, Rákóczi út 20, 1072",eoryszilvia.hu,06 30 974 9051
Cserépkályha Varga Zoltán,"4,8",,"Budapest, Ihász köz 4, 1105",cserepkalyha-keszites.com,06 30 251 1465
Mobilia-Artica Kft.,"4,3",,"Budapest, Maglódi út 55, 1106",,
Zenit Home,"4,4",,"Budapest, Döbrentei utca 21, 1013",zenithome.hu,06 30 501 7784
"DD Interior Studió - Belsőépítész, lakberendező","4,5",,"Budapest, Szabolcs u. 18.sz, 1113",dorolakberendezes.hu,06 30 255 2479
"SA-FA Design Belsőépítészet, irodabútor, üzletberendezés, egyedi bútorgyártás","5,0",,"Budapest, Keresztúri út 208, 1106",sa-fa.hu,(06 1) 264 2500
Laki Adrienn- Lakberendező,"5,0",,"Budapest, Nagyida köz 1, 1112",lakiadrienn.hu,06 20 529 3503
HBELLORIN - Interior Design and Renovation in Budapest,"5,0",,"Budapest, Andrássy út 45, 1061",hbellorin.com,06 70 523 8635
Ligno Art Kft.,"4,2",,"Budapest, Fő u. 10, 1011",lignoart.hu,06 70 772 8046
"Flamingo Home Design - Lakberendező, Belsőépítész Iroda Budapest","5,0",,"Budapest, Ráday u. 54-I./16, 1092",flamingohomedesign.hu,06 20 228 8700
Lakberendezés,,,"Budapest, Várgede u. 17, 1103",,06 20 391 2438
Pallasz Enteriőr Kft.,"4,1",,"Budapest, Jászberényi út 29, 1106",muanyag-ablak-akcio.hu,06 30 998 1632
Bútor építő,"5,0",,"Budapest, Keresztúri út 190, 1106",butorepito.hu,(06 1) 264 2585
Cadden studio Kft. | Szén Molnár Tamás - belsőépítész,"5,0",,"Budapest, Bartók Béla út 134-I. emelet 8, 1115",szenmolnar.com,06 30 178 9255
TérÉrzék Design Stúdió - Belsőépítész Iroda,"5,0",,"Budapest, Drégely u. 6-8 B-ép. 401, 1097",tererzek.hu,06 70 518 2515
Etna Trade Kft,"4,7",,"Budapest, Gyömrői út 132-136, 1103",etnakft.hu,(06 1) 433 4031
Szűcs Klára Belsőépítész Lakberendező,"4,9",,,szucsklara.hu,06 30 961 3666
Lakberendező,"5,0",,"Budapest, Falk Miksa u. 3, 1055",lakberendezo.hu,06 70 426 2522
