Name,Rating,Total Reviews,Address,Website,Phone
"Karika Klíma - Klíma Ajka, Fűtés - Hűtés Ajka, Klíma telepítés Ajka",,,"Ajka, Tálas utca 16, 8400",karikaklima.hu,06 20 566 6296
Kazán-Ház,"4,5",,"Ajka, Ipari park északi szektor, 8400",kazan-haz.hu,06 30 510 8778
Speciál Kft. Villamossági és Klíma Szaküzlet,"4,6",,"Albertirsa, Köztársaság u. 33, 2730",users.atw.hu,
Házhálózat Kft,"5,0",,"Albertirsa, Levendula utca 17, 2730",klima-peti.hu,06 20 204 6685
Gér-Therm Kft.,"4,6",,"Albertirsa, Szentmártoni út 21, 2730",gertherm.hu,(06 53) 370 184
Szerelvény Szaküzlet Pn Klíma Kft,"4,7",,"Baja, Tél u. 100, 6500",facebook.com,06 30 159 0023
KLÍMAPONT - Minker Kft.,"4,0",,"Baja, Szegedi út 113, 6500",klimapont.hu,(06 79) 420 300
"Haász Balázs Pál E.v. - Klíma szerelés Baja , Klíma karbantartás Baja","5,0",,"Baja, Béla király u. 4, 6500",facebook.com,06 70 329 1213
COOL-TESZO Kft.,"4,2",,"Baja, Neumann János utca 2, 6500",coolteszo.hu,(06 79) 323 198
Juhász Hűtés és Klímatechnika,"3,7",,"Baja, Bercsényi Miklós u. 18, 6500",,06 30 635 2828
Gienger Hungária Épületgépészeti Kft.,"4,9",,"Baja, Keleti krt. 2, 6500",gienger.hu,06 30 866 4787
"Point S Gumiszerviz - Radial Trade Kft. - gumijavítás, gumieladás, autóklíma","4,6",,"Baja, Dózsa György út 64, 6500",radialtrade.hu,(06 79) 326 495
Kohl Trade Kft.,"4,8",,"Baja, Dózsa György út 157, 6500",,06 30 608 2503
Klímaszerelés Balassagyarmat,"5,0",,"Balassagyarmat, Madách Imre utca 9, 2660",klimaszereles-balassagyarmat.hu,06 20 313 4341
"DDL Cool 2014 Kft. Klíma-Klímaszerelés és Légkondicionáló, hőszívattyú","4,5",,"Balassagyarmat, Kóvári út 7/A, 2660",ddlcool.hu,06 20 941 1160
Tom-Klíma 2005 Kft.,"5,0",,"Balassagyarmat, Bíró János u. 16, 2660",ceginformacio.hu,(06 29) 435 881
Nógrádklíma,,,,nogradklima.hu,06 70 770 5505
Lámpafutár - Villamossági Üzlet (Csábi István EV.),"5,0",,"Balassagyarmat, Kossuth Lajos út 70, 2660",,06 20 804 1805
Balcsi Klíma,"5,0",,"Balatonfüred, Garay János u. 2, 8230",balcsiklima.hu,06 30 350 7368
Völcsey Hőtech Kft.,"5,0",,"Balatonfüred, Öreghegyi u. 38, 8230",volcseykft.hu,06 20 376 7775
Klíma-Fore Bt.,"5,0",,"Balatonfüred, Füredi út 3, 8230",,06 30 994 6056
Szerelvenybolt.hu (Debrecen),"4,8",,"Debrecen, Rigó u. 4/b, 4030",szerelvenybolt.hu,06 30 894 1473
