Name,Rating,Total Reviews,Address,Website,Phone
Szerelvenybolt.hu (Debrecen),"4,8",,"Debrecen, Rigó u. 4/b, 4030",szerelvenybolt.hu,06 30 894 1473
Bé-Da Klíma,"5,0",,"Debrecen, Apafája u 11, 4033",béda-klíma.hu,06 50 129 3339
Kiss Műszaki Bolt és Háztartási Gép Szerviz,"4,9",,"Balmazújváros, Debreceni u. 35, 4060",,06 30 229 1317
Ki-Therm Épületgépészeti Kft.,"3,0",,"Balmazújváros, Debreceni u. 22, 4060",,(06 52) 240 033
King Klíma Kft.,"2,2",,"Debrecen, Hársfavirág u 5, 4032",,06 30 952 8129
"Klímaflex Kft. Klíma, klímaszerelés, telepítés - Debrecen,","5,0",,"Debrecen, Hadházi út 17, 4028",klimaflexdebrecen.hu,06 30 319 6371
Cívis klíma,"4,9",,"Debrecen, Bem tér 11, 4026",civisklima.hu,06 20 471 7554
"KlimaTech Debrecen - Klímaszerelés, Klíma karbantartás, Klíma javítás, Eladás","5,0",,"Debrecen, Simonffy u. 4.-6. Fsz./41, 4025",klimatechdebrecen.hu,06 20 310 1307
"Hajdú-Bihar Klíma, Klímaszerelés és Szervíz","5,0",,"Debrecen, Kard u 16, 4033",hajdubiharklima.hu,06 30 308 3849
Cívis Solar Hungária Kft.,"4,6",,"Debrecen, Vámraktár u., 4030",civissolar.hu,06 30 218 8888
Kőnig-Trade Kft.,,,"Balmazújváros, Böszörményi út 59, 4060",konigtrade.hu,(06 52) 370 403
DA Klíma Kft.,"5,0",,"Debrecen, Kassai út 47, 4028",daklima.hu,06 20 399 6050
Klíma Centrum Debrecen,"5,0",,"Debrecen, Monostorpályi út 28, 4030",cool-sat.hu,06 20 234 5624
Klíma Doki Kft.,"4,8",,"Debrecen, Galamb u. 19, 4030",klimadokikft.hu,06 30 522 8946
Hajdú-Bihar Megyei Temetkezési Vállalat,"5,0",,"Balmazújváros, Csegei utca, 4060",hbmtemetkezes.hu,(06 52) 370 052
