Name,Rating,Total Reviews,Address,Website,Phone
Klímaszerelés,,,"Szeged, Űrhajós u., 6723",,06 70 383 2180
Tisza Klíma - Szeged,"4,3",,"Szeged, Hont Ferenc u. 5, 6723",tiszaklima.hu,06 30 262 8669
Monaco Klíma Kft.,"4,9",,"Szeged, Algyői út 53/A, 6727",monaco-klima.hu,06 20 937 3090
P&P klíma kft. - Szeged,"5,0",,"Szeged, Róna u. 27, 6723",ppklima.hu,06 70 243 5222
teleklima.hu ( GREE márkaképviselet ),"5,0",,"Szeged, Bálint Sándor u. 18/b, 6724",teleklima.hu,06 70 977 7888
klimamago.hu - Szeged klíma telepítés és szerviz,"5,0",,"Szeged, 6724",klimamago.hu,06 70 236 2029
Tisza Cool Klíma Kft.,,,"Szeged Sárosi utca 2.10 em/60 ajtó, 6724",tiszacoolklima.hu,06 70 234 9932
Dél-Alföldi Klíma Kft - Szeged - Bemutatóterem,"4,9",,"Szeged, Kossuth Lajos sgrt. 45. fsz. 1, 6724",delklima.hu,06 70 434 3879
Körös Klíma (Körös-Airconditional Kft.),"4,5",,"Békéscsaba, Mikszáth u. 49, 5600",korosklima.hu,06 30 349 1702
Alfa-Klíma Kft.,"4,6",,"Szeged, Kossuth Lajos sgrt. 72/E, 6724",alfa-klima.hu,(06 62) 950 335
Klíma Konstrukt-Gree Klíma Értékesítés,"5,0",,"Szeged, Bérkert u. 74.3, 6726",klimakonstrukt.hu,06 70 227 7234
BELUK Klímatechnika,,,"Békéscsaba, Báthori u. 23/1, 5600",beluk.hu,06 70 946 7216
"Napfény Klíma - Klíma értékesítés , karbantartás (Gree , Midea , Aux , Polar , Lg )","5,0",,"Szeged, Mérey u. 6/b, 6722",szegedklimaszerelo.hu,06 20 228 1400
BARANYI Hűtéstechnika és Klímatechnikai Készülékgyártó és Szerviz Kft.,"4,9",,"Hódmezővásárhely, Mester u. 1f, 6800",baranyihutestechnika.hu,06 30 228 8006
CsT-Klíma Kft.,"4,9",,"Békéscsaba, Gajdács u. 14, 5600",cstklima.hu,06 20 937 6511
"DRZ Klíma Kft. - Klíma Beszerelés és Inverteres Klíma, Hűtő Fűtő Klíma, Split Klíma, Szeged, Szeged Klíma","4,8",,"Szeged, Fonógyári út 8, 6728",drzklima.com,06 30 504 4886
EP Hűtő- és klímatechnika kis- és nagykereskedés,"4,9",,"Békéscsaba, Kölcsey u. 17, 5600",ephutoklima.hu,06 20 408 4401
Bakonyi Hűtő és Klímatechnika Kft. Hűtőkamra Építés,"3,7",,"Újkígyós, Arany János u. 93, 5661",bakonyiklima.hu,06 30 983 3732
Cryo-klíma (Krio-klíma),"5,0",,"Békéscsaba, Lencsési út 58, 5600",cryo-klima.hu,06 70 945 2234
"Frankó Klíma Kft. - Hőszivattyú és Klíma Telepítés, Klímaszerelés, Klíma Tisztítás, Légtechnika","5,0",,"Békéscsaba, Temesvári u. 3, 5600",frankoklima.hu,06 20 804 7066
"Frankó Klíma Kft. - Hőszivattyú és Klíma Telepítés, Klímaszerelés, Klíma Tisztítás, Légtechnika","5,0",,"Békéscsaba, Temesvári u. 3, 5600",frankoklima.hu,06 20 804 7066
Körös Klíma Kft.,"5,0",,"Békéscsaba, Bartók Béla út 18, 5600",korosklima.hu,06 70 886 7080
Békés Energetika Kft. békésklíma.hu,"4,9",,"Békés, Szélső u. 41, 5630",bekesklima.hu,06 70 338 7214
Klímabetyár -eKM-Car Kft,"5,0",,"Békéscsaba, Temesvári u. 19, 5600",,06 30 412 7922
Juhász Hűtő Kft.,"5,0",,"Békéscsaba, Zrínyi u. 5, 5600",,06 70 559 6462
Cool Airconditional Kft.,"4,3",,"Békéscsaba, Laktanya utca 2, 5600",coolklima.hu,(06 66) 448 445
Klíma Csabaklíma Kft.,"4,2",,"Békéscsaba, Zöldfa u. 14, 5600",,06 70 314 0223
Optterm Kft.,"4,6",,"Békéscsaba, Gázkészülék és alkatrész szaküzlet, Berényi út 99, 5600",optterm.hu,(06 66) 430 302
Gépész Szakáruház - Plan Zrt.,"4,7",,"Szeged, Dorozsmai út 12, 6728",gepesz.hu,(06 62) 998 480
Liker és Társa Kft.,"4,9",,"Békéscsaba, Urszinyi Dezsőné u. 33, 5600",,(06 66) 442 898
Warm-Art kft elektromos fűtés,"5,0",,"Békéscsaba, Bartók Béla út 14, 5600",warmart.hu,06 70 886 0235
Gree Magyarország,"4,0",,"Szarvas, Arborétum u. 2, 5540",gree-magyarorszag.hu,(06 66) 514 680
