Name,Rating,Total Reviews,Address,Website,Phone
BB Klímatechnika,"5,0",,,facebook.com,06 30 512 3837
"Szaniter és Klíma Center , RMG","4,8",,"Budapest, Arany János u. 48, 1221",szaniteresklimacenter.hu,06 30 815 9597
Bella Team Kft.,"4,9",,,bellaklima.hu,06 70 623 7530
HFC Termo Bt,"5,0",,"Budapest, Albán u. 24, 1163",vizgazklima.hu,06 30 942 1590
Budai Hűtéstechnika Kft. - BudaKlíma - klímaszerelés és karbantartás,"4,9",,"Budapest, Alabástrom u. 45, 1116",budaklima.hu,06 20 404 0404
Klíma szerelés,,,"Budapest, Fodros u., 1039",klima-master.hu,06 20 925 9686
"Cityklima.hu Klímaszerelés, karbantartás Budapesten és környékén Garanciával","4,9",,"Budapest, Nagysándor József u. 69, 1201",cityklima.hu,06 20 989 7233
Skorpioklíma (Skorpió King Kft.),"4,9",,"Budapest, Összekötő u. 4, 1173",skorpioklima.hu,06 70 779 0190
(Equinoxe) Beijer Ref Hungary Kft. Budai üzlete Budapest XI. ker. Etele út 30. Üzletünk a Gubacsi út 24 sz. alá költözött.,"5,0",,"Budapest, Etele út 30, 1119",,06 30 989 2558
Első Hókristály Kft.,"4,7",,"Gödöllő, Rét u. 2, 2100",,(06 28) 513 736
Klímaszerelés,"5,0",,"Budapest, II. Rákóczi Ferenc út 266/C, 1214",klimaszerelo-budapest.hu,06 70 907 0178
Klímaszerelés,,,"Budapest, Ond vezér útja 5-7, 1144",klima-szereles.eu,06 70 235 5012
Fűtés klímával,,,,klimas-futes.hu,
Klíma javítás Budapest,,,"Budapest, Havanna u. 1, 1181",klima-javitas-budapest.hu,06 20 611 8463
Polar Klíma,"3,8",,,polarklima.hu,06 20 940 9401
"Turul klíma és légtechnika, GLS csomagpont","4,9",,"Tatabánya, Szabadság tér 2, 2800",turulklima.hu,(06 34) 483 819
