Name,Rating,Total Reviews,Address,Website,Phone
Klíma Zone Hűtéstechnika Kft.,"5,0",,"Budapest, Gyertyaláng köz 3, 1044",klimazone.hu,06 30 836 1446
"Szerelvenybolt.hu (Bp, Klapka u. 9.)","4,9",,"Budapest, Klapka u. 9, 1134",szerelvenybolt.hu,06 30 501 9522
Daikin Klímatechnika,"5,0",,"Budapest, Frankel Leó út 98, 1023",facebook.com,06 30 269 6969
Freezer Klíma,"5,0",,"Budapest, Pázsit u. 2, 1026",freezerklima.hu,06 20 979 7798
Thermonet Kft. - Villamossági - Klíma - Kazán áruház,"3,5",,"Budapest, Hidegkúti út 283, 1028",,06 70 703 8112
Pasarét Klíma,,,"Budapest, Guyon köz 5, 1026",pasaretklima.hu,06 20 362 6566
Klíma Szerelve Webáruház,"5,0",,"Budapest, Lehel u 7/B, 1134",yesklima.hu,06 30 682 5559
ColdKlíma.hu - Klímaszerelés Budapest és Pest megye,"4,6",,"Budapest, Victor Hugo u. 11, 1132",coldklima.hu,06 70 207 0266
Klímaszerelőnk - Klíma és hőszivattyú szerelés,,,"Budapest, Nagyenyed u. 11, 1132",klimaszerelonk.hu,06 30 623 8903
Northwind Hűtéstechnika Kft,,,"Budapest, Rőzse u. 7, 1125",northwind.hu,06 70 409 9760
"Ozopa Klíma - Klímaszerelés és Klíma Karbantartás, Klímatisztítás, Inverteres Klíma, Budapest","5,0",,"Budapest, Erdőalja út 178/A, 1037",ozopaklima.hu,06 30 622 6036
Klíma Hungary Kft.,"4,8",,"Budapest, Lóránt út 24/A, 1125",klimahungary.hu,06 70 626 3477
P&P klíma kft. - Budapest,"4,9",,"Budapest, Hegedűs Gyula u. 52/A, 1133",ppklima.eu,06 70 243 5222
KlímaRutin klíma és légtechnikai szaküzlet Pet Store Hungary Kft.,"5,0",,"Budapest, Toborzó udvar 3, 1138",klimarutin.hu,06 20 425 5628
Szanyó Hűtő- és Klímatechnika Kft.,"5,0",,"Budapest, Kocsis Sándor út 54, 1037",szanyo.eu,06 21 234 7910
N&Sz Klíma,,,"Budapest, Frangepán u. 61, 1135",facebook.com,06 20 529 3505
Ferenczi Épületgépészeti Kft.,"4,2",,"Budapest, Hidegkúti út 138, 1021",ferencziepuletgepeszet.hu,(06 1) 700 3500
Klima Kft.,"4,3",,"Budapest, Reitter Ferenc u. 132, 1131",klima.hu,(06 1) 666 7001
Jégveled klíma kft,"4,9",,"Budapest, Turbina u. 6, 1138",jegveledklima.hu,
Klíma hőszivattyú Budapest - H2 Station,"5,0",,"Budapest, Damjanich u. 17-1/2, 1071",legkondicionalok.hu,06 70 778 8700
