Name,Rating,Total Reviews,Address,Website,Phone
"Szerelvenybolt.hu (Bp, Klapka u. 9.)","4,9",,"Budapest, Klapka u. 9, 1134",szerelvenybolt.hu,06 30 501 9522
Klíma Zone Hűtéstechnika Kft.,"5,0",,"Budapest, Gyertyaláng köz 3, 1044",klimazone.hu,06 30 836 1446
MasterCold klímatechnika - Klímaszerelés és karbantartás Budapest,"5,0",,"Budapest, Királyok útja 210, 1039",mastercold.hu,06 20 544 4757
Frozen Air Klíma Webshop,"5,0",,"Budapest, Szent István u. 3, 1039",frozenair.hu,06 70 381 3960
Klimasarok.hu,"5,0",,"Budapest, Hímző u. 2, 1039",klimasarok.hu,06 70 220 1595
"Ozopa Klíma - Klímaszerelés és Klíma Karbantartás, Klímatisztítás, Inverteres Klíma, Budapest","5,0",,"Budapest, Erdőalja út 178/A, 1037",ozopaklima.hu,06 30 622 6036
SHR Klímatechnika Kft,"5,0",,"Budapest, Szentendrei út 335./A, 1039",shrgroup.hu,06 70 638 8408
Jtn Kft.,"4,0",,"Budapest, Szentendrei út 250, 1038",,(06 1) 368 7892
Zsákovics Klíma,,,"Budapest, Harang u., 1031",zsakovicsklima.hu,06 50 123 0609
Klíma szerelés,,,"Budapest, Fodros u., 1039",klima-master.hu,06 20 925 9686
Invert Klíma,"5,0",,"Budapest, Czetz János u. 1, 1039",,06 20 968 3036
Szanyó Hűtő- és Klímatechnika Kft.,"5,0",,"Budapest, Kocsis Sándor út 54, 1037",szanyo.eu,06 21 234 7910
Unió Klíma Kft.,,,"Budapest, Zab u. 8, 1033",unio-klima.hu,(06 1) 240 2240
Tarcali Klíma Kft.,"5,0",,"Budapest, József Attila u. 23, 1039",tarcaliklima.hu,(06 1) 240 1500
Gáz-Klíma-Centrum,"3,3",,"Budapest, Szentendrei út 250, 1038",gaz-klima-centrum.hu,06 30 931 9060
Galsystem Bt.,"5,0",,"Budapest, Monostori út 49, 1031",otthonfejlesztes.hu,06 20 334 4668
KLIMA Centrum Kft.,"3,0",,"Budapest, Szentendrei út 141, 1031",klimacentrum.hu,(06 1) 367 1626
Optimum Klíma Kft,"4,6",,"Budapest, Pünkösdfürdő u. 52-54, 1039",optimumklima.hu,06 70 341 6870
KlímaRutin klíma és légtechnikai szaküzlet Pet Store Hungary Kft.,"5,0",,"Budapest, Toborzó udvar 3, 1138",klimarutin.hu,06 20 425 5628
Novospectrum Kft.,"4,3",,"Budapest, Szentendrei út 89-95, 1033",,
Oktoklima Kft.,"5,0",,"Budapest, Királyok útja 27, 1039",oktoklima.hu,
Bertalan Klíma Kft.,,,"Budapest, Vöröskereszt u. 14, 1033",bertalan-klima.hu,(06 1) 388 3157
CKK Klíma Kft.,"4,7",,"Budapest, Bivalyos u. 23, 1039",autoklima-javitas.hu,06 30 954 6474
Fairtech Kft.,"4,6",,"Budapest, Bécsi út 176b, 1032",fairtech.hu,(06 1) 402 4780
Ferenczi Épületgépészeti Kft.,"4,7",,"Budapest, Szentendrei út 259, 1038",ferencziepuletgepeszet.hu,(06 1) 700 3500
Atlantisz Klíma Bt.,"4,6",,"Budapest, Vasvári Pál u. 1, 1155",atlantiszklima.hu,(06 1) 416 1057
Klima Kft.,"4,3",,"Budapest, Reitter Ferenc u. 132, 1131",klima.hu,(06 1) 666 7001
Klíma Tech,"4,5",,"Budapest, Béke tér, 1139",klima-tech.hu,06 20 217 8178
Rcool klíma,"4,0",,"Budapest, Bőröndös u., 1044",,06 70 943 4372
Gabi Gumi - Gumiszerviz + Klíma szerviz + Szélvédő javító,"4,6",,"Budapest, Unnamed Road, 1033",sites.google.com,06 20 625 1511
(Equinoxe) Beijer Ref Hungary Kft Észak-Pesti üzlete,"4,9",,"Budapest, Kiss Ernő u. 3, 1046",,06 30 628 3902
Fábián Group Kft.,"3,7",,"Budapest, Bőröndös u. 14, 1048",fabianklima.hu,
Profi klímaszerelés,,,"Budapest, Csongor u. 24, 1139",profiklimatisztitas.hu,06 20 943 8440
N&Sz Klíma,,,"Budapest, Frangepán u. 61, 1135",facebook.com,06 20 529 3505
Jégverem Klíma Kft.,"3,6",,"Budapest, Telepes u. 65, 1147",jegveremklima.hu,06 20 360 6639
Jégveled klíma kft,"4,9",,"Budapest, Turbina u. 6, 1138",jegveledklima.hu,
H&G Klímatechnika Kft,"5,0",,"Budapest, Vácduka tér 29, 1151",handgklimatechnika.hu,06 20 414 6806
Inviair Kft.,"3,7",,"Budapest, Pintér József u. 42, 1044",inviair.hu,06 20 316 8500
ColdKlíma.hu - Klímaszerelés Budapest és Pest megye,"4,6",,"Budapest, Victor Hugo u. 11, 1132",coldklima.hu,06 70 207 0266
Frigid Bt,"4,2",,"Budapest, Szentendrei út 29, 1035",hutogepalkatresz.hu,(06 1) 453 3398
Klíma Szerelve Webáruház,"5,0",,"Budapest, Lehel u 7/B, 1134",yesklima.hu,06 30 682 5559
Korona Klíma,"4,2",,"Budapest, Váci út 47/b, 1134",koronaklima.hu,06 70 200 1371
Mindigklíma - Mindig Plusz Kft. - Klímaszerelés,"5,0",,"Budapest, Pöltenberg Ernő u. 118, 1154",mindigklima.hu,06 20 450 8402
Klíma karbantartás Budapest,"5,0",,"Budapest, Bogáncs u. 6, 1151",klimakarbantartasbudapest.hu,06 30 773 6439
Intelligens Fűtőfólia,"5,0",,"Budapest, Rákóczi u. 4, 1039",futofolia.hu,06 20 400 7400
Ózon Klímatechnikai Kft.,"3,0",,"Budapest, Reitter Ferenc u. 132, 1131",ozon.hu,(06 1) 666 7050
Hi-Trade-Sense Magyarország Kft. ( Hisense ),"1,0",,"Budapest, Lomb u. 15, 1139",hisense-klima.hu,06 30 432 0234
Klíma-Express Kft.,"4,1",,"Budapest, Bodza u. 2, 1104",klimaexpress.hu,(06 1) 260 3950
Klíma szerviz,"3,0",,"Budapest, Zsókavár u., 1157",klimaszerviz-budapest.hu,(06 1) 210 0206
Elektrodirekt Kft.,"4,8",,"Budapest, Kiskorona u. 8, 1036",elektrodirekt.hu,06 70 674 0385
PestKlíma Kft.,"4,4",,"Budapest, Patyolat u. 48, 1155",pestklima.hu,06 20 610 6000
HELLOKLIMA.COM,"4,3",,"Budapest, Fehér út 10, 1106",helloklima.com,06 70 233 3760
P&P klíma kft. - Budapest,"4,9",,"Budapest, Hegedűs Gyula u. 52/A, 1133",ppklima.eu,06 70 243 5222
"KlímaNord akciós klímák szereléssel együtt, egyéb költség nélkül.","3,9",,"Budapest, Rákosi út 233, 1162",klimanord.hu,06 30 632 0721
Klíma Online Kft.,"5,0",,"Budapest, Jávorka Ádám u. 63a, 1147",klima-online.hu,06 30 445 5111
X-KLÍMA,"4,6",,"Budapest, Veres Péter út 51, 1163",x-klima.hu,06 30 620 7119
Klíma hőszivattyú Budapest - H2 Station,"5,0",,"Budapest, Damjanich u. 17-1/2, 1071",legkondicionalok.hu,06 70 778 8700
Cool Airconditional Kft.,"4,8",,"Budapest, Öv u. 187, 1147",coolklima.hu,(06 1) 272 1740
Klíma-24.hu Webáruház,"4,4",,"Budapest, Arany János u. 53, 1165",klima-24.hu,06 30 870 0280
Óbudai gumiszerviz,"4,2",,"Budapest, Kunigunda útja 52/a, 1037",obudaigumiszerviz.hu,06 20 965 2306
DepoStore - Óbudai Áruház,"4,3",,"Budapest, Bécsi út 170, 1037",depostore.hu,06 70 672 8008
