Name,Rating,Total Reviews,Address,Website,Phone
"Műszakiworld online webshop- Légkondicionáló, klíma berendezések, Zuhanykabinok, Csaptelep","3,5",,"Budapest, Petőfi u. 18, 1042",muszakiworld.hu,(06 1) 793 5754
Inviair Kft.,"3,7",,"Budapest, Pintér József u. 42, 1044",inviair.hu,06 20 316 8500
(Equinoxe) Beijer Ref Hungary Kft Észak-Pesti üzlete,"4,9",,"Budapest, Kiss Ernő u. 3, 1046",,06 30 628 3902
klima újpest,"5,0",,"Budapest, Lebstück Mária u. 59, 1042",klimaujpest.hu,06 70 287 2121
Klima Ideal,"5,0",,"Budapest, József Attila u. 18, 1042",klimaideal.hu,06 30 287 5258
IT klíma,"5,0",,"Budapest, Árpád út 7-11, 1042",it-klima.hu,06 20 375 7283
Klíma-ász,"4,6",,"Budapest, Árpád út 162, 1041",klima-asz.hu,06 70 771 7810
Klímád.hu,"5,0",,"Budapest, Lóverseny tér 6, 1048",klimad.hu,06 20 416 5625
GaraKlíma,,,"Budapest, Virág u. 37, 1042",,06 20 598 9098
Rcool klíma,"4,0",,"Budapest, Bőröndös u., 1044",,06 70 943 4372
Megyer Klíma Kft.,"4,6",,"Budapest, Szondi u. 41, 1044",megyerklima.hu,06 70 421 8524
Rapidat Fix Kft,"2,3",,"Budapest, Jókai u. 6, 1042",ujklima.hu,06 70 632 8899
Energy Save Hőszivattyú Kft.,"4,1",,"Budapest, Baross u. 79-89, 1047",eshoszivattyu.hu,06 70 946 7215
Fábián Group Kft.,"3,7",,"Budapest, Bőröndös u. 14, 1048",fabianklima.hu,
ALL Time Kft,,,"Budapest, Szilágyi u. 30, 1041",,06 20 911 7953
Frozen Air Klíma Webshop,"5,0",,"Budapest, Szent István u. 3, 1039",frozenair.hu,06 70 381 3960
Gabi Autó Klíma Szervíz - újpest,"4,9",,"Budapest, Reviczky u. 25, 1047",,06 20 625 1511
Skorpioklíma (Skorpió King Kft.),"4,9",,"Budapest, Összekötő u. 4, 1173",skorpioklima.hu,06 70 779 0190
HB Klíma Kft,"5,0",,"KHB Klíma Kft, Budapest I. raktár: 1097 Budapest, Gubacsi út 30, Csurgói út 22-32, 1119",khbklima.com,06 20 965 3714
Rezsinullázó Kft.- Napelem Hőszivattyú Fűtés,,,"Budapest, Csányi László u. 34, 1043",rezsinullazo.hu,06 30 898 0999
KlímaRutin klíma és légtechnikai szaküzlet Pet Store Hungary Kft.,"5,0",,"Budapest, Toborzó udvar 3, 1138",klimarutin.hu,06 20 425 5628
Klima Kft.,"4,3",,"Budapest, Reitter Ferenc u. 132, 1131",klima.hu,(06 1) 666 7001
Autóklíma Újpest,"4,5",,"Budapest, Klauzál u. 9, 1046",autoklimaujpest.hu,06 20 313 5159
Klíma-24.hu Webáruház,"4,4",,"Budapest, Arany János u. 53, 1165",klima-24.hu,06 30 870 0280
Faktor Vállalkozási Iroda Kft.,"4,8",,"Budapest, Pesti út 9, 1173",faktoraruhaz.hu,(06 1) 253 0394
Pannon-klímatech Kft.,"4,3",,"Budapest, Üllői út 545, 1182",pannonklima.hu,(06 1) 295 0296
HELLOKLIMA.COM,"4,3",,"Budapest, Fehér út 10, 1106",helloklima.com,06 70 233 3760
KLIMA Centrum Kft.,"3,0",,"Budapest, Szentendrei út 141, 1031",klimacentrum.hu,(06 1) 367 1626
Gáz-Klíma-Centrum,"3,3",,"Budapest, Szentendrei út 250, 1038",gaz-klima-centrum.hu,06 30 931 9060
