Name,Rating,Total Reviews,Address,Website,Phone
Toma Klíma Kft.,"4,6",,"Budapest, Páskomliget utca 23, 1156",tomaklima.hu,06 30 378 9904
Klíma Zone Hűtéstechnika Kft.,"5,0",,"Budapest, Gyertyaláng köz 3, 1044",klimazone.hu,06 30 836 1446
"Klíma tisztítás telepítés, villanyszerelés","5,0",,"Budapest, Jókai tér 6, 1061",,06 20 929 3353
Favorit Klímatechnika,"5,0",,"Budapest, Bajnok u. 15, 1063",favorit-klimatechnika.hu,06 70 938 4812
Klíma Szerelve Webáruház,"5,0",,"Budapest, Lehel u 7/B, 1134",yesklima.hu,06 30 682 5559
Épületgépészet 0-24h (klíma - víz - gáz - fűtés - villanyszerelés),,,"Budapest, Munkácsy Mihály u. 23-3.em, 1063",,06 30 655 6437
Klíma hőszivattyú Budapest - H2 Station,"5,0",,"Budapest, Damjanich u. 17-1/2, 1071",legkondicionalok.hu,06 70 778 8700
ColdKlíma.hu - Klímaszerelés Budapest és Pest megye,"4,6",,"Budapest, Victor Hugo u. 11, 1132",coldklima.hu,06 70 207 0266
Meretei Klíma Kft,,,"Budapest, Lehel u 14, 1134",,06 70 618 5713
P&P klíma kft. - Budapest,"4,9",,"Budapest, Hegedűs Gyula u. 52/A, 1133",ppklima.eu,06 70 243 5222
Profi klímaszerelés,,,"Budapest, Csongor u. 24, 1139",profiklimatisztitas.hu,06 20 943 8440
Klímaszerelés,,,"Budapest, Aulich u., 1193",klima-szereles.eu,06 70 235 5012
N&Sz Klíma,,,"Budapest, Frangepán u. 61, 1135",facebook.com,06 20 529 3505
Klímaszerelőnk - Klíma és hőszivattyú szerelés,,,"Budapest, Nagyenyed u. 11, 1132",klimaszerelonk.hu,06 30 623 8903
SolarKit - Wosser - Napelem.Klíma.Hőszivattyú.Nagykereskedés.,"4,8",,"Budapest, Bihari János u. 13, 1055",solar-kit.hu,06 70 771 2983
Klima Selection,,,"Budapest, Pétervárad u. 5, 1145",,06 30 933 1560
Paksi-Klíma Kft.,"4,0",,"Budapest, Nagysurány u. 10, 1117",,(06 1) 203 0371
KlímaRutin klíma és légtechnikai szaküzlet Pet Store Hungary Kft.,"5,0",,"Budapest, Toborzó udvar 3, 1138",klimarutin.hu,06 20 425 5628
SCOP Klíma KFT.,"4,0",,"Budapest, Berzenczey u. 33, 1094",klimaszalon.hu,06 70 339 8186
