Name,Rating,Total Reviews,Address,Website,Phone
Klíma hőszivattyú Budapest - H2 Station,"5,0",,"Budapest, Damjanich u. 17-1/2, 1071",legkondicionalok.hu,06 70 778 8700
D And T Hungary Kft,"4,3",,"Budapest, Alsó erdősor 32, 1074",dthungary.hu,(06 79) 950 844
Daikin,,,"Budapest, Sajó u. 4, 1076",,
Klíma Szerelve Webáruház,"5,0",,"Budapest, Lehel u 7/B, 1134",yesklima.hu,06 30 682 5559
Klima Selection,,,"Budapest, Pétervárad u. 5, 1145",,06 30 933 1560
Klímaszerelőnk - Klíma és hőszivattyú szerelés,,,"Budapest, Nagyenyed u. 11, 1132",klimaszerelonk.hu,06 30 623 8903
"Klíma tisztítás telepítés, villanyszerelés","5,0",,"Budapest, Jókai tér 6, 1061",,06 20 929 3353
N&Sz Klíma,,,"Budapest, Frangepán u. 61, 1135",facebook.com,06 20 529 3505
Hidegklima.hu,"4,2",,"Budapest, Kerepesi út, 1173",hidegklima.hu,06 30 207 0840
Klímaszerelő,"1,0",,"Budapest, Kun u. 7, 1081",klimaszerelő.hu,(06 1) 333 8175
Klíma Hungary Kft.,"4,8",,"Budapest, Lóránt út 24/A, 1125",klimahungary.hu,06 70 626 3477
"Épületgépészet, klíma szereléssel és kéménybélelés","5,0",,"Budapest, Hegyalja út 5, 1016",klima-gepesz.hu,06 20 588 5235
Klíma Kisházi,"5,0",,"Budapest, Kövér Lajos u. 45, 1149",klimakishazi7.webnode.hu,06 70 603 1267
SCOP Klíma KFT.,"4,0",,"Budapest, Berzenczey u. 33, 1094",klimaszalon.hu,06 70 339 8186
"Frozente Klímatechnika Kft - Klímatelepítés Kispest,Klímakarbantartás Kispest, klímaszerelés","5,0",,"Budapest, Toldy u. 15, 1191",kispestklima.hu,06 30 640 8408
Favorit Klímatechnika,"5,0",,"Budapest, Bajnok u. 15, 1063",favorit-klimatechnika.hu,06 70 938 4812
ColdKlíma.hu - Klímaszerelés Budapest és Pest megye,"4,6",,"Budapest, Victor Hugo u. 11, 1132",coldklima.hu,06 70 207 0266
KIShÁ Klímatechnika,"5,0",,"Budapest, Sáfrány u. 46, 1116",kishaklima.hu,06 30 526 1980
HELLOKLIMA.COM,"4,3",,"Budapest, Fehér út 10, 1106",helloklima.com,06 70 233 3760
P&P klíma kft. - Buda,"5,0",,"Budapest, Etele út 57, 1119",,
Paksi-Klíma Kft.,"4,0",,"Budapest, Nagysurány u. 10, 1117",,(06 1) 203 0371
Beijer Ref Hungary Kft.,"4,8",,"Budapest, Gubacsi út 24, 1097",beijerref.hu,06 30 977 4914
Bogyisz Kft.- Klíma | Ventilátor |Központi porszívó | Kis- és Nagykereskedés,,,"Budapest, Timót u. 4a, 1097",bogyisz.hu,06 70 560 0901
ColdKlíma.hu - Klímaszerelés Budapest és Pest megye,"4,6",,"Budapest, Victor Hugo u. 11, 1132",coldklima.hu,06 70 207 0266
"Épületgépészet, klíma szereléssel és kéménybélelés","5,0",,"Budapest, Hegyalja út 5, 1016",klima-gepesz.hu,06 20 588 5235
BHG Klíma - Klímaszerelés,"4,4",,"Budapest, Jászberényi út 29/b, 1102",bhgklima.hu,06 30 644 6868
"i-Klíma - Klímaszerelés és Klímatisztítás, Hűtő Fűtő Klíma, Klíma Beszerelés","5,0",,"Budapest, Simonyi Zsigmond u 27, 1191",iklima.hu,06 20 857 5757
Kende Kft.,"5,0",,"Budapest, Etele út 32, 1119",kendekft.hu,(06 1) 205 3784
"AD Klíma Hungária Kft. - Komfort, Ipari, IT hűtés","4,2",,"Budapest, Budaörsi út 43/C, 1118",ad-klima.hu,(06 1) 209 0186
Hòember Klíma Épületgépészeti és Szolgáltatò Kft.,"4,8",,"Budapest, Balázs u. 51, 1147",hoemberklima.hu,06 30 367 8151
Daikin,,,"Budapest, Sajó u. 4, 1076",,
Northwind Hűtéstechnika Kft,,,"Budapest, Rőzse u. 7, 1125",northwind.hu,06 70 409 9760
X-KLÍMA,"4,6",,"Budapest, Veres Péter út 51, 1163",x-klima.hu,06 30 620 7119
P&P klíma kft. - Budapest,"4,9",,"Budapest, Hegedűs Gyula u. 52/A, 1133",ppklima.eu,06 70 243 5222
Bogyisz Kft.- Klíma kis- és nagykereskedés,"4,4",,"Budapest, Timót u. 4a, 1097",bogyisz.hu,06 70 560 0901
Klímatechnika.hu - Daikin klíma bemutatóterem,"4,8",,"Budapest, Illatos út 11/b, 1097",webshop.klimatechnika.hu,06 20 934 1004
Klíma Kisházi,"5,0",,"Budapest, Kövér Lajos u. 45, 1149",klimakishazi7.webnode.hu,06 70 603 1267
Klíma Beszerelve Kft.,,,"Budapest, Drégely u. 2-4, 1097",klimabeszerelve.hu,06 30 636 1927
"Klíma tisztítás telepítés, villanyszerelés","5,0",,"Budapest, Jókai tér 6, 1061",,06 20 929 3353
"Cityklima.hu Klímaszerelés, karbantartás Budapesten és környékén Garanciával","4,9",,"Budapest, Nagysándor József u. 69, 1201",cityklima.hu,06 20 989 7233
Szalai Klíma Kft.,"4,7",,"Budapest, Barázda u. 10, 1116",,06 30 302 6131
Split Klímatech,"4,5",,"Budapest, Hársfavirág u. 18, 1161",splitklimatech.hu,06 70 243 0440
SCOP Klíma KFT.,"4,0",,"Budapest, Berzenczey u. 33, 1094",klimaszalon.hu,06 70 339 8186
Pannon-klímatech Kft.,"4,3",,"Budapest, Üllői út 545, 1182",pannonklima.hu,(06 1) 295 0296
Havasi Klíma,"5,0",,"Budapest, Viola u. 15, 1094",havasiklima.hu,06 20 295 8243
Daikin Klímatechnika,"5,0",,"Budapest, Frankel Leó út 98, 1023",facebook.com,06 30 269 6969
Klíma javítás Budapest,,,"Budapest, Havanna u. 1, 1181",klima-javitas-budapest.hu,06 20 611 8463
Klímaszerelő,"1,0",,"Budapest, Kun u. 7, 1081",klimaszerelő.hu,(06 1) 333 8175
Meretei Klíma Kft,,,"Budapest, Lehel u 14, 1134",,06 70 618 5713
Kristály Klíma Plusz Kft.,"5,0",,"Budapest, Brassó út 169, 1118",kristalyklima.hu,(06 1) 319 2697
TC Klíma,"5,0",,"Budapest, Weiss Manfréd út 5, 1211",tc-klima.hu,06 30 649 1662
"Klímaszerelés, klímatisztítás Budapest","5,0",,"Budapest, Kövér Lajos u. 54, 1149",profiklimatisztitas.hu,06 20 943 8440
"Klíma Audit Kft. - klíma, hűtés, légtechnika","4,2",,"Budapest, Sashalmi stny. 32, 1165",klimaszaki.hu,06 70 615 3643
Klíma Tech,"4,5",,"Budapest, Béke tér, 1139",klima-tech.hu,06 20 217 8178
"KlímaNord akciós klímák szereléssel együtt, egyéb költség nélkül.","3,9",,"Budapest, Rákosi út 233, 1162",klimanord.hu,06 30 632 0721
JegesEmber Klíma,"4,6",,,jegesemberklima.hu,06 70 788 9701
Kipszer Klíma Controll Kft.,"4,1",,"Budapest, Jászberényi út 24, 1106",,(06 1) 262 9808
"Szigetklíma - Klímaszerelés és Klíma Tisztítás, Inverteres Klíma, GREE Klíma, Klíma Akció","4,4",,"Budaörs, Vasútsor utca 25, 2040",szigetklima.hu,06 20 849 5847
Favorit Klímatechnika,"5,0",,"Budapest, Bajnok u. 15, 1063",favorit-klimatechnika.hu,06 70 938 4812
Fagyos-Szentek Kft,"4,8",,"Budapest, Bemutatóterem, Torbágy u. 2, 1118",technofrig.hu,06 30 833 7761
DIMER Kft.,"4,2",,"Budapest, Kelemen u. 39, 1103",klimazok.hu,(06 1) 222 0468
Budai Hűtéstechnika Kft. - BudaKlíma - klímaszerelés és karbantartás,"4,9",,"Budapest, Alabástrom u. 45, 1116",budaklima.hu,06 20 404 0404
Klíma Commando Kft.,"4,4",,"Budapest, Maglódi út 47, 1106",klimacommando.hu,06 70 611 7637
Antarktisz Klíma Kft.,"4,9",,"Budapest, Cziráki u. 26-32, 1163",antarktiszklima.hu,06 30 200 0567
Jégverem Klíma Kft.,"3,6",,"Budapest, Telepes u. 65, 1147",jegveremklima.hu,06 20 360 6639
Mil-Air Klímaszerelés,"5,0",,"Budapest, Üllői út 458, 1183",,06 70 789 5733
Hisense klíma webshop,"4,4",,"Budapest, Lomb u. 15, 1139",hisense-klima.hu,06 30 432 0234
Profi klímaszerelés,,,"Budapest, Csongor u. 24, 1139",profiklimatisztitas.hu,06 20 943 8440
Pasarét Klíma,,,"Budapest, Guyon köz 5, 1026",pasaretklima.hu,06 20 362 6566
Klímaszerelés,,,"Budapest, Ond vezér útja 5-7, 1144",klima-szereles.eu,06 70 235 5012
Nikovia Klímatechnikai és Ügyviteli Bt.,"5,0",,"Budapest, Beszterce u. 2, 1194",nikovia.hu,06 30 950 3311
Klíma Online Kft.,"5,0",,"Budapest, Jávorka Ádám u. 63a, 1147",klima-online.hu,06 30 445 5111
Klímaszerelés Budapest - Fővárosi Klíma és Légtechnika,"5,0",,"Budapest, Szállás u. 36 (K-12, 1107",,06 70 336 8279
Klímaválasztó,"5,0",,"Budapest, Sashalmi stny. 32, 1163",klimavalaszto.hu,06 70 615 3643
Freezer Klíma,"5,0",,"Budapest, Pázsit u. 2, 1026",freezerklima.hu,06 20 979 7798
Klíma,,,"Budapest, Bartók Béla út 96, 1224",,(06 1) 951 3374
"Hűtő-Klíma Szerviz - Hűtőaggregát gyártása, Hűtőkamra kivitelezése, technológiai hűtés és hőszivattyús rendszerek kialakítása","4,0",,"Budapest, Karinthy Frigyes út 32, 1111",szilagyi-huto.hu,(06 1) 466 6897
SB-PRO Klímatechnika - www.klimaonlineshop.hu,,,,,06 70 320 3362
Gleccser Klíma Kft.,"4,4",,"Budaörs, Ostor u. 38, 2040",gleccserklima.hu,06 70 266 3838
Épületgépészet 0-24h (klíma - víz - gáz - fűtés - villanyszerelés),,,"Budapest, Munkácsy Mihály u. 23-3.em, 1063",,06 30 655 6437
SolarKit - Wosser - Napelem.Klíma.Hőszivattyú.Nagykereskedés.,"4,8",,"Budapest, Bihari János u. 13, 1055",solar-kit.hu,06 70 771 2983
Cool Airconditional Kft.,"4,8",,"Budapest, Öv u. 187, 1147",coolklima.hu,(06 1) 272 1740
PrimeCool Kft,"2,3",,"Budapest, Szent László tér 20, 1102",,06 20 380 3140
Klíma Tiszt,"4,9",,"Budapest, Rátz László u. 52, 1119",klimatiszt.hu,06 30 461 8513
Szikla-Vill Kft.,"5,0",,"Budapest, Mária u. 74, 1161",iklodi.hu,06 70 638 1075
Angyalklíma,"5,0",,"Budapest, Kisgömb u. 14-16, 1135",angyalklima.hu,06 30 581 4192
Daikin Márkabolt,"4,9",,"Budapest, Váci út 80, 1133",daikin.hu,(06 1) 776 7766
Net-Ga Kft.,"5,0",,"Budapest, Maglódi út 16, 1106",,06 30 468 1987
Mindigklíma - Mindig Plusz Kft. - Klímaszerelés,"5,0",,"Budapest, Pöltenberg Ernő u. 118, 1154",mindigklima.hu,06 20 450 8402
Klima Kft.,"4,3",,"Budapest, Reitter Ferenc u. 132, 1131",klima.hu,(06 1) 666 7001
Jégveled klíma kft,"4,9",,"Budapest, Turbina u. 6, 1138",jegveledklima.hu,
Klimatisztítónk - professzionális klíma tisztítás,"4,7",,,klimatisztitonk.hu,06 30 610 9491
BobCool Klíma,,,,,06 30 430 7011
"Blue World System Kft. - Klímaszerelés és Hőszivattyú, Klíma Beszerelés, GREE Klíma, Daikin Klíma, Fisher Klíma, Budapest","5,0",,"Budapest, Kiránduló u. 68, 1221",blueklima.hu,06 20 440 8080
DT Klíma és Villanyszerelés,"5,0",,"Budapest, Fiume u. 58-Fszt. 7, 1202",dtklima.hu,06 30 389 9042
Korona Klíma,"4,2",,"Budapest, Váci út 47/b, 1134",koronaklima.hu,06 70 200 1371
klíma akció budapest,,,"Budapest, Legénybíró u., 1157",klimatelepites.co.hu,06 70 314 9600
Klima Cad Kft.,"5,0",,"Budapest, Galgahévíz u. 15, 1163",klimacad.hu,(06 1) 404 1990
Cool4U Automotive Kft.,"4,8",,"Budapest, Illatos út 7/a, 1097",autoklima-webshop.hu,(06 1) 422 1818
hutfutklima.hu - Klíma szerelés,"5,0",,"Budapest, Baross u. 96-1/4, 1181",hutfutklima.hu,06 70 515 5555
Rexa Roland Viktor ev,,,"Budapest, Gellérthegy u. 2/A, 1016",rexa.hu,06 30 474 8930
Technoton Kft.,,,"Budapest, Szent Korona u. 12, 1161",technoton.hu,06 30 914 7460
Gemini konyhagép webshop és iroda,"4,6",,"Budapest, Bajcsy-Zsilinszky út 51, 1065",whirlpool.unas.hu,06 70 222 9222
Klíma tisztítás,"4,8",,"Budapest, Padlizsán utca 26, 1148",klimakarbantartok.eu,06 70 735 0295
Klímád.hu,"5,0",,"Budapest, Lóverseny tér 6, 1048",klimad.hu,06 20 416 5625
PestKlíma Kft.,"4,4",,"Budapest, Patyolat u. 48, 1155",pestklima.hu,06 20 610 6000
Klíma- és légtechnikai szerelő (Kereskedés).,"5,0",,"Budapest, Királyerdő út 18, 1213",tippon-ac.webnode.hu,06 70 563 1545
"Ozopa Klíma - Klímaszerelés és Klíma Karbantartás, Klímatisztítás, Inverteres Klíma, Budapest","5,0",,"Budapest, Erdőalja út 178/A, 1037",ozopaklima.hu,06 30 622 6036
KlímaRutin klíma és légtechnikai szaküzlet Pet Store Hungary Kft.,"5,0",,"Budapest, Toborzó udvar 3, 1138",klimarutin.hu,06 20 425 5628
Inviair Kft.,"3,7",,"Budapest, Pintér József u. 42, 1044",inviair.hu,06 20 316 8500
Skorpioklíma (Skorpió King Kft.),"4,9",,"Budapest, Összekötő u. 4, 1173",skorpioklima.hu,06 70 779 0190
KT-Klíma Kft,"4,6",,"Budapest II. Rákóczi Ferenc út 345, lph 2 5-K ép. E, 1214",ktklima.hu,06 30 727 9558
FCSK Klímaszerelés,,,"Budapest, Attila u. 15, 1201",,06 20 589 2581
Toma Klíma Kft.,"4,6",,"Budapest, Páskomliget utca 23, 1156",tomaklima.hu,06 30 378 9904
Légmester Kft.,"4,3",,"Budapest, Budafoki út 187-189, 1117",legmester.hu,06 20 912 6169
Nemzeti Klímavédelmi Hatóság,"3,1",,"Budapest, Október huszonharmadika u. 18, 1117",nkvh.kormany.hu,(06 1) 795 9074
Klíma szerviz,"3,0",,"Budapest, Zsókavár u., 1157",klimaszerviz-budapest.hu,(06 1) 210 0206
LégTérFogat Kft,,,"Budapest, Csángó u. 23, 1134",,06 20 243 9910
Thermonet Kft. - Villamossági - Klíma - Kazán áruház,"3,5",,"Budapest, Hidegkúti út 283, 1028",,06 70 703 8112
Klíma karbantartás Budapest,"5,0",,"Budapest, Bogáncs u. 6, 1151",klimakarbantartasbudapest.hu,06 30 773 6439
klima-budapest.eu LNA Group Kft,"4,3",,"Kistarcsa, Dózsa György u. 15, 2143",klima-budapest.eu,06 20 261 3639
Fűtésszerelő,"3,7",,"Budapest, Dobó Katica u. 9, 1191",szerelo-futes.com,06 20 921 2231
Bekker Elektronika Kft.,,,"Budapest, Hajós u. 25, 1065",,06 20 932 9013
MasterCold klímatechnika - Klímaszerelés és karbantartás Budapest,"5,0",,"Budapest, Királyok útja 210, 1039",mastercold.hu,06 20 544 4757
Jégkorszak Kft.,"4,8",,"Budapest, Vidámvásár u. 21, 1164",jegkorszakklima.hu,06 20 358 9536
Indoor Design,"5,0",,"Budapest, Táltos u. 14, 1029",,06 30 820 0006
Klíma Webáruház,,,"Budapest, Rákosligeti határút 117535, 1165",,06 30 330 8248
Klíma,"5,0",,"Budapest, Goroszló u. 1, 1186",,06 30 649 9224
Zsákovics Klíma,,,"Budapest, Harang u., 1031",zsakovicsklima.hu,06 50 123 0609
H&G Klímatechnika Kft,"5,0",,"Budapest, Vácduka tér 29, 1151",handgklimatechnika.hu,06 20 414 6806
EnergiaHáza,"4,4",,"Budapest, sarok üzlet, Máriássy u. 4-6-K"" épület, 1095",energiahaza.hu,06 70 609 2300
Klíma Áruház - Webklíma,"4,9",,"Érd, Bagoly u. 83, 2030",webklima.hu,06 30 299 1919
