Name,Rating,Total Reviews,Address,Website,Phone
BHG Klíma - Klímaszerelés,"4,4",,"Budapest, Jászberényi út 29/b, 1102",bhgklima.hu,06 30 644 6868
HELLOKLIMA.COM,"4,3",,"Budapest, Fehér út 10, 1106",helloklima.com,06 70 233 3760
Klíma-Express Kft.,"4,1",,"Budapest, Bodza u. 2, 1104",klimaexpress.hu,(06 1) 260 3950
Klíma Commando Kft.,"4,4",,"Budapest, Maglódi út 47, 1106",klimacommando.hu,06 70 611 7637
PrimeCool Kft,"2,3",,"Budapest, Szent László tér 20, 1102",,06 20 380 3140
Kipszer Klíma Controll Kft.,"4,1",,"Budapest, Jászberényi út 24, 1106",,(06 1) 262 9808
Klímaszerelés Budapest - Fővárosi Klíma és Légtechnika,"5,0",,"Budapest, Szállás u. 36 (K-12, 1107",,06 70 336 8279
KOMPEL KFT,"4,2",,"Budapest, Vaspálya u 20, 1105",kompel.hu,(06 1) 431 9640
"KLÍMA CIKLON Fűtés-, Hűtés- és Klímatechnikai Kft.","5,0",,"Budapest, Szállás u. 38, 1107",klimaciklon.hu,(06 1) 263 0244
Net-Ga Kft.,"5,0",,"Budapest, Maglódi út 16, 1106",,06 30 468 1987
CLH Hűtés- és Klímatechnikai Kft.,"4,5",,"Budapest, Gergely u. 83, 1103",,(06 1) 262 4291
"klimaplaza.eu klíma webáruház, klíma árak és klíma akciók","4,1",,,klimaplaza.eu,06 70 235 5012
Klímaszerelés,,,"Budapest, Ond vezér útja 5-7, 1144",klima-szereles.eu,06 70 235 5012
X-KLÍMA,"4,6",,"Budapest, Veres Péter út 51, 1163",x-klima.hu,06 30 620 7119
Neo Klíma Kft. (Iroda és értékesítés),"5,0",,"Budapest, Hunyadi u. 47. szám, 1196",neoklima.hu,06 20 942 9577
BonAir,"4,7",,"Budapest, Kőrösi Csoma Sándor út 51, 1105",bonair.hu,(06 1) 522 2210
Pannon-klímatech Kft.,"4,3",,"Budapest, Üllői út 545, 1182",pannonklima.hu,(06 1) 295 0296
Bogyisz Kft.- Klíma kis- és nagykereskedés,"4,4",,"Budapest, Timót u. 4a, 1097",bogyisz.hu,06 70 560 0901
Klíma tisztítás,"4,8",,"Budapest, Padlizsán utca 26, 1148",klimakarbantartok.eu,06 70 735 0295
Príma Autóklíma Bt.,"4,6",,"Budapest, Keresztúri út 116, 1106",,(06 1) 262 6814
Klíma Most Kft,"5,0",,"Budapest, Budaörsi út 172-178, 1112",klima-most.hu,06 30 940 1886
Paksi-Klíma Kft.,"4,0",,"Budapest, Nagysurány u. 10, 1117",,(06 1) 203 0371
"Blue World System Kft. - Klímaszerelés és Hőszivattyú, Klíma Beszerelés, GREE Klíma, Daikin Klíma, Fisher Klíma, Budapest","5,0",,"Budapest, Kiránduló u. 68, 1221",blueklima.hu,06 20 440 8080
Jégverem Klíma Kft.,"3,6",,"Budapest, Telepes u. 65, 1147",jegveremklima.hu,06 20 360 6639
Klima Kft.,"4,3",,"Budapest, Reitter Ferenc u. 132, 1131",klima.hu,(06 1) 666 7001
"Autószervíz,Gumijavítás Autóklíma Centrum Bt.","4,7",,"Budapest, Fertő u. 7/b, 1107",,06 20 282 5524
Bogyisz Kft.- Klíma kis- és nagykereskedés,"4,4",,"Budapest, Timót u. 4a, 1097",bogyisz.hu,06 70 560 0901
"KlímaNord akciós klímák szereléssel együtt, egyéb költség nélkül.","3,9",,"Budapest, Rákosi út 233, 1162",klimanord.hu,06 30 632 0721
Klíma-24.hu Webáruház,"4,4",,"Budapest, Arany János u. 53, 1165",klima-24.hu,06 30 870 0280
Klíma hőszivattyú Budapest - H2 Station,"5,0",,"Budapest, Damjanich u. 17-1/2, 1071",legkondicionalok.hu,06 70 778 8700
"Szaniter és Klíma Center , RMG","4,8",,"Budapest, Arany János u. 48, 1221",szaniteresklimacenter.hu,06 30 815 9597
Budai Hűtéstechnika Kft. - BudaKlíma - klímaszerelés és karbantartás,"4,9",,"Budapest, Alabástrom u. 45, 1116",budaklima.hu,06 20 404 0404
"klimaplaza.eu klíma webáruház, klíma árak és klíma akciók","4,1",,,klimaplaza.eu,06 70 235 5012
Klímatechnika.hu - Daikin klíma bemutatóterem,"4,8",,"Budapest, Illatos út 11/b, 1097",webshop.klimatechnika.hu,06 20 934 1004
Toma Klíma Kft.,"4,6",,"Budapest, Páskomliget utca 23, 1156",tomaklima.hu,06 30 378 9904
Szalai Klíma Kft.,"4,7",,"Budapest, Barázda u. 10, 1116",,06 30 302 6131
Klimabar.hu,"5,0",,"Budapest, Hun u. 15, 1134",klimabar.hu,06 20 235 2910
H&G Klímatechnika Kft,"5,0",,"Budapest, Vácduka tér 29, 1151",handgklimatechnika.hu,06 20 414 6806
Rudolf Klíma,,,"Budapest, Bocskai út 23-25, 1114",rudolfklima.hu,(06 1) 600 5470
Inviair Kft.,"3,7",,"Budapest, Pintér József u. 42, 1044",inviair.hu,06 20 316 8500
Klímaszerelés,,,"Budapest, Ond vezér útja 5-7, 1144",klima-szereles.eu,06 70 235 5012
Fagyos-Szentek Kft,"4,8",,"Budapest, Bemutatóterem, Torbágy u. 2, 1118",technofrig.hu,06 30 833 7761
Szanyó Hűtő- és Klímatechnika Kft.,"5,0",,"Budapest, Kocsis Sándor út 54, 1037",szanyo.eu,06 21 234 7910
