Name,Rating,Total Reviews,Address,Website,Phone
Szerelvenybolt.hu,"4,5",,"Budaörs, Sport u. 1, 2040",szerelvenybolt.hu,(06 23) 427 433
P&P klíma kft. - Buda,"5,0",,"Budapest, Etele út 57, 1119",,
Klíma Most Kft,"5,0",,"Budapest, Budaörsi út 172-178, 1112",klima-most.hu,06 30 940 1886
KIShÁ Klímatechnika,"5,0",,"Budapest, Sáfrány u. 46, 1116",kishaklima.hu,06 30 526 1980
Paksi-Klíma Kft.,"4,0",,"Budapest, Nagysurány u. 10, 1117",,(06 1) 203 0371
Kende Kft.,"5,0",,"Budapest, Etele út 32, 1119",kendekft.hu,(06 1) 205 3784
Szalai Klíma Kft.,"4,7",,"Budapest, Barázda u. 10, 1116",,06 30 302 6131
Horváth Klíma Kft. - Klímaszerelés,"4,4",,"Budapest, Táncos u. 10, 1112",horvathklima.hu,06 20 924 0112
"AD Klíma Hungária Kft. - Komfort, Ipari, IT hűtés","4,2",,"Budapest, Budaörsi út 43/C, 1118",ad-klima.hu,(06 1) 209 0186
"Lamarking Légtechnika Kft - lamarking.hu | johnguest.hu | ventmann.hu Víz, Gáz, Fűtés, Klíma, Légtechnika, Gyorscsatlakozók","4,6",,"Budapest, Nagyszőlős u. 9, 1113",lamarking.hu,(06 1) 361 3601
Rudolf Klíma,,,"Budapest, Bocskai út 23-25, 1114",rudolfklima.hu,(06 1) 600 5470
Klíma Tiszt,"4,9",,"Budapest, Rátz László u. 52, 1119",klimatiszt.hu,06 30 461 8513
"Hűtő-Klíma Szerviz - Hűtőaggregát gyártása, Hűtőkamra kivitelezése, technológiai hűtés és hőszivattyús rendszerek kialakítása","4,0",,"Budapest, Karinthy Frigyes út 32, 1111",szilagyi-huto.hu,(06 1) 466 6897
Klíma,,,"Budapest, Bartók Béla út 96, 1224",,(06 1) 951 3374
Budai Hűtéstechnika Kft. - BudaKlíma - klímaszerelés és karbantartás,"4,9",,"Budapest, Alabástrom u. 45, 1116",budaklima.hu,06 20 404 0404
Fagyos-Szentek Kft,"4,8",,"Budapest, Bemutatóterem, Torbágy u. 2, 1118",technofrig.hu,06 30 833 7761
Kristály Klíma Plusz Kft.,"5,0",,"Budapest, Brassó út 169, 1118",kristalyklima.hu,(06 1) 319 2697
M-Klíma Magyarország Kft.,,,"Budapest, Start Irodaház, Temesvár u. 20-A épület 204, 1116",mklima.hu,06 20 226 7415
"AC.S Systems Kft. /Iroda/ - Klíma és Hőszivattyú, Klíma Nagyker, Klímaszerelési Anyagok, Budapest",,,"Budapest, Pecz Samu u. 4c, 1118",acs-systems.hu,06 70 466 3220
HB Klíma Kft,"5,0",,"KHB Klíma Kft, Budapest I. raktár: 1097 Budapest, Gubacsi út 30, Csurgói út 22-32, 1119",khbklima.com,06 20 965 3714
Klímamester,"4,9",,"Budapest, Hadak útja, 1119",klimamester.eu,06 30 942 0656
Klíma,,,"Budapest, Bartók Béla út 96, 1224",,(06 1) 951 3374
"Hűtő-Klíma Szerviz - Hűtőaggregát gyártása, Hűtőkamra kivitelezése, technológiai hűtés és hőszivattyús rendszerek kialakítása","4,0",,"Budapest, Karinthy Frigyes út 32, 1111",szilagyi-huto.hu,(06 1) 466 6897
Mobil autóklíma töltés - autószerviz,"4,8",,"Budapest, Budafoki út 70, 1117",autoklima-toltes.hu,06 70 607 0333
Compressor-Express - Autóklíma / Járműklíma alkatrészek,"5,0",,"Budapest, Kisújszállás u. 33, 1116",compressor-express.hu,(06 1) 707 8800
Légmester Kft.,"4,3",,"Budapest, Budafoki út 187-189, 1117",legmester.hu,06 20 912 6169
Havasi Klíma,"5,0",,"Budapest, Viola u. 15, 1094",havasiklima.hu,06 20 295 8243
Nemzeti Klímavédelmi Hatóság,"3,1",,"Budapest, Október huszonharmadika u. 18, 1117",nkvh.kormany.hu,(06 1) 795 9074
(Equinoxe) Beijer Ref Hungary Kft. Budai üzlete Budapest XI. ker. Etele út 30. Üzletünk a Gubacsi út 24 sz. alá költözött.,"5,0",,"Budapest, Etele út 30, 1119",,06 30 989 2558
Klíma Beszerelve Kft.,,,"Budapest, Drégely u. 2-4, 1097",klimabeszerelve.hu,06 30 636 1927
SB-PRO Klímatechnika - www.klimaonlineshop.hu,,,,,06 70 320 3362
Anti-Agresszió Bt. Autóklíma Szervíz,"4,6",,"Budapest, Galvani u. 3, 1117",,06 30 948 3815
