Name,Rating,Total Reviews,Address,Website,Phone
Atlantisz Klíma Bt.,"4,6",,"Budapest, Vasvári Pál u. 1, 1155",atlantiszklima.hu,(06 1) 416 1057
"Rapid Klíma -Klíma olcsón 15.kerület , Légkondicionáló 15.kerület",,,"Budapest, Neptun u. 88, 1158",rapidklima.hu,06 20 968 2436
Mindigklíma - Mindig Plusz Kft. - Klímaszerelés,"5,0",,"Budapest, Pöltenberg Ernő u. 118, 1154",mindigklima.hu,06 20 450 8402
Krusó Klíma Kft - Autó és Épületklíma,"5,0",,"Budapest, Zsókavár u. 4, 1157",facebook.com,06 70 635 5063
PestKlíma Kft.,"4,4",,"Budapest, Patyolat u. 48, 1155",pestklima.hu,06 20 610 6000
H&G Klímatechnika Kft,"5,0",,"Budapest, Vácduka tér 29, 1151",handgklimatechnika.hu,06 20 414 6806
Klíma karbantartás Budapest,"5,0",,"Budapest, Bogáncs u. 6, 1151",klimakarbantartasbudapest.hu,06 30 773 6439
Klímaszerelés,"5,0",,"Budapest, Nádastó park 33, 1156",,06 70 608 6724
Toma Klíma Kft.,"4,6",,"Budapest, Páskomliget utca 23, 1156",tomaklima.hu,06 30 378 9904
Klíma szerviz,"3,0",,"Budapest, Zsókavár u., 1157",klimaszerviz-budapest.hu,(06 1) 210 0206
"Klímáspeti Kft. - Klíma, Hőszivattyú, kereskedelmi és ipari Hűtéstechnika szervíz","5,0",,"Budapest, Bocskai u. 52, 1153",,06 30 376 8258
Skorpioklíma (Skorpió King Kft.),"4,9",,"Budapest, Összekötő u. 4, 1173",skorpioklima.hu,06 70 779 0190
Klímaszerelés,,,"Budapest, Legénybíró u., 1157",klimatelepites.co.hu,06 70 314 9600
"KlímaNord akciós klímák szereléssel együtt, egyéb költség nélkül.","3,9",,"Budapest, Rákosi út 233, 1162",klimanord.hu,06 30 632 0721
Alfa-Klíma Kft.,"4,6",,"Szeged, Kossuth Lajos sgrt. 72/E, 6724",alfa-klima.hu,(06 62) 950 335
Klíma javítás Budapest,,,"Budapest, Bezerédj Pál u. 28/a, 1154",klima-javitas-budapest.hu,06 20 611 8463
