Name,Rating,Total Reviews,Address,Website,Phone
Klíma-24.hu Webáruház,"4,4",,"Budapest, Arany János u. 53, 1165",klima-24.hu,06 30 870 0280
"KlímaNord akciós klímák szereléssel együtt, egyéb költség nélkül.","3,9",,"Budapest, Rákosi út 233, 1162",klimanord.hu,06 30 632 0721
X-KLÍMA,"4,6",,"Budapest, Veres Péter út 51, 1163",x-klima.hu,06 30 620 7119
"Klíma Audit Kft. - klíma, hűtés, légtechnika","4,2",,"Budapest, Sashalmi stny. 32, 1165",klimaszaki.hu,06 70 615 3643
Elektro-Klíma Kft.,,,"Budapest, Sasfészek u. 22, 1163",,(06 46) 394 310
Jégkorszak Kft.,"4,8",,"Budapest, Vidámvásár u. 21, 1164",jegkorszakklima.hu,06 20 358 9536
Mobilsoft Bt. – klimafutar.hu,"5,0",,"Budapest, Tekla u. 2/B/9, 1163",klimafutar.hu,06 30 246 3463
Klímaválasztó,"5,0",,"Budapest, Sashalmi stny. 32, 1163",klimavalaszto.hu,06 70 615 3643
Split Klímatech,"4,5",,"Budapest, Hársfavirág u. 18, 1161",splitklimatech.hu,06 70 243 0440
Antarktisz Klíma Kft.,"4,9",,"Budapest, Cziráki u. 26-32, 1163",antarktiszklima.hu,06 30 200 0567
Klima Cad Kft.,"5,0",,"Budapest, Galgahévíz u. 15, 1163",klimacad.hu,(06 1) 404 1990
Klíma Outlet,"4,0",,"Budapest, Sashalmi stny. 32, 1163",klimaoutlet.hu,06 70 615 3643
Szikla-Vill Kft.,"5,0",,"Budapest, Mária u. 74, 1161",iklodi.hu,06 70 638 1075
Technoton Kft.,,,"Budapest, Szent Korona u. 12, 1161",technoton.hu,06 30 914 7460
Gátigáz Klíma Kft,"3,0",,"Budapest, Magtár u. 5, 1164",gatigazklima.hu,06 20 326 7379
KLÍMA 16.HU KFT.,,,,,06 70 380 1209
Klimatisztítónk - professzionális klíma tisztítás,"4,7",,,klimatisztitonk.hu,06 30 610 9491
HELLOKLIMA.COM,"4,3",,"Budapest, Fehér út 10, 1106",helloklima.com,06 70 233 3760
klima-budapest.eu LNA Group Kft,"4,3",,"Kistarcsa, Dózsa György u. 15, 2143",klima-budapest.eu,06 20 261 3639
Klíma Professional Kft,"5,0",,"Budapest, Kaszáló u. 69, 1173",klimaprofessional.hu,06 20 340 3637
"Cityklima.hu Klímaszerelés, karbantartás Budapesten és környékén Garanciával","4,9",,"Budapest, Nagysándor József u. 69, 1201",cityklima.hu,06 20 989 7233
Skorpioklíma (Skorpió King Kft.),"4,9",,"Budapest, Összekötő u. 4, 1173",skorpioklima.hu,06 70 779 0190
Klíma-Express Kft.,"4,1",,"Budapest, Bodza u. 2, 1104",klimaexpress.hu,(06 1) 260 3950
Mindigklíma - Mindig Plusz Kft. - Klímaszerelés,"5,0",,"Budapest, Pöltenberg Ernő u. 118, 1154",mindigklima.hu,06 20 450 8402
HELLOKLIMA.COM,"4,3",,"Budapest, Fehér út 10, 1106",helloklima.com,06 70 233 3760
KLÍMA 16.HU Kft.,,,,,06 70 380 1209
Hidegklima.hu,"4,2",,"Budapest, Kerepesi út, 1173",hidegklima.hu,06 30 207 0840
"Ozopa Klíma - Klímaszerelés és Klíma Karbantartás, Klímatisztítás, Inverteres Klíma, Budapest","5,0",,"Budapest, Erdőalja út 178/A, 1037",ozopaklima.hu,06 30 622 6036
