Name,Rating,Total Reviews,Address,Website,Phone
Szerelvenybolt.hu XVII. kerület,"4,9",,"Budapest Csomafalva utca 1 D épület 4, D, 1173",szerelvenybolt.hu,06 30 797 4868
IB-AIR Épületgépészeti Kft. Klímaszerelés kedvező áron!,"5,0",,"Budapest, Nápoly u. 65, 1171",ibairepuletgepeszet.hu,06 20 347 8794
Skorpioklíma (Skorpió King Kft.),"4,9",,"Budapest, Összekötő u. 4, 1173",skorpioklima.hu,06 70 779 0190
Klíma Professional Kft,"5,0",,"Budapest, Kaszáló u. 69, 1173",klimaprofessional.hu,06 20 340 3637
Faktor Vállalkozási Iroda Kft.,"4,8",,"Budapest, Pesti út 9, 1173",faktoraruhaz.hu,(06 1) 253 0394
IB-AIR Épületgépészeti Kft. Klímaszerelés kedvező áron!,"5,0",,"Budapest, Nápoly u. 65, 1171",ibairepuletgepeszet.hu,06 20 347 8794
"Kassai-Klíma Kft. - Klímaszerelés és Klíma Beszerelés, Hűtő Fűtő Klíma, Padlófűtés, Falfűtés, Inverteres Klíma","4,9",,"Budapest, Pesti út 256, 1173",klima-pest.hu,06 20 585 0850
Great klíma,"5,0",,"Budapest, Ferihegyi út 165, 1174",greatklima.hu,06 20 286 9896
LIGET KLÍMA TECH Kft.,"4,9",,"Budapest, Liget sor 49/A, 1172",ligetklima.hu,06 70 701 6103
Klímashop Kft.,"4,6",,"Budapest, Zrínyi u. 90, 1171",klimashop.hu,06 20 937 2332
Cgklima.hu,"5,0",,"Budapest, 530. u. 24, 1173",cgklima.hu,06 30 164 6185
Komfort hűtés,,,"Budapest, Ferihegyi út 62, 1173",komforthutes.hu,(06 1) 631 3010
THD Klíma,,,"Budapest, Irsa u. 64, 1171",thdklima.hu,06 70 945 6670
JÉ-JÓ Kft,,,"Budapest, Lőrinci út, 1174",jejo.hu,06 70 215 5509
"KlímaNord akciós klímák szereléssel együtt, egyéb költség nélkül.","3,9",,"Budapest, Rákosi út 233, 1162",klimanord.hu,06 30 632 0721
klima-budapest.eu LNA Group Kft,"4,3",,"Kistarcsa, Dózsa György u. 15, 2143",klima-budapest.eu,06 20 261 3639
Hőporta Épületgépész Szaküzlet,"4,6",,"Budapest, Pesti út 9, 1173",hoporta.hu,(06 1) 253 6608
