Name,Rating,Total Reviews,Address,Website,Phone
Pannon-klímatech Kft.,"4,3",,"Budapest, Üllői út 545, 1182",pannonklima.hu,(06 1) 295 0296
Mil-Air Klímaszerelés,"5,0",,"Budapest, Üllői út 458, 1183",,06 70 789 5733
FL klíma,"5,0",,"Budapest, Örs u. 5, 1183",flklima.hu,06 70 536 5000
Winterklima.hu - Hűtő fűtő klímaszerelés,"4,6",,"Budapest, Gyulafehérvár u. 16, 1182",winterklima.hu,06 20 585 3448
Hegyi Klíma - Klímatelepítés Budapesten,"5,0",,"Budapest, Gerely u. 57, 1183",hegyiklima.hu,06 30 587 1900
"ACMountainer Kft. Klímaszerelés, klímaberendezések karbantartása","5,0",,"Budapest, Táncsics Mihály u. 33/b, 1188",acmountainer.hu,06 20 282 6843
VLG Klíma,"5,0",,"Budapest, Benjámin u. 6a, 1188",facebook.com,06 20 536 1413
hutfutklima.hu - Klíma szerelés,"5,0",,"Budapest, Baross u. 96-1/4, 1181",hutfutklima.hu,06 70 515 5555
Klíma,"5,0",,"Budapest, Goroszló u. 1, 1186",,06 30 649 9224
Nyír-Co Plusz Kft.,"4,6",,"Budapest, Nagyenyed u. 3, 1182",nyir-co-klima.hu,06 30 241 8617
Hópárduc klíma kft,,,"Budapest, Fáy u., 1184",hoparducklima.hu,06 20 321 3443
"Kőcs Klíma Budapest - Lakossági split klímák és hőszivattyúk telepítése, szezonális karbantartása.","5,0",,"Budapest, Esztergályos u. 7/A, 1184",kocsklima.hu,06 70 396 9706
Klíma javítás Budapest,,,"Budapest, Havanna u. 1, 1181",klima-javitas-budapest.hu,06 20 611 8463
Kaiser Épületgépészet,"4,0",,"Budapest, Damjanich u. 62/a, 1188",kaiserepuletgepeszet.hu,06 30 940 0495
Nikovia Klímatechnikai és Ügyviteli Bt.,"5,0",,"Budapest, Beszterce u. 2, 1194",nikovia.hu,06 30 950 3311
RGB Gumi Kft.,"4,7",,"Budapest, Üllői út 621, 1182",gumi18.hu,(06 1) 609 0000
Neo Klíma Kft. (Iroda és értékesítés),"5,0",,"Budapest, Hunyadi u. 47. szám, 1196",neoklima.hu,06 20 942 9577
Autóklíma18,"3,7",,"Budapest, Üllői út 621, 1182",autoklima18.hu,(06 1) 609 0000
Klíma Kovács 24 Kft,"4,9",,"Gyál, Pozsonyi u. 42, 2360",klimakovacs24.hu,06 30 757 3992
"Frozente Klímatechnika Kft - Klímatelepítés Kispest,Klímakarbantartás Kispest, klímaszerelés","5,0",,"Budapest, Toldy u. 15, 1191",kispestklima.hu,06 30 640 8408
Autóklíma,"4,9",,"Budapest, Kárpát u., 1182",,06 70 630 9876
GreeKlimaker Klíma Hűtő,,,"Budapest, Kossuth tér, 1191",,06 30 884 1121
"Cityklima.hu Klímaszerelés, karbantartás Budapesten és környékén Garanciával","4,9",,"Budapest, Nagysándor József u. 69, 1201",cityklima.hu,06 20 989 7233
Klímatechnika.hu - Daikin klíma bemutatóterem,"4,8",,"Budapest, Illatos út 11/b, 1097",webshop.klimatechnika.hu,06 20 934 1004
Klíma Kovács 24 Kft,"4,9",,"Gyál, Pozsonyi u. 42, 2360",klimakovacs24.hu,06 30 757 3992
Nikovia Klímatechnikai és Ügyviteli Bt.,"5,0",,"Budapest, Beszterce u. 2, 1194",nikovia.hu,06 30 950 3311
Global Airconditional Kft.,"5,0",,"Vecsés, Ecseri u. 25, 2220",global-klima.hu,06 30 677 8074
Bogyisz Kft.- Klíma | Ventilátor |Központi porszívó | Kis- és Nagykereskedés,,,"Budapest, Timót u. 4a, 1097",bogyisz.hu,06 70 560 0901
THD Klíma,,,"Budapest, Irsa u. 64, 1171",thdklima.hu,06 70 945 6670
Csábi-Klíma Kft.,"5,0",,"Budapest, Dessewffy u. 35, 1204",csabi-klima.hu,(06 1) 287 8463
"i-Klíma - Klímaszerelés és Klímatisztítás, Hűtő Fűtő Klíma, Klíma Beszerelés","5,0",,"Budapest, Simonyi Zsigmond u 27, 1191",iklima.hu,06 20 857 5757
Nemes Ventilátorház- Légtechnikai szakáruház,"4,9",,"Budapest, Királyhágó utca 30, 1182",nemesventilatorhaz.hu,(06 1) 705 2478
Bogyisz Kft.- Klíma kis- és nagykereskedés,"4,4",,"Budapest, Timót u. 4a, 1097",bogyisz.hu,06 70 560 0901
Skorpioklíma (Skorpió King Kft.),"4,9",,"Budapest, Összekötő u. 4, 1173",skorpioklima.hu,06 70 779 0190
Verticale Kft.,,,"Budapest, Saláta u. 88, 1188",klima.startuzlet.hu,06 30 681 8000
Kelton Klíma,"5,0",,"Budapest, Kós Károly tér 11, 1192",keltonklima.hu,06 30 424 5052
FCSK Klímaszerelés,,,"Budapest, Attila u. 15, 1201",,06 20 589 2581
Bihari Péter E.V.,,,"Budapest, Árpád u. 8, 1215",,06 20 987 7656
DT Klíma és Villanyszerelés,"5,0",,"Budapest, Fiume u. 58-Fszt. 7, 1202",dtklima.hu,06 30 389 9042
Reál Klíma Kft.,"4,3",,"Budapest, Zsilvölgyi út 11, 1213",clima.hu,06 20 335 9143
Klímaszerelés,"5,0",,"Budapest, II. Rákóczi Ferenc út 266/C, 1214",klimaszerelo-budapest.hu,06 70 907 0178
TC Klíma,"5,0",,"Budapest, Weiss Manfréd út 5, 1211",tc-klima.hu,06 30 649 1662
JÉ-JÓ Kft,,,"Budapest, Lőrinci út, 1174",jejo.hu,06 70 215 5509
Beijer Ref Hungary Kft.,"4,8",,"Budapest, Gubacsi út 24, 1097",beijerref.hu,06 30 977 4914
Cool4U Automotive Kft.,"4,8",,"Budapest, Illatos út 7/a, 1097",autoklima-webshop.hu,(06 1) 422 1818
Klíma-Express Kft.,"4,1",,"Budapest, Bodza u. 2, 1104",klimaexpress.hu,(06 1) 260 3950
Faktor Vállalkozási Iroda Kft.,"4,8",,"Budapest, Pesti út 9, 1173",faktoraruhaz.hu,(06 1) 253 0394
IB-AIR Épületgépészeti Kft. Klímaszerelés kedvező áron!,"5,0",,"Budapest, Nápoly u. 65, 1171",ibairepuletgepeszet.hu,06 20 347 8794
