Name,Rating,Total Reviews,Address,Website,Phone
EP Hűtő- és klímatechnika kis- és nagykereskedés,"4,9",,"Békéscsaba, Kölcsey u. 17, 5600",ephutoklima.hu,06 20 408 4401
Körös Klíma (Körös-Airconditional Kft.),"4,5",,"Békéscsaba, Mikszáth u. 49, 5600",korosklima.hu,06 30 349 1702
CsT-Klíma Kft.,"4,9",,"Békéscsaba, Gajdács u. 14, 5600",cstklima.hu,06 20 937 6511
"Frankó Klíma Kft. - Hőszivattyú és Klíma Telepítés, Klímaszerelés, Klíma Tisztítás, Légtechnika","5,0",,"Békéscsaba, Temesvári u. 3, 5600",frankoklima.hu,06 20 804 7066
Körös Klíma Kft.,"5,0",,"Békéscsaba, Bartók Béla út 18, 5600",korosklima.hu,06 70 886 7080
Bakonyi Hûtõ és Klímatechnika Kft.,"4,8",,"Békéscsaba, Szarvasi út 76, 5600",bakonyiklima.hu,(06 66) 256 449
Klíma Csabaklíma Kft.,"4,2",,"Békéscsaba, Zöldfa u. 14, 5600",,06 70 314 0223
Cryo-klíma (Krio-klíma),"5,0",,"Békéscsaba, Lencsési út 58, 5600",cryo-klima.hu,06 70 945 2234
Cool Airconditional Kft.,"4,3",,"Békéscsaba, Laktanya utca 2, 5600",coolklima.hu,(06 66) 448 445
Cold & Warm Klímatechnika,"5,0",,"Békéscsaba, 5600",cold-warm.hu,06 70 629 9902
BELUK Klímatechnika,,,"Békéscsaba, Báthori u. 23/1, 5600",beluk.hu,06 70 946 7216
Klímabetyár -eKM-Car Kft,"5,0",,"Békéscsaba, Temesvári u. 19, 5600",,06 30 412 7922
Future Klíma lakossági klímaszerelés,"5,0",,"Békéscsaba, Kazinczy u. 8, 5600",,
Marik-Technik klíma- és légtechnika,"3,3",,"Békéscsaba, Magvető u. 15, 5623",facebook.com,06 70 297 6697
coolgroup,,,"Békéscsaba, 5600. Békéscsaba, Szekerka J. u 4, Szekerka János u., 5600",coolgroup.hu,06 30 644 4433
Juhász Hűtő Kft.,"5,0",,"Békéscsaba, Zrínyi u. 5, 5600",,06 70 559 6462
Hűtő- és klímatechnika,,,"Békéscsaba, Orosházi út 108, 5600",,06 30 381 8617
Cold & Warm Klímatechnika,,,"Békéscsaba, 5600",,
SMART KLÍMA,"5,0",,,smart-k.hu,06 30 825 8792
Ice-Carp Hűtő és Klímaszervíz Kft.,"5,0",,"Békéscsaba, Szabolcs u. 48, 5600",,
Hűtő- és klímatechnika,,,"Békéscsaba, Orosházi út 108, 5600",,06 30 381 8617
Liker és Társa Kft.,"4,9",,"Békéscsaba, Urszinyi Dezsőné u. 33, 5600",,(06 66) 442 898
Cold & Warm Klímatechnika,,,"Békéscsaba, 5600",,
Top Klíma és Solar Kft.,"5,0",,"Békéscsaba, Andrássy út 81, 5600",top-klima.hu,06 30 621 1883
NordArt Békéscsaba,"5,0",,"Békéscsaba, Kossuth tér, 5600",,06 30 731 2493
Warm-Art kft elektromos fűtés,"5,0",,"Békéscsaba, Bartók Béla út 14, 5600",warmart.hu,06 70 886 0235
KCKM Fűtéstechnikai Kft.,"4,7",,"Békéscsaba, Szarvasi út 21, 5600",,06 20 940 9117
Tarcsa-Ker Kft.,"4,6",,"Békéscsaba, Kétegyházi út 16, 5600",tarcsa-ker.hu,(06 66) 464 916
Ice-Carp Hűtő és Klímaszervíz Kft.,"5,0",,"Békéscsaba, Szabolcs u. 48, 5600",,
Liker és Társai Kft.,"4,0",,"Békéscsaba, Urszinyi Dezsőné u. 17, 5600",likerestarsa.hu,06 30 955 5182
Globál Gépész Kft.,"4,7",,"Békéscsaba, Szabó Dezső u. 49, 5600",globalgepesz.hu,(06 66) 430 135
"Minden, ami klíma!",,,,facebook.com,06 30 214 2735
GRX Electro Outlet - Békéscsaba,"4,6",,"Békéscsaba, Gyóni Géza u. 11, 5600",grx.hu,(06 66) 636 179
B&W Műszaki Szakkereskedés,"5,0",,"Békéscsaba, Szarvasi út 21, 5600",barkacsonline.hu,(06 66) 430 305
VEM Elektronik Kft.,"4,6",,"Békéscsaba, Tölgyfa u. 17, 5600",,(06 66) 527 760
VERDAVILL Autóvillamosság Autóklíma Szervíz,"4,9",,"Békéscsaba, Berzsenyi u. 58, 5600",,06 30 303 2640
