Name,Rating,Total Reviews,Address,Website,Phone
Bé-Da Klíma és Villamossági Kft,"5,0",,"Debrecen, Apafája u 11, 4033",bdklima.hu,06 20 314 8019
Szerelvenybolt.hu (Debrecen),"4,8",,"Debrecen, Rigó u. 4/b, 4030",szerelvenybolt.hu,06 30 894 1473
"KlimaTech Debrecen - Klímaszerelés, Klíma karbantartás, Klíma javítás, Eladás","5,0",,"Debrecen, Simonffy u. 4.-6. Fsz./41, 4025",klimatechdebrecen.hu,06 20 310 1307
Cívis klíma,"4,9",,"Debrecen, Bem tér 11, 4026",civisklima.hu,06 20 471 7554
"Klímaflex Kft. Klíma, klímaszerelés, telepítés - Debrecen,","5,0",,"Debrecen, Hadházi út 17, 4028",klimaflexdebrecen.hu,06 30 319 6371
Cívis Solar Hungária Kft.,"4,6",,"Debrecen, Vámraktár u., 4030",civissolar.hu,06 30 218 8888
"GOOD KLÍMA, HŐSZIVATTYÚ telepítés, szerelés karbantartás","5,0",,"Debrecen, Bekecs u. 11, 4028",goodklimaszereles.hu,06 20 203 4629
Klíma Centrum Debrecen,"5,0",,"Debrecen, Monostorpályi út 28, 4030",cool-sat.hu,06 20 234 5624
World Klima Debrecen,"4,9",,"Debrecen, István út 159, 4031",klimaszerviz-debrecen.hu,06 20 550 0707
DA Klíma Kft.,"5,0",,"Debrecen, Kassai út 47, 4028",daklima.hu,06 20 399 6050
Ice Star Kft.,"4,7",,"Debrecen, Galamb u. 6, 4030",icestar.hu,(06 52) 470 647
Balázs Klíma,"5,0",,"Debrecen, Kishegyesi út, 4031",facebook.com,06 30 238 8434
Hűtő-Klíma 96 Kft.,"4,8",,"Debrecen, Diószegi út 28, 4030",huto-klima96.hu,(06 52) 452 719
Klímaszerelés - Klíma,,,"Debrecen, Békessy Béla u. 9. C, 4032",,(06 52) 322 121
Klíma Doki Kft.,"4,8",,"Debrecen, Galamb u. 19, 4030",klimadokikft.hu,06 30 522 8946
"Márkus-Klima Légtechnikai, Épületgépészeti Berendezéseket Gyártó és Forgalmazó KFT",,,"Debrecen, Sípos u. 13, 4034",markusklima.hu,06 30 284 3307
Háztartási gép szerviz • Klíma telepítés,"4,4",,"Debrecen, Árpád tér 16-18, 4028",webnode.hu,06 20 924 5330
Hk Klima,,,"Debrecen, Balmazújvárosi út 6, 4002",hkklima.hu,
Cool-Sat Electronic Bt.,,,"Debrecen, Kossuth u. 49, 4024",cool-sat.hu,(06 52) 954 831
Gázszer Kft.,"4,9",,"Debrecen, Vámospércsi út 59, 4034",gazszerkft.hu,06 30 738 3280
Elektromos Fűtések - PHF - Debrecen,"4,3",,"Debrecen, Hatvan u. 53, 4025",hajduvill.hu,06 30 377 9189
Kalória 97 Bt. Gázkészülék és Alkatrész Bolt,"4,3",,"Debrecen, Debrecen 4030, Híd u. 7, 4002",gazkeszulekek-debrecen.hu,06 30 670 1071
Elektromos Fűtések - PHF - Debrecen,"4,3",,"Debrecen, Hatvan u. 53, 4025",hajduvill.hu,06 30 377 9189
Gépész Szakáruház - Migép Kft.,"4,5",,"Debrecen, Monostorpályi út 7/B, 4028",gepesz.hu,(06 52) 532 783
KLIMACAR JÁRMŰKLÍMA ÉS AUTÓSZERVIZ,"5,0",,"Debrecen, Bojtorján u. 10/b, 4031",klimacar.hu,06 30 475 6849
HÁ-GÉP 97 Kft. Hajdú Márkabolt,"5,0",,"Debrecen, Csapó u. 56, 4029",,(06 52) 455 823
HKoutlet,"3,8",,"Debrecen, Balmazújvárosi út 6/a, 4002",hkoutlet.hu,06 30 218 2998
Triost Kft. Fűtőfólia,"5,0",,"Debrecen, Nyíl u. 2-A/1, 4028",triostkft.hu,06 20 988 9014
Signal Diszkont,"4,7",,"Debrecen, Petőfi tér 21, 4024",signaldiscont.hu,(06 52) 437 372
220 Outlet műszaki üzlet,"4,3",,"Debrecen, Galamb u. 19, 4030",220-outlet.hu,06 70 701 9701
D-Thermo-Tech Épületgépészeti Kft.,"4,3",,"Nagykálló, Simonyi József u. 60, 4320",debrecenklima.hu,06 70 935 4063
Preciz.hu Aeg - Electrolux márkabolt,"4,6",,"Debrecen, Gázvezeték u. 10, 4030",preciz.hu,
Pari Elektronik 2000 Kft.,,,"Debrecen, Barna u. 18, 4025",pari2000.hu,06 20 429 9150
Thermovill 94 Szerviz,,,"Debrecen, Ötvenhatosok tere 7, 4032",,(06 52) 429 368
Praktiker,"4,2",,"Debrecen, Füredi út 27, 4027",praktiker.hu,06 80 323 232
