Name,Rating,Total Reviews,Address,Website,Phone
KlímaCsászár,"5,0",,"Császár, Dózsa György u. 8, 2858",,06 30 687 0013
Cool Comfort Klíma Kft,"4,6",,"Zsámbék, Etyeki u. 40, 2072",ccklima.hu,06 70 433 4566
Klíma.Shop.hu,"5,0",,"Piliscsév, Szilvás u. 22, 2519",cooltradetechnika.hu,06 70 395 4380
Szilágyi Dominik - Klímaszerelés,"5,0",,,dklima.hu,06 30 750 5232
"Szaki Klíma - Klímaszerelés, beszerzés, karbantartás",,,"Szerecseny, Rákóczi u. 29, 9125",szakiklima.hu,06 70 673 4887
KÉM GÁZ gázkémény tecknika NAGY ISTVÁN,,,"Rábapatona, Külső Imre u. 45, 9142",,06 70 604 0313
Wágenhoffer Klíma Kft,"4,5",,"Győr, Szent Imre út 134, 9028",wagenhoffer.hu,06 20 852 0053
"iCOOL Kft - Klíma és Hőszivattyú, Klíma Telepítés, Klímaszerelés Győr","5,0",,"Győr, Váci Mihály u. 108, 9011",klimaszerelesgyor.hu,06 70 381 9219
KlimaTechnic.hu,"4,8",,"Tokod, Szabadság u., 2531",klimatechnic.hu,06 30 756 3235
"Zúzmara Kkt / Magyar Zoltán - Gree Klíma és Syen Klíma, Győr Klíma Telepítés, Klímaszerelés Győr,Győri klímaszerelő.","5,0",,"Győr, Erdőtelep u. 13, 9025",klimaszervizgyor.hu,06 30 939 8823
Klíma-bolt.hu,"1,0",,"Szentendre, Napos stny. 20, 2000",klima-bolt.hu,06 20 535 6825
Klíma Gyor - www.kibe.hu,,,"Győr, Liszt Ferenc u. 30/A, 9022",kibe.hu,06 30 994 0822
Material Supply Service - Klíma és Szellőzéstechnika Kft.,"4,7",,"Győr, Budai út 18, 9027",material-klima.hu,06 20 276 6104
KlímaSZERELÉS,,,"Győr, Répce u. 24, 9024",klimadirekt.hu,(06 1) 257 9913
KST klímatechnika,"5,0",,"Piliscsaba, Nyárfa fasor 40, 2081",facebook.com,06 20 801 4724
"Silver Klíma - Klímaszerelés Győr / Split klíma, hőszivattyú, VRF/VRV","5,0",,"Győr, Bútorgyári u. 1/b, 9027",silverklima.hu,06 70 907 6606
Klíma,,,"Győr, Újvilág u., 9022",klimagyor.hu,(06 96) 326 490
Bodnár Klíma kft.,,,"Győr, Somogyi Béla u. 40, 9023",sites.google.com,06 30 502 2062
Klíma-Park Kft.,"4,9",,"Magyarpolány, Ságvári u. 19, 8449",,06 30 975 4625
KlímaRutin klíma és légtechnikai szaküzlet Pet Store Hungary Kft.,"5,0",,"Budapest, Toborzó udvar 3, 1138",klimarutin.hu,06 20 425 5628
KlímaOázis Kft,,,"Győr, József Attila u. 133, 9028",sbklima.hu,06 30 365 8380
Triatronic Kft.,"1,7",,"Győr, Liszt Ferenc u. 30/A, 9022",kibe.hu,06 30 994 0822
Klíma- és hőszivattyú szerelés,"3,5",,"Oroszlány, Dózsa György u.-13. 2/10, 2840",aklimaszerelo.hu,06 30 972 0035
KlímaRutin klíma és légtechnikai szaküzlet Pet Store Hungary Kft.,"5,0",,"Budapest, Toborzó udvar 3, 1138",klimarutin.hu,06 20 425 5628
Klíma Depó Tatabánya,"4,9",,"Tatabánya, Bódishegyi u. 7, 2800",klimadepotatabanya.hu,06 20 210 5835
Klímaszerelőnk - Klíma és hőszivattyú szerelés,,,"Budapest, Nagyenyed u. 11, 1132",klimaszerelonk.hu,06 30 623 8903
N&Sz Klíma,,,"Budapest, Frangepán u. 61, 1135",facebook.com,06 20 529 3505
Thermonet Kft. - Villamossági - Klíma - Kazán áruház,"3,5",,"Budapest, Hidegkúti út 283, 1028",,06 70 703 8112
Vasi Hűtéstechnika - Szombathely,"4,3",,"Szombathely, Csók István u. 22, 9700",vasihutestechnika.hu,06 30 682 5448
Klíma Hungary Kft.,"4,8",,"Budapest, Lóránt út 24/A, 1125",klimahungary.hu,06 70 626 3477
Vasi Alfa Bau Kft.,"5,0",,"Szombathely, Mészáros Lőrinc u. 1, 9700",alfabau.hu,06 30 864 5499
WILLY Villamossági és Klíma Szaküzlet,"4,5",,"Várpalota, Szent István út 11, 8100",klimanap.hu,06 20 327 9005
Klíma Centrum,"4,7",,"Veszprém, Házgyári út 5-7, 8200",kcv.hu,06 30 663 0655
Cooling & Heating Kft. (Napelemes rendszerek; Klímatechnika - Hőszivattyúk; Víz - Gáz - Fűtésszerelés),"4,3",,"Sopron, u., Somfalvi út 14, 9400",cooling-heating.hu,06 30 691 3776
REÁL GROUP,"5,0",,"Pilisvörösvár, Ponty u. 31, 2085",real-group.hu,(06 26) 998 200
Nikovia Klímatechnikai és Ügyviteli Bt.,"5,0",,"Budapest, Beszterce u. 2, 1194",nikovia.hu,06 30 950 3311
Bogyisz Kft.- Klíma | Ventilátor |Központi porszívó | Kis- és Nagykereskedés,,,"Budapest, Timót u. 4a, 1097",bogyisz.hu,06 70 560 0901
Cooltrend,"4,6",,"Veszprém, Budapest út 45, 8200",cooltrend.hu,(06 88) 423 277
Dobosi Kft.,"4,2",,"Szombathely, Nagy Lajos király u. 1, 9700",dobosi.hu,(06 94) 508 212
Profi Online Bolt Kft.,"4,5",,"Gyál, Vecsési út 89, 2360",pob.hu,06 20 334 1717
"Pásztor József Villanyszerelési anyagok árusítása, Víz-gáz-fűtés és villanyszer.","5,0",,"Balassagyarmat, Petőfi Sándor utca 15, 2660",,
Klíma- és légtechnikai szerelő (Kereskedés).,"5,0",,"Budapest, Királyerdő út 18, 1213",tippon-ac.webnode.hu,06 70 563 1545
"KORALL-KLIMA::: klíma, hőszivattyú, légtechnika, burkolat, alumínium kerítések","4,8",,"Mosonmagyaróvár, Palánk u. 1, 9200",korall-klima-hu.webnode.hu,06 70 555 0556
"Kelemen Zoltán Klíma telepítés- szerelés, szervizelés","3,9",,"Bicske, Szent István út 50, 2060",,06 30 949 5392
"Karika Klíma - Klíma Ajka, Fűtés - Hűtés Ajka, Klíma telepítés Ajka",,,"Ajka, Tálas utca 16, 8400",karikaklima.hu,06 20 566 6296
Bogyisz Kft.- Klíma kis- és nagykereskedés,"4,4",,"Budapest, Timót u. 4a, 1097",bogyisz.hu,06 70 560 0901
