Name,Rating,Total Reviews,Address,Website,Phone
KLÍMA NÍVÓ WEBÁRUHÁZ,"5,0",,"Cece, Kossuth Lajos u. 28, 7013",,06 70 967 3367
"Fejér-Tolna Klíma - (Klíma szerelés) Hűtő Fűtő Klíma, Légkondicionáló értékesítés/telepítés","5,0",,"Baracs, Tanácsház u. 47, 2426",ft-klima.hu,06 20 383 4628
Komiszár Gábor E.V.,"5,0",,"Tolna, Alkotmány u. 76, 7130",,06 20 445 5401
Szerelvény Szaküzlet Pn Klíma Kft,"4,7",,"Baja, Tél u. 100, 6500",facebook.com,06 30 159 0023
Háztartásigép és Klíma szervíz,"4,8",,"Dunaföldvár, József tér 5, 7020",,06 20 985 9217
Dunai Klíma,"5,0",,"Érd, Szajkó u. 7 D, 2030",dunaiklima.hu,06 70 501 2783
Klíma-bolt.hu,"1,0",,"Szentendre, Napos stny. 20, 2000",klima-bolt.hu,06 20 535 6825
"Németh György Klímatechnika - Klímatelepítés, Klímaszerelés, Klíma Szigetszentmiklós","4,6",,"Szigetszentmiklós, Szent Miklós útja 6/a, 2310",nemethklimatechnika.hu,06 30 949 4262
eklima.hu Webáruház,"4,2",,"Tököl, Hangár u. 7-16. Épület, 2316",eklima.hu,06 30 600 9306
"YetiShop Kft. klímatechnikai nagykereskedés, kivitelezés.","4,6",,"Pécs, Megyeri út 59, 7623",yetishop.hu,(06 72) 211 311
Nikovia Klímatechnikai és Ügyviteli Bt.,"5,0",,"Budapest, Beszterce u. 2, 1194",nikovia.hu,06 30 950 3311
KLÍMAPONT - Minker Kft.,"4,0",,"Baja, Szegedi út 113, 6500",klimapont.hu,(06 79) 420 300
