Name,Rating,Total Reviews,Address,Website,Phone
"Nyílászáró- és Klímacentrum - Klímaszerelés és Klíma Telepítés, Hűtő Fűtő Klíma, Műanyag Ablak, Hőszigetelt Ablak","5,0",,"Dunaújváros, Vasmű út 63, 2400",klimati.hu,06 30 910 9922
Rácklíma Kft.,"4,7",,"Dunaújváros, Petőfi Sándor u. 7, 2400",racklima.hu,06 30 146 3699
Ablak-Klíma 2000 Kft.,"3,4",,"Dunaújváros, Kodály Zoltán utca 3, 2400",,(06 25) 743 134
Szalki klíma,,,,szalkiklima.hu,
Andakiss Kft.,"4,6",,"Dunaújváros, Piac tér hrsz 116/11, 2400",andakiss.hu,06 20 950 6181
Jovics Klíma,"4,5",,"Nagyvenyim, Mezőfalvi út 4, 2421",jovicsklima.hu,06 30 281 6753
Csibra Hűtéstechnika Dunaújváros,"5,0",,"Dunaújváros, Venyimi út 2, 2400",csibrahutestechnika.hu,06 70 422 2897
OZOON Jármű klima-hűtő szervíz,"4,6",,"Dunaújváros, Szilárd Leó u. 3, 2400",ozoon.hu,06 20 937 6011
M-M klíma,"4,9",,"Nagyvenyim, Fő u. 61/1, 2421",dunaujvarosklima.hu,06 30 556 6953
Vasmű út 63,,,"Dunaújváros, 2400",,
ETD Mérnökiroda Kft.,"5,0",,"Dunaújváros, Dózsa György út 12. fsz. 1, 2400",etd.hu,06 30 559 1863
Autóklíma Dunaújváros,"4,7",,"Nagyvenyim, Fő u. 1, 2421",,06 30 975 1555
