Name,Rating,Total Reviews,Address,Website,Phone
Dél-Alföldi Klíma Kft - Szeged - Bemutatóterem,"4,9",,"Szeged, Kossuth Lajos sgrt. 45. fsz. 1, 6724",delklima.hu,06 70 434 3879
"DRZ Klíma Kft. - Klíma Beszerelés és Inverteres Klíma, Hűtő Fűtő Klíma, Split Klíma, Szeged, Szeged Klíma","4,8",,"Szeged, Fonógyári út 8, 6728",drzklima.com,06 30 504 4886
Alfa-Klíma Kft.,"4,6",,"Szeged, Kossuth Lajos sgrt. 72/E, 6724",alfa-klima.hu,(06 62) 950 335
P&P klíma kft. - Szeged,"5,0",,"Szeged, Róna u. 27, 6723",ppklima.hu,06 70 243 5222
BARANYI Hűtéstechnika és Klímatechnikai Készülékgyártó és Szerviz Kft.,"4,9",,"Hódmezővásárhely, Mester u. 1f, 6800",baranyihutestechnika.hu,06 30 228 8006
Minden Ami Klíma Kft.,"3,6",,"Szolnok, Szántó krt. 62, 5000",,06 20 776 6553
Dunai Klíma,"5,0",,"Érd, Szajkó u. 7 D, 2030",dunaiklima.hu,06 70 501 2783
Klíma Konstrukt-Gree Klíma Értékesítés,"5,0",,"Szeged, Bérkert u. 74.3, 6726",klimakonstrukt.hu,06 70 227 7234
Daikin Klímatechnika,"5,0",,"Budapest, Frankel Leó út 98, 1023",facebook.com,06 30 269 6969
Klíma.Shop.hu,"5,0",,"Piliscsév, Szilvás u. 22, 2519",cooltradetechnika.hu,06 70 395 4380
N&Sz Klíma,,,"Budapest, Frangepán u. 61, 1135",facebook.com,06 20 529 3505
Klímaszerelőnk - Klíma és hőszivattyú szerelés,,,"Budapest, Nagyenyed u. 11, 1132",klimaszerelonk.hu,06 30 623 8903
DT Klíma és Villanyszerelés,"5,0",,"Budapest, Fiume u. 58-Fszt. 7, 1202",dtklima.hu,06 30 389 9042
Paksi-Klíma Kft.,"4,0",,"Budapest, Nagysurány u. 10, 1117",,(06 1) 203 0371
Pannon-klímatech Kft.,"4,3",,"Budapest, Üllői út 545, 1182",pannonklima.hu,(06 1) 295 0296
Szeged Klíma,"3,6",,,szegedklima.hu,06 20 279 6509
Klíma Áruház - Webklíma,"4,9",,"Érd, Bagoly u. 83, 2030",webklima.hu,06 30 299 1919
"Kassai-Klíma Kft. - Klímaszerelés és Klíma Beszerelés, Hűtő Fűtő Klíma, Padlófűtés, Falfűtés, Inverteres Klíma","4,9",,"Budapest, Pesti út 256, 1173",klima-pest.hu,06 20 585 0850
"Gree Sinclair Rcool Klímaáruház - Hűtő Fűtő Klíma és Inverteres Klíma, Sinclair Klíma, Split Klíma, Klíma Akció","5,0",,"Szolnok, Verseghy út 11, 5000",szigetklima.hu,06 20 849 5847
Csábi-Klíma Kft.,"5,0",,"Budapest, Dessewffy u. 35, 1204",csabi-klima.hu,(06 1) 287 8463
"Frozente Klímatechnika Kft - Klímatelepítés Kispest,Klímakarbantartás Kispest, klímaszerelés","5,0",,"Budapest, Toldy u. 15, 1191",kispestklima.hu,06 30 640 8408
Klímatechnika.hu - Daikin klíma bemutatóterem,"4,8",,"Budapest, Illatos út 11/b, 1097",webshop.klimatechnika.hu,06 20 934 1004
KIShÁ Klímatechnika,"5,0",,"Budapest, Sáfrány u. 46, 1116",kishaklima.hu,06 30 526 1980
Sun Street Klíma,"5,0",,"Maglód, Nap u. 5/C, 2234",sunstreetklima.hu,
"Gree Sinclair Rcool Klímaáruház - Hűtő Fűtő Klíma és Inverteres Klíma, Sinclair Klíma, Split Klíma, Klíma Akció","5,0",,"Szolnok, Verseghy út 11, 5000",szigetklima.hu,06 20 849 5847
Dani Autóklíma Kft - klíma és fűtésszerelő,"4,6",,"Budapest, Kölcsey u. 39, 1202",daniautoklima.hu,06 70 674 6328
Klíma Szerelve Webáruház,"5,0",,"Budapest, Lehel u 7/B, 1134",yesklima.hu,06 30 682 5559
KT-Klíma Kft,"4,6",,"Budapest II. Rákóczi Ferenc út 345, lph 2 5-K ép. E, 1214",ktklima.hu,06 30 727 9558
"Cityklima.hu Klímaszerelés, karbantartás Budapesten és környékén Garanciával","4,9",,"Budapest, Nagysándor József u. 69, 1201",cityklima.hu,06 20 989 7233
"Klimadealer.hu - Klíma szerelés, karbantartás, Hőszivattyú","1,0",,"Érd, Fácán köz 4/2, 2030",klimadealer.hu,06 20 443 3212
KlímaRutin klíma és légtechnikai szaküzlet Pet Store Hungary Kft.,"5,0",,"Budapest, Toborzó udvar 3, 1138",klimarutin.hu,06 20 425 5628
Klíma Depó Tatabánya,"4,9",,"Tatabánya, Bódishegyi u. 7, 2800",klimadepotatabanya.hu,06 20 210 5835
"Blue World System Kft. - Klímaszerelés és Hőszivattyú, Klíma Beszerelés, GREE Klíma, Daikin Klíma, Fisher Klíma, Budapest","5,0",,"Budapest, Kiránduló u. 68, 1221",blueklima.hu,06 20 440 8080
Dotis Klíma Kft.,"3,4",,"Tata, Táncsics Mihály u. 4, 2890",tataklima.hu,06 30 746 6884
Klíma Hungary Kft.,"4,8",,"Budapest, Lóránt út 24/A, 1125",klimahungary.hu,06 70 626 3477
Nikovia Klímatechnikai és Ügyviteli Bt.,"5,0",,"Budapest, Beszterce u. 2, 1194",nikovia.hu,06 30 950 3311
Freshcool Kft,"4,8",,"Tököl, Fő u. 6, 2316",freshcool.hu,06 30 951 7801
MasterCold klímatechnika - Klímaszerelés és karbantartás Budapest,"5,0",,"Budapest, Királyok útja 210, 1039",mastercold.hu,06 20 544 4757
Klímashop Kft.,"4,6",,"Budapest, Zrínyi u. 90, 1171",klimashop.hu,06 20 937 2332
