Name,Rating,Total Reviews,Address,Website,Phone
Majoros Hűtő és Klíma szerviz,"5,0",,"Eger, Egri u. 70, 3300",majoroshutoklima.hu,06 20 947 5985
Eger-Klíma,"5,0",,,eger-klima.hu,06 20 205 4787
KOVÁCS Hűtő és Klíma Szerviz - Klímaértékesítés - Autóklíma,"3,9",,"Eger, Kistályai út 9, 3300",klima.mzy.hu,06 20 580 4204
Várhelyi Hűtés és Klímatechnika Kft.,"5,0",,"Eger, II. Rákóczi Ferenc u. 111, 3300",varhelyiklima.hu,(06 36) 418 514
Agria Klíma,,,"Eger, Gorové László u 9, 3300",eger-klima.hu,06 20 205 4787
Autóklíma Töltés Eger,"4,2",,"Eger, Tárkányi út 86-a, 3300",,06 30 619 2935
RAPI TAMÁS - Autóvillamosság - Autóklíma Szerviz - Önindító Generátor Szerviz,"4,7",,"Eger, Kertész u. 112, 3300",,06 30 967 4050
J.P. 98 Fűtéstechnika Kft.,"4,6",,"Eger, Szövetkezet u. 5, 3300",jpfutestechnika.hu,(06 36) 415 128
OBI áruház Eger,"4,3",,"Eger, Rákóczi út 102, 3300",obi.hu,(06 1) 451 8811
Fermo Bt.,"4,7",,"Eger, Maklári út 33, 3300",,(06 36) 419 301
Szatmári Eger,"4,0",,"Eger, Sertekapu u. 38, 3300",szatmari.hu,(06 36) 537 350
Mester 98 Bt. Barkácsbolt,"4,8",,"Eger, Szvorényi József u. 2/A, 3300",,(06 36) 413 861
Csörgő László,"4,8",,"Andornaktálya, József Attila u. 13/1, 3399",,06 30 264 9327
dieselDR Kft. Eger,"4,8",,"Eger, Kistályai út 18, 3300",dieseldr.hu,(06 36) 417 080
Drilda Otthon Design,"4,8",,"Eger, Sas u. 38-40, 3300",drilda.uzleti.hu,06 30 643 6228
STARTER Akkumulátor Kis és Nagykereskedelem - Akkumulátor Szerviz,"4,9",,"Eger, Meder u. 20, 3300",starterakku.hu,06 30 983 8727
Kaputechnika - Eger,,,"Eger, Király u. 5, 3300",,06 20 951 3581
