Name,Rating,Total Reviews,Address,Website,Phone
"Műszaki kereskedés, klímák fogalmazása, telepítése, Electrolux Márkaszervíz - Tamás és Társa Bt","4,3",,"Szerencs, Erzsébet u. 1, 3900",tamasestarsabt.hu,(06 47) 363 853
N&Sz Klíma,,,"Budapest, Frangepán u. 61, 1135",facebook.com,06 20 529 3505
Boros Dániel E. V.,,,"Budakeszi, erdő utca 45, 2092",,06 70 389 4870
Klíma Szerelve Webáruház,"5,0",,"Budapest, Lehel u 7/B, 1134",yesklima.hu,06 30 682 5559
Első Hókristály Kft.,"4,7",,"Gödöllő, Rét u. 2, 2100",,(06 28) 513 736
Klíma Miskolc,"4,9",,"Miskolc, Széchenyi istván út 46, 3530",,06 70 552 0931
Comfort Klíma Miskolc Klímaszerelés-Karbantartás,"4,9",,"Miskolc, Bajcsy-Zsilinszky utca 32, 3527",miskolcklima-legtechnika.hu,06 30 540 0697
eklima.hu Webáruház,"4,2",,"Tököl, Hangár u. 7-16. Épület, 2316",eklima.hu,06 30 600 9306
Optimaplusz Klímacentrum,"4,9",,"Miskolc, József Attila u. 57, 3527",,06 30 958 0967
Kistarcsaklíma,"4,7",,"Kistarcsa, Szabadság út 30, 2143",kistarcsaklima.hu,06 70 603 7830
Hibrid Klíma,"4,4",,"Miskolc, Vászonfehérítő u. 24, 3531",hibrid-klima.hu,06 20 245 5469
Klíma-bolt.hu,"1,0",,"Szentendre, Napos stny. 20, 2000",klima-bolt.hu,06 20 535 6825
Klíma-24.hu Webáruház,"4,4",,"Budapest, Arany János u. 53, 1165",klima-24.hu,06 30 870 0280
Várhelyi Hűtés és Klímatechnika Kft.,"5,0",,"Eger, II. Rákóczi Ferenc u. 111, 3300",varhelyiklima.hu,(06 36) 418 514
Klímaszerelőnk - Klíma és hőszivattyú szerelés,,,"Budapest, Nagyenyed u. 11, 1132",klimaszerelonk.hu,06 30 623 8903
Márton Klíma Nyíregyháza,"4,8",,"Nyíregyháza, Dobó István u. 12, 4400",martonklima.hu,06 30 198 4510
KlímaRutin klíma és légtechnikai szaküzlet Pet Store Hungary Kft.,"5,0",,"Budapest, Toborzó udvar 3, 1138",klimarutin.hu,06 20 425 5628
Klíma Hungary Kft.,"4,8",,"Budapest, Lóránt út 24/A, 1125",klimahungary.hu,06 70 626 3477
"Klíma Audit Kft. - klíma, hűtés, légtechnika","4,2",,"Budapest, Sashalmi stny. 32, 1165",klimaszaki.hu,06 70 615 3643
Klímád.hu,"5,0",,"Budapest, Lóverseny tér 6, 1048",klimad.hu,06 20 416 5625
Klima Selection,,,"Budapest, Pétervárad u. 5, 1145",,06 30 933 1560
Klima Kft.,"4,3",,"Budapest, Reitter Ferenc u. 132, 1131",klima.hu,(06 1) 666 7001
Klíma Kisházi,"5,0",,"Budapest, Kövér Lajos u. 45, 1149",klimakishazi7.webnode.hu,06 70 603 1267
ICEKLÍMA,"3,8",,"Diósd, Homokbánya u. 77, 2049",iceklima.hu,06 20 231 2880
Klíma Szaküzlet,"4,2",,"Érd, Balatoni út 72, 2030",klimaszakuzletem.hu,06 20 382 6376
"KlímaNord akciós klímák szereléssel együtt, egyéb költség nélkül.","3,9",,"Budapest, Rákosi út 233, 1162",klimanord.hu,06 30 632 0721
Klíma és Hűtéstechnikai Kft. Klima-Hőszivattyú Gödöllő,"4,2",,"Gödöllő, Bajcsy-Zsilinszky utca 21-25 fsz 2, 2100",klima-hutestechnika.hu,06 30 934 3689
Speciál Kft. Villamossági és Klíma Szaküzlet,"4,6",,"Albertirsa, Köztársaság u. 33, 2730",users.atw.hu,
Inviair Kft.,"3,7",,"Budapest, Pintér József u. 42, 1044",inviair.hu,06 20 316 8500
Northwind Hűtéstechnika Kft,,,"Budapest, Rőzse u. 7, 1125",northwind.hu,06 70 409 9760
Freshcool Kft,"4,8",,"Tököl, Fő u. 6, 2316",freshcool.hu,06 30 951 7801
Paksi-Klíma Kft.,"4,0",,"Budapest, Nagysurány u. 10, 1117",,(06 1) 203 0371
KIMI Klíma Kft,"4,9",,"Majosháza, 053 20 hrsz, 2339",kimiklima.hu,06 30 924 2118
"Épületgépészet, klíma szereléssel és kéménybélelés","5,0",,"Budapest, Hegyalja út 5, 1016",klima-gepesz.hu,06 20 588 5235
FCSK Klímaszerelés,,,"Budapest, Attila u. 15, 1201",,06 20 589 2581
"Kassai-Klíma Kft. - Klímaszerelés és Klíma Beszerelés, Hűtő Fűtő Klíma, Padlófűtés, Falfűtés, Inverteres Klíma","4,9",,"Budapest, Pesti út 256, 1173",klima-pest.hu,06 20 585 0850
"Kakas Zoltán - Klímaszerelés Hűtés-Fűtés, Villanyszerelés, Hőszivattyú, Napelem","5,0",,"Pilisborosjenő, Dugovics Titusz u. 14, 2097",klimatelepites.com,06 30 175 4604
Rcool klíma,"4,0",,"Budapest, Bőröndös u., 1044",,06 70 943 4372
klimastore.hu,,,"Csomád, Kossuth Lajos út 79, 2161",klimastore.hu,
MasterCold klímatechnika - Klímaszerelés és karbantartás Budapest,"5,0",,"Budapest, Királyok útja 210, 1039",mastercold.hu,06 20 544 4757
Klíma Professional Kft,"5,0",,"Budapest, Kaszáló u. 69, 1173",klimaprofessional.hu,06 20 340 3637
AIRPRO-KLIMA,"5,0",,"Fót, Vörösmarty Mihály u. 11, 2151",,06 30 604 1146
“HIDEGMELEG” Klima Hőszivattyú,"4,7",,"Érd, Tárnoki út 36, 2030",hidegmeleg.hu,06 20 801 4372
X-KLÍMA,"4,6",,"Budapest, Veres Péter út 51, 1163",x-klima.hu,06 30 620 7119
Nikovia Klímatechnikai és Ügyviteli Bt.,"5,0",,"Budapest, Beszterce u. 2, 1194",nikovia.hu,06 30 950 3311
Klima Ideal,"5,0",,"Budapest, József Attila u. 18, 1042",klimaideal.hu,06 30 287 5258
Frozen Air Klíma Webshop,"5,0",,"Budapest, Szent István u. 3, 1039",frozenair.hu,06 70 381 3960
Klíma.Shop.hu,"5,0",,"Piliscsév, Szilvás u. 22, 2519",cooltradetechnika.hu,06 70 395 4380
"Klimadealer.hu - Klíma szerelés, karbantartás, Hőszivattyú","1,0",,"Érd, Fácán köz 4/2, 2030",klimadealer.hu,06 20 443 3212
"PR-Cooling Kft . - Klímatechnika Monor , Légkondicionáló Monor","5,0",,"Monor, 4-es Főút 34, 2200",,
P&P klíma kft. - Budapest,"4,9",,"Budapest, Hegedűs Gyula u. 52/A, 1133",ppklima.eu,06 70 243 5222
H&G Klímatechnika Kft,"5,0",,"Budapest, Vácduka tér 29, 1151",handgklimatechnika.hu,06 20 414 6806
"Szigetklíma - Klímaszerelés és Klíma Tisztítás, Inverteres Klíma, GREE Klíma, Klíma Akció","4,4",,"Budaörs, Vasútsor utca 25, 2040",szigetklima.hu,06 20 849 5847
P&P klíma kft. - Buda,"5,0",,"Budapest, Etele út 57, 1119",,
Invert Klíma,"5,0",,"Budapest, Czetz János u. 1, 1039",,06 20 968 3036
Neo Klíma Kft. (Iroda és értékesítés),"5,0",,"Budapest, Hunyadi u. 47. szám, 1196",neoklima.hu,06 20 942 9577
"Szaniter és Klíma Center , RMG","4,8",,"Budapest, Arany János u. 48, 1221",szaniteresklimacenter.hu,06 30 815 9597
Hidegklima.hu,"4,2",,"Budapest, Kerepesi út, 1173",hidegklima.hu,06 30 207 0840
klima újpest,"5,0",,"Budapest, Lebstück Mária u. 59, 1042",klimaujpest.hu,06 70 287 2121
COOL DEPO Klíma -és hűtéstechnikai szaküzlet,"4,9",,"Nagytarcsa, Felső Ipari körút 2, 2142",cooldepo.hu,06 30 122 5422
Profi klímaszerelés,,,"Budapest, Csongor u. 24, 1139",profiklimatisztitas.hu,06 20 943 8440
"Gree Sinclair Rcool Klímaáruház - Hűtő Fűtő Klíma és Inverteres Klíma, Sinclair Klíma, Split Klíma, Klíma Akció","5,0",,"Szolnok, Verseghy út 11, 5000",szigetklima.hu,06 20 849 5847
Perfekt Klíma Bau Kft,"5,0",,"Fót, Móricz Zsigmond út 4, 2151",minosegiklimak.hu,(06 27) 363 948
Klíma-Express Kft.,"4,1",,"Budapest, Bodza u. 2, 1104",klimaexpress.hu,(06 1) 260 3950
RS Klíma,"5,0",,"Szigethalom, Kinizsi u. 20/A, 2315",rsklima.hu,06 70 615 4066
VARGA Szerelvény Kft.,"4,8",,"Érd, Diósdi út 12, 2030",budapestklima.hu,(06 23) 364 588
ColdKlíma.hu - Klímaszerelés Budapest és Pest megye,"4,6",,"Budapest, Victor Hugo u. 11, 1132",coldklima.hu,06 70 207 0266
Fagyos-Szentek Kft,"4,8",,"Budapest, Bemutatóterem, Torbágy u. 2, 1118",technofrig.hu,06 30 833 7761
Stadionklima - Klímaszakáruház és bemutatóterem,"5,0",,"Budapest, Földszint, Kerepesi út 36, 1148",stadionklima.hu,06 30 164 6185
Kristály Klíma Plusz Kft.,"5,0",,"Budapest, Brassó út 169, 1118",kristalyklima.hu,(06 1) 319 2697
Klíma Beszerelve Kft.,,,"Budapest, Drégely u. 2-4, 1097",klimabeszerelve.hu,06 30 636 1927
Kende Kft.,"5,0",,"Budapest, Etele út 32, 1119",kendekft.hu,(06 1) 205 3784
KT-Klíma Kft,"4,6",,"Budapest II. Rákóczi Ferenc út 345, lph 2 5-K ép. E, 1214",ktklima.hu,06 30 727 9558
Klímaszerelés Dunakeszi,,,"Dunakeszi, Illyés Gyula u., 2120",klimaszerelesek.hu,
Dunai Klíma,"5,0",,"Érd, Szajkó u. 7 D, 2030",dunaiklima.hu,06 70 501 2783
DT Klíma és Villanyszerelés,"5,0",,"Budapest, Fiume u. 58-Fszt. 7, 1202",dtklima.hu,06 30 389 9042
Klíma Kovács 24 Kft,"4,9",,"Gyál, Pozsonyi u. 42, 2360",klimakovacs24.hu,06 30 757 3992
Kontakt Klíma Kft.,"4,5",,"Szentendre, Paprikabíró u. 21-23, 2000",kontaktklima.hu,06 70 310 8981
Kelton Klíma,"5,0",,"Budapest, Kós Károly tér 11, 1192",keltonklima.hu,06 30 424 5052
"SZABIKLIMA - klímaszerelés, klímatelepítés, gázszerelés","5,0",,,szabiklima.hu,06 30 390 1810
Klímatechnika.hu - Daikin klíma bemutatóterem,"4,8",,"Budapest, Illatos út 11/b, 1097",webshop.klimatechnika.hu,06 20 934 1004
Daikin Klímatechnika,"5,0",,"Budapest, Frankel Leó út 98, 1023",facebook.com,06 30 269 6969
Klíma hőszivattyú Budapest - H2 Station,"5,0",,"Budapest, Damjanich u. 17-1/2, 1071",legkondicionalok.hu,06 70 778 8700
Qualtitás Víz Gáz Szerelvény,"4,8",,"Gödöllő, Testvérvárosok útja 11, 2100",szerelvenygodollo.hu,(06 28) 514 490
GreeKlimaker Klíma Hűtő,,,"Budapest, Kossuth tér, 1191",,06 30 884 1121
Minden Ami Klíma Kft.,"3,6",,"Szolnok, Szántó krt. 62, 5000",,06 20 776 6553
Várhelyi Hűtés és Klímatechnika Kft.,"5,0",,"Eger, II. Rákóczi Ferenc u. 111, 3300",varhelyiklima.hu,(06 36) 418 514
BRS Klíma és Gázcentrum Kft.,"4,6",,"Miskolc, Soltész Nagy Kálmán u. 161, 3529",gazcentrum.brskft.hu,(06 46) 412 421
"Frozente Klímatechnika Kft - Klímatelepítés Kispest,Klímakarbantartás Kispest, klímaszerelés","5,0",,"Budapest, Toldy u. 15, 1191",kispestklima.hu,06 30 640 8408
Comfort Klíma Miskolc Klímaszerelés-Karbantartás,"4,9",,"Miskolc, Bajcsy-Zsilinszky utca 32, 3527",miskolcklima-legtechnika.hu,06 30 540 0697
"Cityklima.hu Klímaszerelés, karbantartás Budapesten és környékén Garanciával","4,9",,"Budapest, Nagysándor József u. 69, 1201",cityklima.hu,06 20 989 7233
Klíma Most Kft,"5,0",,"Budapest, Budaörsi út 172-178, 1112",klima-most.hu,06 30 940 1886
Pasarét Klíma,,,"Budapest, Guyon köz 5, 1026",pasaretklima.hu,06 20 362 6566
Bogyisz Kft.- Klíma kis- és nagykereskedés,"4,4",,"Budapest, Timót u. 4a, 1097",bogyisz.hu,06 70 560 0901
Fűtés klímával,,,,klimas-futes.hu,
Klíma Tech,"4,5",,"Budapest, Béke tér, 1139",klima-tech.hu,06 20 217 8178
"HEVES - JEGES KLÍMA KFT, klímaszerelés, klíma értékesítés és villanyszerelés","3,7",,,heves-jeges.hu,06 30 850 2628
PestKlíma Kft.,"4,4",,"Budapest, Patyolat u. 48, 1155",pestklima.hu,06 20 610 6000
"Klímaszerelés, klímatisztítás Budapest","5,0",,"Budapest, Kövér Lajos u. 54, 1149",profiklimatisztitas.hu,06 20 943 8440
Klíma Miskolc,"4,9",,"Miskolc, Széchenyi istván út 46, 3530",,06 70 552 0931
Jégverem Klíma Kft.,"3,6",,"Budapest, Telepes u. 65, 1147",jegveremklima.hu,06 20 360 6639
Mil-Air Klímaszerelés,"5,0",,"Budapest, Üllői út 458, 1183",,06 70 789 5733
Rudolf Klíma,,,"Budapest, Bocskai út 23-25, 1114",rudolfklima.hu,(06 1) 600 5470
JegesEmber Klíma,"4,6",,,jegesemberklima.hu,06 70 788 9701
Gáz-Klíma-Centrum,"3,3",,"Budapest, Szentendrei út 250, 1038",gaz-klima-centrum.hu,06 30 931 9060
Márton Klíma Nyíregyháza,"4,8",,"Nyíregyháza, Dobó István u. 12, 4400",martonklima.hu,06 30 198 4510
Alba-Nord Klíma- és Szellőzéstechnikai Kft.,"3,8",,"Székesfehérvár, Kadocsa u. 60, 8000",albanord.hu,(06 22) 500 550
"i-Klíma - Klímaszerelés és Klímatisztítás, Hűtő Fűtő Klíma, Klíma Beszerelés","5,0",,"Budapest, Simonyi Zsigmond u 27, 1191",iklima.hu,06 20 857 5757
Hòember Klíma Épületgépészeti és Szolgáltatò Kft.,"4,8",,"Budapest, Balázs u. 51, 1147",hoemberklima.hu,06 30 367 8151
Ózon Klímatechnikai Kft.,"3,0",,"Budapest, Reitter Ferenc u. 132, 1131",ozon.hu,(06 1) 666 7050
KLÍMA WEBÁRUHÁZ - Olcsobbklima.hu,,,"Székesfehérvár, Széchenyi u. 94, 8000",olcsobbklima.hu,06 20 986 9195
Optimaplusz Klímacentrum,"4,9",,"Miskolc, József Attila u. 57, 3527",,06 30 958 0967
