Name,Rating,Total Reviews,Address,Website,Phone
MELEGET.hu Békéscsaba,"4,2",,"Békéscsaba, Jókai u. 29, 5600",meleget.hu,06 70 881 7282
EP Hűtő- és klímatechnika kis- és nagykereskedés,"4,9",,"Békéscsaba, Kölcsey u. 17, 5600",ephutoklima.hu,06 20 408 4401
Gyula-Klíma Szaküzlet,"5,0",,"Gyula, Szent István u. 57, 5700",,(06 66) 632 270
Horváth Hűtő Kft.,"5,0",,"Gyula, Széchenyi u. 41, 5711",klimahorvath.hu,06 20 980 7623
Klímakomplex Kft.,"5,0",,"Gyula, Hold u. 20, 5700",klimakomplex.hu,(06 66) 461 362
Klímakomplex Kft.,"4,7",,"Gyula, Temesvári út 57, 5700",klimakomplex.hu,06 30 978 7888
Heat&Cool Klíma Kft.,,,"Gyula, Jókai Mór u. 19-2/a, 5700",,06 20 559 9476
Gyulaklíma,"5,0",,,gyulaklima.hu,06 30 481 6311
Autóklíma és Gumiabroncs Szervíz Gyula,"5,0",,"Gyula, Gyula Sarkadi út 5 Bejárat a Vajda János utca 1 felől!!!!!, Sarkadi út 5, 5700",,06 70 271 1524
Gyula Autóház Kft.,"4,4",,"Gyula, Csabai út 9, 5700",gyulaautohaz.hu,06 30 562 5286
