Name,Rating,Total Reviews,Address,Website,Phone
Pingvin Klíma Bosch Nagykereskedés,"5,0",,"Kecskemét, Bethlen krt. 35, 6000",pingvinklima.hu,06 30 978 8843
Profi Online Bolt Kft.,"4,5",,"Gyál, Vecsési út 89, 2360",pob.hu,06 20 334 1717
"YetiShop Kft. klímatechnikai nagykereskedés, kivitelezés.","4,6",,"Pécs, Megyeri út 59, 7623",yetishop.hu,(06 72) 211 311
H&H Klímatechnika kis- és nagykereskedés,"4,5",,"Kecskemét, Budai u. 159, 6000",hhklima.hu,06 30 600 2006
eklima.hu Webáruház,"4,2",,"Tököl, Hangár u. 7-16. Épület, 2316",eklima.hu,06 30 600 9306
"Air conditioning installation, repair, sales | Andakiss Kft. | Paks","5,0",,"Paks, Rosthy u. 6-fszt/3, 7030",andakiss.hu,06 20 379 4012
Climexpert Kft,"5,0",,"Üllő, Vadvirág u. 10, 2225",climexpert.hu,06 70 364 3500
“HIDEGMELEG” Klima Hőszivattyú,"4,7",,"Érd, Tárnoki út 36, 2030",hidegmeleg.hu,06 20 801 4372
Gyurell Kft.,"4,8",,"Szigetszentmiklós, Wesselényi u. 1, 2310",gyurell.hu,06 20 233 8393
Klíma Áruház - Webklíma,"4,9",,"Érd, Bagoly u. 83, 2030",webklima.hu,06 30 299 1919
Gleccser Klíma Kft.,"4,4",,"Budaörs, Ostor u. 38, 2040",gleccserklima.hu,06 70 266 3838
KLÍMA NÍVÓ WEBÁRUHÁZ,"5,0",,"Cece, Kossuth Lajos u. 28, 7013",,06 70 967 3367
Klíma- és légtechnikai szerelő (Kereskedés).,"5,0",,"Budapest, Királyerdő út 18, 1213",tippon-ac.webnode.hu,06 70 563 1545
"Hűtés- és klímatechnika, napkollektorok, napelemek - Szalai Dániel",,,"Székesfehérvár, Széchenyi u. 23-25, 8000",,06 70 312 7218
Komiszár Gábor E.V.,"5,0",,"Tolna, Alkotmány u. 76, 7130",,06 20 445 5401
"Frozente Klímatechnika Kft - Klímatelepítés Kispest,Klímakarbantartás Kispest, klímaszerelés","5,0",,"Budapest, Toldy u. 15, 1191",kispestklima.hu,06 30 640 8408
Faktor Vállalkozási Iroda Kft.,"4,8",,"Budapest, Pesti út 9, 1173",faktoraruhaz.hu,(06 1) 253 0394
"Klimadealer.hu - Klíma szerelés, karbantartás, Hőszivattyú","1,0",,"Érd, Fácán köz 4/2, 2030",klimadealer.hu,06 20 443 3212
Mecsek-Klíma Kft.,"4,0",,"Pécs, Rácvárosi út 68, 7634",mecsekklima.hu,(06 72) 534 761
Mega-Klíma Kft.,"4,8",,"Pécs, Fürj u. 8, 7630",klimapecs.com,06 30 540 3044
DT Klíma és Villanyszerelés,"5,0",,"Budapest, Fiume u. 58-Fszt. 7, 1202",dtklima.hu,06 30 389 9042
KLÍMA WEBÁRUHÁZ - Olcsobbklima.hu,,,"Székesfehérvár, Széchenyi u. 94, 8000",olcsobbklima.hu,06 20 986 9195
Ceklima,"4,5",,"Pécs, Vadász u. 83, 7627",ceklima.hu,06 20 382 2998
Szigeti Klíma,"4,5",,"Tab, Fő tér, 8660",,06 20 824 3606
Klíma- és légtechnikai szerelő (Kereskedés).,"5,0",,"Budapest, Királyerdő út 18, 1213",tippon-ac.webnode.hu,06 70 563 1545
