Name,Rating,Total Reviews,Address,Website,Phone
Bihar Klíma,"4,8",,,biharklima.hu,06 70 942 8778
"Klímaflex Kft. Klíma, klímaszerelés, telepítés - Debrecen,","5,0",,"Debrecen, Hadházi út 17, 4028",klimaflexdebrecen.hu,06 30 319 6371
Hbcool klímaszerelés,"5,0",,"Hajdúböszörmény, Ungvár u. 33, 4220",hbcool.hu,06 20 408 4093
"Hajdú-Bihar Klíma, Klímaszerelés és Szervíz","5,0",,"Debrecen, Kard u 16, 4033",hajdubiharklima.hu,06 30 308 3849
"KlimaTech Debrecen - Klímaszerelés, Klíma karbantartás, Klíma javítás, Eladás","5,0",,"Debrecen, Simonffy u. 4.-6. Fsz./41, 4025",klimatechdebrecen.hu,06 20 310 1307
"Hot & Cool Klíma és hőszivattyú webáruház - Klímaszerelés, Klíma karbantartás, Kíma tisztítás, Klíma forgalmazás - Debrecen","4,5",,"Debrecen, Kishegyesi út 162, 4031",hotcoolklima.hu,06 30 464 6147
Klíma Doki Kft.,"4,8",,"Debrecen, Galamb u. 19, 4030",klimadokikft.hu,06 30 522 8946
Cívis klíma,"4,9",,"Debrecen, Bem tér 11, 4026",civisklima.hu,06 20 471 7554
DA Klíma Kft.,"5,0",,"Debrecen, Kassai út 47, 4028",daklima.hu,06 20 399 6050
Ice Star Kft.,"4,7",,"Debrecen, Galamb u. 6, 4030",icestar.hu,(06 52) 470 647
Klíma Centrum Debrecen,"5,0",,"Debrecen, Monostorpályi út 28, 4030",cool-sat.hu,06 20 234 5624
KG Klíma és Villanyszerelés,"5,0",,"Hajdúszoboszló, Mathiász János u. 24, 4200",kgklima.hu,06 30 935 8439
Hajdúhadház,,,,,
Cívis Solar Hungária Kft.,"4,6",,"Debrecen, Vámraktár u., 4030",civissolar.hu,06 30 218 8888
Klímaszerelés - Klíma,,,"Debrecen, Békessy Béla u. 9. C, 4032",,(06 52) 322 121
Polgármesteri Hivatal Hajdúhadház,"3,6",,4242 Hajdúhadház Bocskai tér 1. Magyarország,hajduhadhaz.hu,(06 52) 384 103
