Name,Rating,Total Reviews,Address,Website,Phone
Magyarorszagklima.hu,,,,magyarorszagklima.hu,06 20 457 6090
Pannox Kft.,"5,0",,"Miskolc, Gyöngyösi István u. 19, 3528",pannoxkft.hu,(06 46) 505 564
Comfort Klíma Miskolc Klímaszerelés-Karbantartás,"4,9",,"Miskolc, Bajcsy-Zsilinszky utca 32, 3527",miskolcklima-legtechnika.hu,06 30 540 0697
ABYCO Klímatechnikai és Mérnöki Szolgáltató Kft.,"5,0",,"Hernád, Gyóni út 6/b, 2376",abyco.hu,06 30 398 8861
Cool and Heat Klíma,,,"Miskolc, Szekerész u. 4, 3527",candhklima.hu,06 30 204 5110
Zefír Klíma Kft.,"5,0",,"Hernád, Vasút út 8, 2376",ceginformacio.hu,06 70 312 5808
Hibrid Klíma,"4,4",,"Miskolc, Vászonfehérítő u. 24, 3531",hibrid-klima.hu,06 20 245 5469
Császár Klíma (Klímaszerelés és karbantartás),"5,0",,"Mályi, Madách Imre u. 9, 3434",klimacsaszar.hu,06 70 747 6555
Klíma telepítés és karbantartás,"5,0",,"Hernád, Gyóni út 104, 2376",,06 30 596 0210
Éger Tech Kft. - Klímaszerelés Klímaszerelő Hőszivattyús Fűtés Miskolc,"5,0",,"Miskolc, Park u. 2, 3529",egertech.hu,06 30 205 3740
"Príma Klíma Miskolc - Klímaszerelés és karbantartás Miskolc, Borsod, Szabolcs és Heves","5,0",,"Miskolc, Margaréta u. 10, 3533",primaklimamiskolc.hu,06 70 561 1450
"Műszaki kereskedés, klímák fogalmazása, telepítése, Electrolux Márkaszervíz - Tamás és Társa Bt","4,3",,"Szerencs, Erzsébet u. 1, 3900",tamasestarsabt.hu,(06 47) 363 853
Klíma Miskolc,"4,9",,"Miskolc, Széchenyi istván út 46, 3530",,06 70 552 0931
Direct-Klíma Miskolc,"5,0",,"Miskolc, Széchenyi istván út 88, 3530",,06 20 291 1071
Optimaplusz Klímacentrum,"4,9",,"Miskolc, József Attila u. 57, 3527",,06 30 958 0967
Speciál Klíma,"5,0",,"Miskolc, Szilágyi Dezső u. 51, 3529",specialklima.hu,06 20 617 7112
Víz Gáz Fűtés - FŰTÉSTECH épületgépészet Kft,"4,7",,"Miskolc, Zsigmondy Vilmos u. 8, 3527",futestech.hu,06 30 878 5966
BRS Klíma és Gázcentrum Kft.,"4,6",,"Miskolc, Soltész Nagy Kálmán u. 161, 3529",gazcentrum.brskft.hu,(06 46) 412 421
