Name,Rating,Total Reviews,Address,Website,Phone
Jégvarázs Klíma Jászberény,"5,0",,"Jászberény, Bercsényi út 15, 5100",m.facebook.com,06 20 778 9928
Klíma Príma Kft.,"5,0",,"Jászberény, Fáy András u. 21, 5100",ceginformacio.hu,(06 57) 411 545
Inventor klíma,,,"Jászberény, Dózsa György út, 5100",inventorklima.hu,(06 57) 502 290
Klíma 91 Kereskedelmi és Szolgáltató Kft.,"5,0",,"Jászberény, Szél u. 15, 5100",,06 30 475 4436
Becker és Kalorexpress Kft.,,,"Jászberény, Fáy András u. 21, 5100",hutokamra.hu,(06 57) 411 545
Sikur Klíma és Épületgépész Kft,,,,klima-epuletgepesz.hu,06 20 366 2647
Risai György E.v. - Klíma Jászberény,,,"Jászberény, Faiskola u. 6, 5100",,06 20 452 8381
"Videó 2000 Műszaki, Klíma és Hőszivattyú Kereskedés","4,6",,"Jászberény, Dózsa György út 25, 5100",video2000.hu,(06 57) 502 290
Ász Klíma,"5,0",,"Pusztamonostor, Petőfi Sándor u. 9, 5125",aszklima.hu,06 70 615 8547
Kun Miklos,"4,1",,"Jászberény, Gyöngyösi út 44, 5100",,06 30 945 4345
Krisztián Mobile Kft,"3,8",,"Jászberény, Nagykátai út 4/b, 5100",,06 70 777 7722
