Name,Rating,Total Reviews,Address,Website,Phone
Praktiker,"4,3",,"Kaposvár, Füredi u. 99, 7400",praktiker.hu,06 80 323 232
kaposvar klima,,,"Kaposvár, Honvéd u. 14/C, 7400",somogyklima.hu,06 20 961 6637
Euroklíma,"4,9",,"Kaposvár, Bajcsy-Zsilinszky u. 2, 7400",euroklimaszerviz.hu,06 70 743 5555
Hűtő-Fűtő Klíma,,,"Kaposvár, Fő u. 49, 7400",huto-futo-klima.wixsite.com,06 20 428 2394
TOP KLIMA,"1,0",,"Kaposvár, Kócsag u. 63, 7400",topklima.hu,06 20 568 6451
Cool Air Kaposvár Klíma,"4,6",,"Kaposvár, Kanizsai u. 41, 7400",facebook.com,06 70 251 5327
Class-Elektronik Bt.,"4,3",,"Kaposvár, Honvéd utca 14/c, Honvéd utca 18/b, 7400",somogyklima.hu,(06 82) 511 870
"Bosnyák és Társa Bt - Hűtéstechnika, Hőszivattyú, Klímaszerelés, Ipari Hűtés, Sokkoló Fagyasztó, Kereskedelmi Hűtő",,,"Kaposvár, Ibolya u. 52, 7400",bosi.hu,06 30 209 1116
KLIMA BEMUTATÓTEREM kaposvár,"3,3",,"Kaposvár, Damjanich u. 4, 7400",kaposvarklima.hu,(06 82) 311 000
klimakaposvar,,,"Kaposvár, Arany János köz, 7400",klimakaposvar.hu,(06 82) 351 682
Csapó Autóvillamosság szerviz,"4,4",,"Kaposvár, Kaposrét sor 93, 7400",uzleti.hu,06 70 392 7970
Rpont Bemutatóterem (Klíma és Árnyékolás),"2,8",,"Kaposvár, Damjanich u. 4, 7400",redonybolt.com,(06 82) 311 000
UltraCool klíma,"5,0",,"Kaposfő, Petőfi Sándor u. 40, 7523",ultracool.hu,06 20 311 3484
Euroklíma Magyarország Kft. (Eredeti),"5,0",,"Sántos, 039 2 hrsz, 7479",euroklima.hu,06 30 569 5000
Klímatisztítás Kaposvár,"5,0",,"Kaposvár, Honvéd u. 5, 7400",klimatisztitaskaposvar.hu,06 30 924 2528
Bella Kandalló,"3,8",,"Kaposvár, Kálvária u. 81, 7400",bellakandallo.uw.hu,06 30 270 7285
Szatmári Kft.,"4,1",,"Kaposvár, Dombóvári út 1, 7400",szatmari.hu,(06 82) 526 910
