Name,Rating,Total Reviews,Address,Website,Phone
Villamossági Bolt Ker-Lux Bt.,"4,8",,"Karcag, Kacsóh u. 26, 5300",,(06 59) 313 648
"Karcagi Vertikál Kft. - hegesztéstechnika, hegesztőgép, hegesztőhuzal, hegesztőpálca, kéziszerszámok, elektromos szerszámok, munkavédelem, munkaruházat, kötőelemek","4,7",,"Karcag, Széchenyi István sgrt. 43, 5300",karcagivertikal.hu,06 30 456 7319
Karcag,,,"Karcag, Szélmalom u. 1, 5300",,
LaserMasters - Karcag,"5,0",,"Karcag, külterület, 5300",lasermasters.hu,06 70 883 5081
Örsi és Fiai Kereskedelmi Bt.,"4,9",,"Karcag, Varró u. 12, 5300",google.com,(06 59) 313 062
Karcagi Agro Kkt.,"5,0",,"Karcag, Táncsics Mihály krt. 4, 5300",,(06 59) 313 255
Cargill Takarmány Zrt.,"2,8",,"Karcag, Madarasi út 0399 hrsz, 5300",cargill.hu,(06 59) 507 200
Kárkis Bt.,,,"Karcag, Dózsa György út 2, 5300",,06 30 903 2421
Karcagi Hírmondó Szerkesztősége,"3,7",,"Karcag, Bajcsy-Zsilinszky u. 6, 5300",karcag.hu,(06 59) 312 415
HIDRAULIKA ÉS ALKATRÉSZ ÜZLET,,,"Karcag, Madarasi út 46, 5300",uzletekkarcag.hu,06 30 525 0655
Helló Klíma,"5,0",,"Kunhegyes, Kossuth Lajos u. 31, 5340",helloklima.hu,06 70 886 4660
BORA-Ital Kiskereskedelmi Kft. - Karcag diszkont,"5,0",,"Karcag, Szent István sgrt. 17, 5300",borakft.hu,06 30 364 5615
Karcag Metallica Kft.,,,"Karcag, Kisújszállási út 185, 5300",karcagmetallica.eu,(06 59) 401 365
UNITED PETFOOD HUNGARY,"5,0",,"Karcag, Madarasi út 0399., H, 5300",,
Ve-Gáz Kft.,"4,3",,"Karcag, Madarasi út 44, 5300",facebook.com,(06 59) 314 084
