Name,Rating,Total Reviews,Address,Website,Phone
Szerelvenybolt.hu,"4,6",,"Kecskemét, Ceglédi út 38, 6000",szerelvenybolt.hu,(06 76) 501 463
H&H Klímatechnika kis- és nagykereskedés,"4,5",,"Kecskemét, Budai u. 159, 6000",hhklima.hu,06 30 600 2006
"Kecskemét Klíma - Klímaszerelő Kecskemét , Klímaszerelés Kecskemét!","5,0",,"Kecskemét, Jókai u. 20, 6000",kecskemet-klima.hu,06 70 398 4838
"Design és Klíma Bt. - Klíma és Légkondícionáló, Hőszivattyú, Klíma Tisztítás, Javítás, Hűtő Fűtő Klíma","4,6",,"Kecskemét, Cimbalmos u. 22, 6000",designesklima.hu,06 70 774 7954
H&H Klímatechnika KFT,"3,9",,"Kecskemét, Kőhid u. 28, 6000",hhklima.hu,06 30 434 6997
DeCool Klímatechnika Kft.,"5,0",,"Kecskemét, Csányi János krt. 12, 6000",,06 30 531 3302
Mistral klíma,"5,0",,"Kecskemét, Gyümölcs u. 14 /a, 6000",mistralklima.hu,06 30 385 7276
Bács Klíma Kft.,"4,5",,"Kecskemét, Tatár sor 4, 6000",bacsklima.hu,(06 76) 322 445
"Hírös Klímatechnika - Klímatelepítés, klímaszerelés és karbantartás","4,9",,"Kecskemét, Géza fejedelem krt. 19, 6000",hirosklima.hu,06 70 453 8115
Fix It Klíma Kecskemét,"5,0",,"Kecskemét, Jókai u. 36, 6000",fixitklima.hu,06 70 935 6347
Parádi Klímatechnika,"3,8",,"Kecskemét, Vacsihegy Tanya 1, 6000",tervezem.hu,06 20 357 4898
Dóka Kft,"4,3",,"Kecskemét, Műkerti stny. 9, 6000",dokakft.hu,(06 76) 416 470
Best Cool Klíma Kft.,"5,0",,"Kecskemét, Csányi János krt. 14, 6000",bestcoolklima.hu,(06 76) 545 627
Logall Kereskedelmi és Szolgáltató Kft,"4,8",,"Kecskemét, Kiskőrösi út 18, 6000",logall.hu,06 70 368 1213
Puchardt Klíma és Napelem,"3,0",,"Kecskemét, Vörösmarty u. 1, 6000",,06 30 727 6438
Eco-Klíma Kft.,"5,0",,"Kecskemét, Úrihegy tanya 258, 6044",ecoklima.hu,06 20 371 2645
NeoFabrik Kft.,"5,0",,"Lajosmizse, Szent István u. 9, 6050",neofabrik.hu,06 20 498 0815
Y Klímatechnika Kft.,"4,0",,"Kecskemét, Budai u. 159, 6000",,(06 76) 325 111
"Ariston , BAXI, Bosch, Immergas Gázszerelő Kecskemét, kazáncsere, kazán karbantartás ,gázkészülék szerelő","4,0",,"Kecskemét, Számadó u. 25, 6000",klimahoszivattyuszereles.hu,06 30 260 5756
Egy Coll Kft.,"4,6",,"Kecskemét, Szent Miklós u. 19, 6000",szerelvenyhaz.hu,(06 76) 322 199
