Name,Rating,Total Reviews,Address,Website,Phone
Ódor Klíma 2000 Kft,"5,0",,"Hévíz, Ady Endre u. 20, 8380",odorklima.hu,06 70 418 7035
Multiker Bt,"4,7",,"Gyenesdiás, Kereskedők útja 4-6, 8315",multikervideo.hu,06 70 606 1631
Ódor Klíma 2000 Kft,"5,0",,"Hévíz, Ady Endre u. 20, 8380",odorklima.hu,06 70 418 7035
Multiker T&F KFT,"4,8",,"Gyenesdiás, Liget Plaza, Kereskedők útja 4-6, 8315",multiker.eu,06 30 936 7777
Keszthely klíma,,,"Keszthely, Martinovics u., 8360",,06 30 936 7777
"Helikon Klíma - Klíma telepítés Keszthely , Klíma karbantartás Keszthely",,,"Keszthely, Deák Ferenc u. 6, 8360",helikonklima.hu,06 30 307 7194
Multiker Bt,"4,7",,"Gyenesdiás, Kereskedők útja 4-6, 8315",multikervideo.hu,06 70 606 1631
Dávid Klíma Kft.,"5,0",,"Sármellék, Szitaközi u. 22, 8391",davidklima.hu,06 30 743 8267
Multiker klíma szolár bemutató terem Gyenesdiás Liget plaza Keszthely Hévíz közelében,,,"Gyenesdiás, Kereskedők útja 4-6, 8315",multikervideo.hu,06 30 936 7777
Klímaszerelés,,,"Keszthely, Gagarin u., 8360",klimaduo.hu,06 20 374 3263
Klímaszerelés,,,"Keszthely, Lovassy Sándor u., 8360",klimaduo.hu,(06 83) 515 004
"i-Klíma - Klímaszerelés és Klímatisztítás, Hűtő Fűtő Klíma, Klímaszerelés, Keszthely",,,"Gyenesdiás, Festetics György u. 11, 8315",iklima.hu,06 20 857 5757
Windex Klíma Kft.,"4,8",,"Alsópáhok, Kölcsey Ferenc u. 23, 8394",windexklima.hu,06 70 211 0234
Helikonautó,"4,6",,"Keszthely, Tapolcai út 55, 8360",helikonauto.hu,06 70 370 0307
MultiCool klíma,,,"Gyenesdiás, Kereskedők útja 4, 8315",multicool.hu,06 30 936 7777
