Name,Rating,Total Reviews,Address,Website,Phone
Aircond Klíma Kft.,"5,0",,"Mezőtúr, Földvári út 19/a, 5400",facebook.com,(06 56) 550 512
Klima Csemege Rt.,"4,7",,"Mezőtúr, Petőfi Sándor u. 14, 5400",,(06 56) 350 397
Klíma - Hungária Kft.,"5,0",,"Mezőtúr, Széna u. 37, 5400",,(06 56) 550 503
Klímarendszerek,,,"Mezőtúr, Eper u., 5400",,06 20 980 9305
Klíma Ipari Centrum Zrt.,"5,0",,"5400 Mezőtúr, Szolnoki út 5",,(06 56) 350 333
Apró Klíma,,,"Mezőtúr, Apród u. 11, 5400",aproklima.hu,06 30 983 0485
Csipi Klíma,"5,0",,,facebook.com,06 30 388 1931
Cool-Tech Trade Kft. Klíma Mezőtúr,"5,0",,"Mezőtúr, Málna u. 3, 5400",cooltechtradekft.hu,06 30 286 6817
Cooling-Therm Kft.,"4,0",,"Mezőtúr, XV. u. 31, 5400",,(06 56) 350 657
SENSOR Műszaki Üzlet,"4,8",,"Mezőtúr, Garibaldi u. 4, 5400",,(06 56) 354 696
P&P Klíma KFT.,,,"Mezőtúr, 5400",,
