Name,Rating,Total Reviews,Address,Website,Phone
Klímaszerelés,,,"Szeged, Űrhajós u., 6723",,06 70 383 2180
Monaco Klíma Kft.,"4,9",,"Szeged, Algyői út 53/A, 6727",monaco-klima.hu,06 20 937 3090
Tisza Klíma - Szeged,"4,3",,"Szeged, Hont Ferenc u. 5, 6723",tiszaklima.hu,06 30 262 8669
P&P klíma kft. - Szeged,"5,0",,"Szeged, Róna u. 27, 6723",ppklima.hu,06 70 243 5222
teleklima.hu ( GREE márkaképviselet ),"5,0",,"Szeged, Bálint Sándor u. 18/b, 6724",teleklima.hu,06 70 977 7888
BARANYI Hűtéstechnika és Klímatechnikai Készülékgyártó és Szerviz Kft.,"4,9",,"Hódmezővásárhely, Mester u. 1f, 6800",baranyihutestechnika.hu,06 30 228 8006
klimamago.hu - Szeged klíma telepítés és szerviz,"5,0",,"Szeged, 6724",klimamago.hu,06 70 236 2029
Tisza Cool Klíma Kft.,,,"Szeged Sárosi utca 2.10 em/60 ajtó, 6724",tiszacoolklima.hu,06 70 234 9932
Dél-Alföldi Klíma Kft - Szeged - Bemutatóterem,"4,9",,"Szeged, Kossuth Lajos sgrt. 45. fsz. 1, 6724",delklima.hu,06 70 434 3879
Alfa-Klíma Kft.,"4,6",,"Szeged, Kossuth Lajos sgrt. 72/E, 6724",alfa-klima.hu,(06 62) 950 335
"Napfény Klíma - Klíma értékesítés , karbantartás (Gree , Midea , Aux , Polar , Lg )","5,0",,"Szeged, Mérey u. 6/b, 6722",szegedklimaszerelo.hu,06 20 228 1400
"Klíma tisztítás, klíma szerelés Szeged - Klimagyar.hu","5,0",,"Szeged, Hajnóczy u. 23, 6722",klimagyar.hu,06 30 527 3950
"DRZ Klíma Kft. - Klíma Beszerelés és Inverteres Klíma, Hűtő Fűtő Klíma, Split Klíma, Szeged, Szeged Klíma","4,8",,"Szeged, Fonógyári út 8, 6728",drzklima.com,06 30 504 4886
Metalucon Fémszerkezeteket Gyártó és Forgalmazó Kft.,"4,2",,"Mindszent, Szabadság u. 92, 6630",metalucon.hu,(06 62) 225 652
Klíma Konstrukt-Gree Klíma Értékesítés,"5,0",,"Szeged, Bérkert u. 74.3, 6726",klimakonstrukt.hu,06 70 227 7234
Hód Klíma - Hódmezővásárhely,"4,7",,"Hódmezővásárhely, Szántó Kovács János u. 125, 6800",hodklima.hu,06 30 207 1070
Klímátneked,"5,0",,"Balástya, Kossuth u. 20/A, 6764",klimatneked.hu,06 30 139 2199
Csendes Klíma Kft.,"4,9",,,csendesklima.hu,06 30 318 1516
Mindszent,,,,,
Szeged Klíma,"3,6",,,szegedklima.hu,06 20 279 6509
DeCool Klímatechnika Kft.,"5,0",,"Kecskemét, Csányi János krt. 12, 6000",,06 30 531 3302
Minden Ami Klíma Kft.,"3,6",,"Szolnok, Szántó krt. 62, 5000",,06 20 776 6553
H&H Klímatechnika KFT,"3,9",,"Kecskemét, Kőhid u. 28, 6000",hhklima.hu,06 30 434 6997
"Design és Klíma Bt. - Klíma és Légkondícionáló, Hőszivattyú, Klíma Tisztítás, Javítás, Hűtő Fűtő Klíma","4,6",,"Kecskemét, Cimbalmos u. 22, 6000",designesklima.hu,06 70 774 7954
EP Hűtő- és klímatechnika kis- és nagykereskedés,"4,9",,"Békéscsaba, Kölcsey u. 17, 5600",ephutoklima.hu,06 20 408 4401
Körös Klíma (Körös-Airconditional Kft.),"4,5",,"Békéscsaba, Mikszáth u. 49, 5600",korosklima.hu,06 30 349 1702
"Gree Sinclair Rcool Klímaáruház - Hűtő Fűtő Klíma és Inverteres Klíma, Sinclair Klíma, Split Klíma, Klíma Akció","5,0",,"Szolnok, Verseghy út 11, 5000",szigetklima.hu,06 20 849 5847
Best Cool Klíma Kft.,"5,0",,"Kecskemét, Csányi János krt. 14, 6000",bestcoolklima.hu,(06 76) 545 627
KLÍMAPONT - Minker Kft.,"4,0",,"Baja, Szegedi út 113, 6500",klimapont.hu,(06 79) 420 300
CsT-Klíma Kft.,"4,9",,"Békéscsaba, Gajdács u. 14, 5600",cstklima.hu,06 20 937 6511
"Kecskemét Klíma - Klímaszerelő Kecskemét , Klímaszerelés Kecskemét!","5,0",,"Kecskemét, Jókai u. 20, 6000",kecskemet-klima.hu,06 70 398 4838
"HEVES - JEGES KLÍMA KFT, klímaszerelés, klíma értékesítés és villanyszerelés","3,7",,,heves-jeges.hu,06 30 850 2628
Metalucon Fémszerkezeteket Gyártó és Forgalmazó Kft.,"4,2",,"Mindszent, Szabadság u. 92, 6630",metalucon.hu,(06 62) 225 652
Békés Energetika Kft. békésklíma.hu,"4,9",,"Békés, Szélső u. 41, 5630",bekesklima.hu,06 70 338 7214
Frigotherm Kft.,"4,1",,"Szolnok, Vércse u. 21, 5000",klimaszolnok.hu,06 70 703 2170
Dóka Kft,"4,3",,"Kecskemét, Műkerti stny. 9, 6000",dokakft.hu,(06 76) 416 470
Klíma Áruház - Webklíma,"4,9",,"Érd, Bagoly u. 83, 2030",webklima.hu,06 30 299 1919
"Frankó Klíma Kft. - Hőszivattyú és Klíma Telepítés, Klímaszerelés, Klíma Tisztítás, Légtechnika","5,0",,"Békéscsaba, Temesvári u. 3, 5600",frankoklima.hu,06 20 804 7066
"Londra Group Kft - klimaman.hu - Klíma Telepítés, Szigetüzemű Napelem, Kosaras emelő bérlés, Nyílászáró forgalmazás beépítés","5,0",,"Heves, Gyöngyösi u. 117, 3360",klimaman.hu,06 70 318 4229
Mecsek-Klíma Kft.,"4,0",,"Pécs, Rácvárosi út 68, 7634",mecsekklima.hu,(06 72) 534 761
"YetiShop Kft. klímatechnikai nagykereskedés, kivitelezés.","4,6",,"Pécs, Megyeri út 59, 7623",yetishop.hu,(06 72) 211 311
Klímabetyár -eKM-Car Kft,"5,0",,"Békéscsaba, Temesvári u. 19, 5600",,06 30 412 7922
Klíma.Shop.hu,"5,0",,"Piliscsév, Szilvás u. 22, 2519",cooltradetechnika.hu,06 70 395 4380
Mátrai Klíma és Épületgépészet Kft.,"5,0",,"Üllő, Pesti út 22, 2225",matraiklima.hu,06 30 353 2093
Freshcool Kft,"4,8",,"Tököl, Fő u. 6, 2316",freshcool.hu,06 30 951 7801
Cool Comfort Klíma Kft,"4,6",,"Zsámbék, Etyeki u. 40, 2072",ccklima.hu,06 70 433 4566
Klímád.hu,"5,0",,"Budapest, Lóverseny tér 6, 1048",klimad.hu,06 20 416 5625
"Frozente Klímatechnika Kft - Klímatelepítés Kispest,Klímakarbantartás Kispest, klímaszerelés","5,0",,"Budapest, Toldy u. 15, 1191",kispestklima.hu,06 30 640 8408
KAPFER KLIMA KFT.,"5,0",,"Gyál, Szélső u. 29/2, 2360",kapferklima.hu,06 30 940 4649
Kistarcsaklíma,"4,7",,"Kistarcsa, Szabadság út 30, 2143",kistarcsaklima.hu,06 70 603 7830
Körös Klíma Kft.,"5,0",,"Békéscsaba, Bartók Béla út 18, 5600",korosklima.hu,06 70 886 7080
Cryo-klíma (Krio-klíma),"5,0",,"Békéscsaba, Lencsési út 58, 5600",cryo-klima.hu,06 70 945 2234
Klíma Miskolc,"4,9",,"Miskolc, Széchenyi istván út 46, 3530",,06 70 552 0931
Klíma Szerelve Webáruház,"5,0",,"Budapest, Lehel u 7/B, 1134",yesklima.hu,06 30 682 5559
Klíma Csabaklíma Kft.,"4,2",,"Békéscsaba, Zöldfa u. 14, 5600",,06 70 314 0223
KT-Klíma Kft,"4,6",,"Budapest II. Rákóczi Ferenc út 345, lph 2 5-K ép. E, 1214",ktklima.hu,06 30 727 9558
BELUK Klímatechnika,,,"Békéscsaba, Báthori u. 23/1, 5600",beluk.hu,06 70 946 7216
Klíma-bolt.hu,"1,0",,"Szentendre, Napos stny. 20, 2000",klima-bolt.hu,06 20 535 6825
MasterCold klímatechnika - Klímaszerelés és karbantartás Budapest,"5,0",,"Budapest, Királyok útja 210, 1039",mastercold.hu,06 20 544 4757
Mindszent,,,,,
Bogyisz Kft.- Klíma kis- és nagykereskedés,"4,4",,"Budapest, Timót u. 4a, 1097",bogyisz.hu,06 70 560 0901
Klíma Zone Hűtéstechnika Kft.,"5,0",,"Bátonyterenye, Szabadság út 25, 3070",klimazone.hu,06 30 836 1446
Tenkes Klíma - Pécs,"4,9",,"Pécs, József Attila u. 3, 7623",klimatenkes.hu,06 30 571 0215
"Szigetklíma - Klímaszerelés és Klíma Tisztítás, Inverteres Klíma, GREE Klíma, Klíma Akció","4,4",,"Budaörs, Vasútsor utca 25, 2040",szigetklima.hu,06 20 849 5847
eklima.hu Webáruház,"4,2",,"Tököl, Hangár u. 7-16. Épület, 2316",eklima.hu,06 30 600 9306
Klímatechnika.hu - Daikin klíma bemutatóterem,"4,8",,"Budapest, Illatos út 11/b, 1097",webshop.klimatechnika.hu,06 20 934 1004
"PR-Cooling Kft . - Klímatechnika Monor , Légkondicionáló Monor","5,0",,"Monor, 4-es Főút 34, 2200",,
Klíma Kovács 24 Kft,"4,9",,"Gyál, Pozsonyi u. 42, 2360",klimakovacs24.hu,06 30 757 3992
Gépész Szakáruház - Plan Zrt.,"4,7",,"Szeged, Dorozsmai út 12, 6728",gepesz.hu,(06 62) 998 480
Cool Airconditional Kft.,"4,3",,"Békéscsaba, Laktanya utca 2, 5600",coolklima.hu,(06 66) 448 445
"i-Klíma - Klímaszerelés és Klímatisztítás, Hűtő Fűtő Klíma, Klíma Beszerelés","5,0",,"Budapest, Simonyi Zsigmond u 27, 1191",iklima.hu,06 20 857 5757
"Gold Klíma Székesfehérvár - Klíma Telepítés és Klímaszerelés, Hőszivattyú, Légtechnika, Fűtésszerelés","2,4",,"Székesfehérvár, Tompa Mihály u. 42, 8000",goldklima.hu,06 20 923 1692
Klímaszerelőnk - Klíma és hőszivattyú szerelés,,,"Budapest, Nagyenyed u. 11, 1132",klimaszerelonk.hu,06 30 623 8903
“HIDEGMELEG” Klima Hőszivattyú,"4,7",,"Érd, Tárnoki út 36, 2030",hidegmeleg.hu,06 20 801 4372
Klima Ideal,"5,0",,"Budapest, József Attila u. 18, 1042",klimaideal.hu,06 30 287 5258
KIShÁ Klímatechnika,"5,0",,"Budapest, Sáfrány u. 46, 1116",kishaklima.hu,06 30 526 1980
DT Klíma és Villanyszerelés,"5,0",,"Budapest, Fiume u. 58-Fszt. 7, 1202",dtklima.hu,06 30 389 9042
Cívis klíma,"4,9",,"Debrecen, Bem tér 11, 4026",civisklima.hu,06 20 471 7554
"Cityklima.hu Klímaszerelés, karbantartás Budapesten és környékén Garanciával","4,9",,"Budapest, Nagysándor József u. 69, 1201",cityklima.hu,06 20 989 7233
P&P klíma kft. - Budapest,"4,9",,"Budapest, Hegedűs Gyula u. 52/A, 1133",ppklima.eu,06 70 243 5222
P&P klíma kft. - Budapest,"4,9",,"Budapest, Hegedűs Gyula u. 52/A, 1133",ppklima.eu,06 70 243 5222
"Klímaflex Kft. Klíma, klímaszerelés, telepítés - Debrecen,","5,0",,"Debrecen, Hadházi út 17, 4028",klimaflexdebrecen.hu,06 30 319 6371
P&P klíma kft. - Buda,"5,0",,"Budapest, Etele út 57, 1119",,
Hisense klíma webshop,"4,4",,"Budapest, Lomb u. 15, 1139",hisense-klima.hu,06 30 432 0234
"Klíma tisztítás telepítés, villanyszerelés","5,0",,"Budapest, Jókai tér 6, 1061",,06 20 929 3353
Klíma-Express Kft.,"4,1",,"Budapest, Bodza u. 2, 1104",klimaexpress.hu,(06 1) 260 3950
Kelton Klíma,"5,0",,"Budapest, Kós Károly tér 11, 1192",keltonklima.hu,06 30 424 5052
H&G Klímatechnika Kft,"5,0",,"Budapest, Vácduka tér 29, 1151",handgklimatechnika.hu,06 20 414 6806
Alba Klíma,"4,6",,"Székesfehérvár, Sereg u. 11, 8000",albaklima.hu,06 20 523 6919
Klíma hőszivattyú Budapest - H2 Station,"5,0",,"Budapest, Damjanich u. 17-1/2, 1071",legkondicionalok.hu,06 70 778 8700
Green Energy Project Kft.,"5,0",,"Budapest, Andor u. 21/C, 1119",klimaszerelesmost.hu,06 70 372 2000
Klíma Tiszt,"4,9",,"Budapest, Rátz László u. 52, 1119",klimatiszt.hu,06 30 461 8513
RS Klíma,"5,0",,"Szigethalom, Kinizsi u. 20/A, 2315",rsklima.hu,06 70 615 4066
Cívis Solar Hungária Kft.,"4,6",,"Debrecen, Vámraktár u., 4030",civissolar.hu,06 30 218 8888
"Szaniter és Klíma Center , RMG","4,8",,"Budapest, Arany János u. 48, 1221",szaniteresklimacenter.hu,06 30 815 9597
Hidegklima.hu,"4,2",,"Budapest, Kerepesi út, 1173",hidegklima.hu,06 30 207 0840
"Blue World System Kft. - Klímaszerelés és Hőszivattyú, Klíma Beszerelés, GREE Klíma, Daikin Klíma, Fisher Klíma, Budapest","5,0",,"Budapest, Kiránduló u. 68, 1221",blueklima.hu,06 20 440 8080
Klíma Centrum Debrecen,"5,0",,"Debrecen, Monostorpályi út 28, 4030",cool-sat.hu,06 20 234 5624
Klima Selection,,,"Budapest, Pétervárad u. 5, 1145",,06 30 933 1560
Klíma Zone Hűtéstechnika Kft.,"5,0",,"Budapest, Gyertyaláng köz 3, 1044",klimazone.hu,06 30 836 1446
KLIMA Centrum Kft.,"3,0",,"Budapest, Szentendrei út 141, 1031",klimacentrum.hu,(06 1) 367 1626
"Épületgépészet, klíma szereléssel és kéménybélelés","5,0",,"Budapest, Hegyalja út 5, 1016",klima-gepesz.hu,06 20 588 5235
HELLOKLIMA.COM,"4,3",,"Budapest, Fehér út 10, 1106",helloklima.com,06 70 233 3760
Zenit-Klíma,"5,0",,,zenit-klima.hu,06 70 436 5255
Klíma Beszerelve Kft.,,,"Budapest, Drégely u. 2-4, 1097",klimabeszerelve.hu,06 30 636 1927
hutfutklima.hu - Klíma szerelés,"5,0",,"Budapest, Baross u. 96-1/4, 1181",hutfutklima.hu,06 70 515 5555
HFC Termo Bt,"5,0",,"Budapest, Albán u. 24, 1163",vizgazklima.hu,06 30 942 1590
Columbus Klímaértékesítő Kft.,"4,4",,"Nagytarcsa, Pesti út 15, 2140",columbus-klima.hu,(06 28) 588 588
SB-PRO Klímatechnika - www.klimaonlineshop.hu,,,,,06 70 320 3362
X-KLÍMA,"4,6",,"Budapest, Veres Péter út 51, 1163",x-klima.hu,06 30 620 7119
Klíma és Hűtéstechnikai Kft. Klima-Hőszivattyú Gödöllő,"4,2",,"Gödöllő, Bajcsy-Zsilinszky utca 21-25 fsz 2, 2100",klima-hutestechnika.hu,06 30 934 3689
klima újpest,"5,0",,"Budapest, Lebstück Mária u. 59, 1042",klimaujpest.hu,06 70 287 2121
Klíma Commando Kft.,"4,4",,"Budapest, Maglódi út 47, 1106",klimacommando.hu,06 70 611 7637
Maxa Épület Kft.,"2,8",,"Pécs, Bocskai u. 1, 7629",maxaepulet.hu,06 70 601 1944
"AD Klíma Hungária Kft. - Komfort, Ipari, IT hűtés","4,2",,"Budapest, Budaörsi út 43/C, 1118",ad-klima.hu,(06 1) 209 0186
Klíma javítás Budapest,,,"Budapest, Havanna u. 1, 1181",klima-javitas-budapest.hu,06 20 611 8463
Liker és Társa Kft.,"4,9",,"Békéscsaba, Urszinyi Dezsőné u. 33, 5600",,(06 66) 442 898
Fűtés klímával,,,,klimas-futes.hu,
Gépész Szakáruház - Plan Zrt.,"4,6",,"Kecskemét, Kuruc krt. 28, 6000",gepesz.hu,(06 76) 481 716
Gépész Szakáruház - Plan Zrt.,"4,5",,"Szolnok, Thököly út 86, 5000",gepesz.hu,(06 56) 370 770
