Name,Rating,Total Reviews,Address,Website,Phone
Meleget.hu,,,"Miskolc, Soltész Nagy Kálmán u. 161, 3529",meleget.hu,(06 46) 999 199
Comfort Klíma Miskolc Klímaszerelés-Karbantartás,"4,9",,"Miskolc, Bajcsy-Zsilinszky utca 32, 3527",miskolcklima-legtechnika.hu,06 30 540 0697
KLIMATEK - Klíma és Hűtéstechnika /COOLTECH Hungary Kft./,"4,9",,"Miskolc, 3529",klimatek.hu,06 70 771 1941
Direct-Klíma Miskolc,"5,0",,"Miskolc, Széchenyi istván út 88, 3530",,06 20 291 1071
Optimaplusz Klímacentrum,"4,9",,"Miskolc, József Attila u. 57, 3527",,06 30 958 0967
Klíma Miskolc,"4,9",,"Miskolc, Széchenyi istván út 46, 3530",,06 70 552 0931
BRS Klíma és Gázcentrum Kft.,"4,6",,"Miskolc, Soltész Nagy Kálmán u. 161, 3529",gazcentrum.brskft.hu,(06 46) 412 421
Borsod Klíma,"4,2",,"Miskolc, Pesti út 84, 3516",borsodklima.hu,06 30 261 1335
Hibrid Klíma,"4,4",,"Miskolc, Vászonfehérítő u. 24, 3531",hibrid-klima.hu,06 20 245 5469
Pannox Kft.,"5,0",,"Miskolc, Gyöngyösi István u. 19, 3528",pannoxkft.hu,(06 46) 505 564
Éger Tech Kft. - Klímaszerelés Klímaszerelő Hőszivattyús Fűtés Miskolc,"5,0",,"Miskolc, Park u. 2, 3529",egertech.hu,06 30 205 3740
Speciál Klíma,"5,0",,"Miskolc, Szilágyi Dezső u. 51, 3529",specialklima.hu,06 20 617 7112
"Intermo Hűtés-, Klímatechnológiai Kereskedelmi Szolgáltató Kft.","3,5",,"Miskolc, Futó u. 11, 3508",intermo.hu,06 20 975 4480
Szerviz Szektor Kft.,"5,0",,"Miskolc, Miskolci u. 11, 3521",szervizszektor.hu,06 70 885 9945
Klíma Diszkont Kft.,"5,0",,"Miskolc, József Attila u. 36, 3527",,(06 46) 324 920
