Name,Rating,Total Reviews,Address,Website,Phone
"P&S Pipes Kft. - KLÍMA, KAZÁN, SZERELVÉNY, HŐSZIVATTYÚ, VEGYESTÜZELÉS","4,7",,"Nagykanizsa, Csengery út 84, 8800",szerelvenycenter.hu,06 30 646 3023
Kardos Klíma Kft. - Ipari hűtés és klímatechnika,"4,9",,"Nagykanizsa, Teleki u. 34, 8800",kardosklima.hu,06 30 651 1903
Viky Kft.,"4,4",,"Nagykanizsa, Récsei út 3, 8800",viky.hu,(06 93) 310 313
Hadi László EV.,"2,8",,"Nagykanizsa, Kertész u. 12, 8800",kemeny-klimatechnika.hu,06 30 650 0466
NK Szervízház Bt.,"3,7",,"Nagykanizsa, Péterfai u. 37, 8800",nkgepeszet.hu,06 30 274 7399
"Kanizsa Hűtő, Klíma Kft.",,,"Nagykanizsa, Nyírfa u. 13/2, 8800",ceginformacio.hu,06 30 237 0965
Fisher Márkabolt,,,"Nagykanizsa, Récsei út 3, 8800",klimaprofi.hu,06 30 220 2600
Kanizsa Hűtő Klíma Kft.,,,"Nagykanizsa, Huszti tér 5, 8800",kanizsaklima.hu,06 30 237 0965
Klíma Like,"4,3",,,klimalike.hu,06 30 953 4067
Profikonyha,"3,7",,"Nagykanizsa, Récsei út 3, 8800",profikonyha.hu,06 30 636 9000
MediaMarkt Nagykanizsa,"4,0",,"Nagykanizsa, Boszorkány u. 2, 8800",mediamarkt.hu,(06 1) 358 6600
Kustán Villamossági Szaküzlet - Villanyszerelési Anyagok,"4,7",,"Nagykanizsa, Űrhajós u. 1, 8800",kustan-vill.hu,06 20 992 1218
P&S Pipes Kft - Fürdőszobaszalon,"4,7",,"Nagykanizsa, Csengery út 113/A, 8800",furdoszoba-center.hu,06 30 898 4984
AzÉnKlímám,,,"Nagykanizsa, Récsei út, 8800",,06 30 220 2600
