Name,Rating,Total Reviews,Address,Website,Phone
Klímaszerelés,,,"Szeged, Űrhajós u., 6723",,06 70 383 2180
Príma Klíma Technika,"5,0",,"Szeged, Dobogó u. 6, 6727",primaklimatechnika.hu,06 20 406 6144
Monaco Klíma Kft.,"4,9",,"Szeged, Algyői út 53/A, 6727",monaco-klima.hu,06 20 937 3090
H&H Klímatechnika kis- és nagykereskedés,"4,5",,"Kecskemét, Budai u. 159, 6000",hhklima.hu,06 30 600 2006
Pingvin Klíma Bosch Nagykereskedés,"5,0",,"Kecskemét, Bethlen krt. 35, 6000",pingvinklima.hu,06 30 978 8843
Mil-Air Klímaszerelés,"5,0",,"Budapest, Üllői út 458, 1183",,06 70 789 5733
DeCool Klímatechnika Kft.,"5,0",,"Kecskemét, Csányi János krt. 12, 6000",,06 30 531 3302
Nyárlőrinc alsó,"3,7",,"Nyárlőrinc, 6032",,
Pannon-klímatech Kft.,"4,3",,"Budapest, Üllői út 545, 1182",pannonklima.hu,(06 1) 295 0296
Mátrai Klíma és Épületgépészet Kft.,"5,0",,"Üllő, Pesti út 22, 2225",matraiklima.hu,06 30 353 2093
P&P klíma kft. - Szeged,"5,0",,"Szeged, Róna u. 27, 6723",ppklima.hu,06 70 243 5222
"R.N Klímatechnika és Épületgépészet Kft. - Klíma Szerelés, Klíma Telepítés, Légtechnika, Fűtéstechnika, Hűtéstechnika","5,0",,"Üllő, Bozsik József krt. 47/1, 2225",rnklimatechnika.hu,06 70 677 9270
"Design és Klíma Bt. - Klíma és Légkondícionáló, Hőszivattyú, Klíma Tisztítás, Javítás, Hűtő Fűtő Klíma","4,6",,"Kecskemét, Cimbalmos u. 22, 6000",designesklima.hu,06 70 774 7954
Profi Online Bolt Kft.,"4,5",,"Gyál, Vecsési út 89, 2360",pob.hu,06 20 334 1717
"Gree Sinclair Rcool Klímaáruház - Hűtő Fűtő Klíma és Inverteres Klíma, Sinclair Klíma, Split Klíma, Klíma Akció","5,0",,"Szolnok, Verseghy út 11, 5000",szigetklima.hu,06 20 849 5847
Bács Klíma Kft.,"4,5",,"Kecskemét, Tatár sor 4, 6000",bacsklima.hu,(06 76) 322 445
Tisza Klíma - Szeged,"4,3",,"Szeged, Hont Ferenc u. 5, 6723",tiszaklima.hu,06 30 262 8669
"Hírös Klímatechnika - Klímatelepítés, klímaszerelés és karbantartás","4,9",,"Kecskemét, Géza fejedelem krt. 19, 6000",hirosklima.hu,06 70 453 8115
Logall Kereskedelmi és Szolgáltató Kft,"4,8",,"Kecskemét, Kiskőrösi út 18, 6000",logall.hu,06 70 368 1213
"H-F klíma - Klíma Beszerelés és Klímatisztítás, Split Klíma, Inverteres Klíma, GREE Klíma","5,0",,"Üllő, Damjanich u. 34, 2225",hfklima.hu,06 30 274 3329
Freshcool Kft,"4,8",,"Tököl, Fő u. 6, 2316",freshcool.hu,06 30 951 7801
Klíma szerelő és Hőszivattyú szerelő,"5,0",,"Felsőpakony, Márai Sándor u. 37, 2363",aklimaszerelo.hu,06 30 972 0035
"Gree Sinclair Rcool Klímaáruház - Hűtő Fűtő Klíma és Inverteres Klíma, Sinclair Klíma, Split Klíma, Klíma Akció","5,0",,"Szolnok, Verseghy út 11, 5000",szigetklima.hu,06 20 849 5847
"Frozente Klímatechnika Kft - Klímatelepítés Kispest,Klímakarbantartás Kispest, klímaszerelés","5,0",,"Budapest, Toldy u. 15, 1191",kispestklima.hu,06 30 640 8408
Körös Klíma (Körös-Airconditional Kft.),"4,5",,"Békéscsaba, Mikszáth u. 49, 5600",korosklima.hu,06 30 349 1702
hutfutklima.hu - Klíma szerelés,"5,0",,"Budapest, Baross u. 96-1/4, 1181",hutfutklima.hu,06 70 515 5555
Kelton Klíma,"5,0",,"Budapest, Kós Károly tér 11, 1192",keltonklima.hu,06 30 424 5052
Klíma Tech,"4,5",,"Budapest, Béke tér, 1139",klima-tech.hu,06 20 217 8178
Pingvin Klíma Bosch Nagykereskedés,"5,0",,"Kecskemét, Bethlen krt. 35, 6000",pingvinklima.hu,06 30 978 8843
Klímaszerelőnk - Klíma és hőszivattyú szerelés,,,"Budapest, Nagyenyed u. 11, 1132",klimaszerelonk.hu,06 30 623 8903
JÉ-JÓ Kft,,,"Budapest, Lőrinci út, 1174",jejo.hu,06 70 215 5509
Klíma Hungary Kft.,"4,8",,"Budapest, Lóránt út 24/A, 1125",klimahungary.hu,06 70 626 3477
KT-Klíma Kft,"4,6",,"Budapest II. Rákóczi Ferenc út 345, lph 2 5-K ép. E, 1214",ktklima.hu,06 30 727 9558
"PR-Cooling Kft . - Klímatechnika Monor , Légkondicionáló Monor","5,0",,"Monor, 4-es Főút 34, 2200",,
Klíma Áruház - Webklíma,"4,9",,"Érd, Bagoly u. 83, 2030",webklima.hu,06 30 299 1919
P&P klíma kft. - Buda,"5,0",,"Budapest, Etele út 57, 1119",,
Klíma Professional Kft,"5,0",,"Budapest, Kaszáló u. 69, 1173",klimaprofessional.hu,06 20 340 3637
Cryo-klíma (Krio-klíma),"5,0",,"Békéscsaba, Lencsési út 58, 5600",cryo-klima.hu,06 70 945 2234
"RUCK-KLIMA, Gold Irodaszer Kft.","5,0",,"Medgyesegyháza, MagyarországPapír Irószer bolt, Dózsa György u. 10, 5666",,(06 68) 440 440
DeCool Klímatechnika Kft.,"5,0",,"Kecskemét, Csányi János krt. 12, 6000",,06 30 531 3302
BHG Klíma - Klímaszerelés,"4,4",,"Budapest, Jászberényi út 29/b, 1102",bhgklima.hu,06 30 644 6868
"Sinus Klíma - és Hűtéstechnika, Orosz Csaba","5,0",,"Szentes, Szalai u. 5, 6600",klimaeshoszivattyu.hu,06 70 533 3455
Dabasi Vas- Műszaki és Épületgépészeti Szaküzlet -Virágklíma Kft,"4,8",,"Dabas, Szent István út 33, 2370",viragklima.hu,06 30 317 8480
Paksi-Klíma Kft.,"4,0",,"Budapest, Nagysurány u. 10, 1117",,(06 1) 203 0371
Klíma Szerelve Webáruház,"5,0",,"Budapest, Lehel u 7/B, 1134",yesklima.hu,06 30 682 5559
Szolnok Regisztrált Villanyszerelő és Klímaszerelő Ny8lczas Norbert,"5,0",,"Szolnok, Ady Endre út, 5085",szolnokvillanyszerelo.hu,06 30 214 8094
CsT-Klíma Kft.,"4,9",,"Békéscsaba, Gajdács u. 14, 5600",cstklima.hu,06 20 937 6511
Tóth-Heim Kft.,"5,0",,"Szolnok, Zöldfa u. 47, 5000",tothhutestechnika.hu,06 30 976 1556
Kistarcsaklíma,"4,7",,"Kistarcsa, Szabadság út 30, 2143",kistarcsaklima.hu,06 70 603 7830
Klíma Kovács 24 Kft,"4,9",,"Gyál, Pozsonyi u. 42, 2360",klimakovacs24.hu,06 30 757 3992
"i-Klíma - Klímaszerelés és Klímatisztítás, Hűtő Fűtő Klíma, Klíma Beszerelés","5,0",,"Budapest, Simonyi Zsigmond u 27, 1191",iklima.hu,06 20 857 5757
"Cityklima.hu Klímaszerelés, karbantartás Budapesten és környékén Garanciával","4,9",,"Budapest, Nagysándor József u. 69, 1201",cityklima.hu,06 20 989 7233
BELUK Klímatechnika,,,"Békéscsaba, Báthori u. 23/1, 5600",beluk.hu,06 70 946 7216
Klíma-Express Kft.,"4,1",,"Budapest, Bodza u. 2, 1104",klimaexpress.hu,(06 1) 260 3950
"Ozopa Klíma - Klímaszerelés és Klíma Karbantartás, Klímatisztítás, Inverteres Klíma, Budapest","5,0",,"Budapest, Erdőalja út 178/A, 1037",ozopaklima.hu,06 30 622 6036
Klíma-24.hu Webáruház,"4,4",,"Budapest, Arany János u. 53, 1165",klima-24.hu,06 30 870 0280
Cooling & Trading Kft.,"5,0",,"Pécel, Rákóczi út 46, 2119",candt.hu,(06 28) 744 755
KeveCom Kft.,"4,8",,"Nagykőrös, Kecskeméti út 7, 2750",keveklima.hu,(06 53) 352 926
