Name,Rating,Total Reviews,Address,Website,Phone
Márton Klíma Nyíregyháza,"4,8",,"Nyíregyháza, Dobó István u. 12, 4400",martonklima.hu,06 30 198 4510
Hőszivattyú és Klíma üzlet Meleget.hu,"5,0",,"Nyíregyháza, Váci Mihály u. 3, 4400",hoszivattyu-nyiregyhaza.hu,06 70 545 5355
"Nyír1Klíma - Klíma és Hőszivattyú, Klíma Telepítés, Klíma Szerelés, Gree Klíma","5,0",,"Nyíregyháza, Ószőlő u. 99, 4400",nyir1klima.hu,06 30 737 6717
Optimal Therm Klímatechnika,"5,0",,,optimal-klima.hu,06 30 211 8638
Madura és Madura Kft,"4,5",,"Nyíregyháza, Dózsa György u. 44, 4400",emadura.hu,06 70 361 0465
Butenkov János klíma hűtőkamra hőszivattyú szerelés,"4,6",,"Nyíregyháza, Zimony u. 14, 4400",szabolcsklima.hu,06 30 986 3933
Nyír-Klíma Kft.,"5,0",,"Nyíregyháza, Debreceni út 175, 4400",,(06 42) 490 838
Klima Centrum Hungary Kft,,,"Nyíregyháza, Kinizsi Pál u. 9, 4400",klimacentrumnyiregyhaza.hu,
T & T Group Kft.,"5,0",,"Nyíregyháza, Csabagyöngye u. 80, 4432",,06 30 965 5935
Thermo-Totál Kft.,"3,7",,"Nyíregyháza, Dózsa György u. 57, 4400",thermototal.hu,(06 42) 401 300
Klíma és Épületgépészet D-Thermo-Tech Kft.,"4,9",,"Nagykálló, Korányi Frigyes út 83, 4320",nyiregyhazaklima.hu,06 70 745 0450
Cool8 Autóklíma töltés,"5,0",,"Nyíregyháza, Leffler Sámuel u. 39, 4400",facebook.com,06 20 373 0024
Czakó és Társai Kft.,"4,7",,"Nyíregyháza, Debreceni út 93, 4400",czakoestarsai.hu,(06 42) 406 692
Butenkov János Freon Szervíz és Üzletház,"5,0",,"Nyíregyháza, Zimony u. 14, 4400",szabolcsklima.hu,06 30 600 4040
Gáz-Szer Gázkészülék és alkatrész szakbolt,"4,8",,"Nyíregyháza, Szarvas u. 103, 4400",,(06 42) 315 591
"Vareha Energie Kft | Napelem telepítés, Napelemes rendszer, Klíma szerelés, Villanyszerelés, Elektromos autó töltő","5,0",,"Nyíregyháza, Egyház u. 4, 4400",varehaenergie.com,06 30 977 3208
Klima-Ventil Bt.,,,"Nyíregyháza, Színház u. 12, 4400",,(06 42) 481 839
Norbiklíma,"4,7",,,norbiklima.hu,06 30 181 8378
Megatherm Kereskedelmi Kft.,"4,5",,"Nyíregyháza, Kállói út 81, 4400",megatherm.hu,(06 42) 596 724
Gépész Szakáruház - Migép Kft.,"4,7",,"Nyíregyháza, Tünde u. 13, 4405",gepesz.hu,(06 42) 460 195
