Name,Rating,Total Reviews,Address,Website,Phone
"YetiShop Kft. klímatechnikai nagykereskedés, kivitelezés.","4,6",,"Pécs, Megyeri út 59, 7623",yetishop.hu,(06 72) 211 311
Tenkes Klíma - Pécs,"4,9",,"Pécs, József Attila u. 3, 7623",klimatenkes.hu,06 30 571 0215
Mega-Klíma Kft.,"4,8",,"Pécs, Fürj u. 8, 7630",klimapecs.com,06 30 540 3044
Mecsek-Klíma Kft.,"4,0",,"Pécs, Rácvárosi út 68, 7634",mecsekklima.hu,(06 72) 534 761
Smart Klíma Kft.,"4,7",,"Pécs, Viola u. 4, 7632",smartklima.net,(06 72) 223 323
Ceklima,"4,5",,"Pécs, Vadász u. 83, 7627",ceklima.hu,06 20 382 2998
Klimatrio Kft.,"4,4",,"Pécs, Légszeszgyár u. 40, 7622",klimatrio.hu,(06 72) 512 240
"Pannon Cool Kft. - Klíma és Hőszivattyú Telepítés, Hűtéstechnika, Hűtő Fűtő Klíma, Hűtőkamra","4,0",,"Pécs, Zsolnay Vilmos u. 94, 7629",klimatechnika-pecs.hu,06 30 424 3633
Török Klíma Tri-Generation Kft.,"4,3",,"Pécs, Mohácsi út 16, 7630",torokklima.hu,(06 72) 516 400
R és T Klíma Kft.,"4,3",,"Pécs, Diós dűlő 8, 7627",rtklima.hu,(06 72) 510 030
Woody System Kft.,"5,0",,"Pécs, Szöcske u. 41, 7630",woodysystem.hu,06 20 464 9100
HR klíma és szervíz Kft.,"5,0",,"Pécs, Fábián Béla u., 7635",hrklima.hu,06 30 533 8300
Tri-Bekk Kft.,"4,4",,"Pécs, Északmegyer dűlő 32, 7632",autoklimapecs.hu,06 30 390 4604
Rotovill,"4,0",,"Pécs, Csikor Kálmán u. 26, 7631",rotovill.hu,(06 72) 443 533
"Alaszka.hu - Electrolux, Zanussi, AEG Márkabolt és Márkaszerviz","4,3",,"Pécs, Bokor u. 6, 7627",alaszka.hu,06 20 240 8633
Maxa Épület Kft.,"2,8",,"Pécs, Bocskai u. 1, 7629",maxaepulet.hu,06 70 601 1944
Murányi Épületgépészet Kft.,"4,2",,"Pécs, Verseny u. 1/a, 7622",gepeszbolt.hu,(06 72) 450 540
Farkas-Filter Kft.,"4,9",,"Pécs, Pellérdi út 4, 7634",farkasfilter.hu,06 30 919 8717
Barta-Thermoker Kft. - Épületgépészeti kereskedés,"4,6",,"Pécs, Közraktár u. 8, 7623",barta-thermoker.hu,(06 72) 210 851
Áruforgalmi Kft.,"4,7",,"Pécs, Móra Ferenc u. 8, 7632",aruforgalmi.hu,(06 72) 413 360
LÉG-CSŐ Épületgépészeti Tervező Kivitelező és Kereskedelmi Kft.,"3,3",,"Pécs, Edison u. 32, 7630",facebook.com,(06 72) 512 230
CH Épületgépész Kft.,"5,0",,"Pécs, Zsolnay Vilmos u. 51, 7630",epuletgepeszpecs.hu,06 30 681 5525
Barta-Thermoker Kft. - Épületgépészeti kereskedés,"4,6",,"Pécs, Közraktár u. 8, 7623",barta-thermoker.hu,(06 72) 210 851
SplitKlímaPécs,,,,splitklimapecs.hu,06 20 214 3445
Gépész Szakáruház - Plan Zrt.,"4,5",,"Pécs, Megyeri út 68, 7630",gepesz.hu,(06 72) 215 829
Premier Klíma,,,"Pécs, Málom-Hegyi út 6, 7636",premierklima.hu,06 20 353 4023
