Name,Rating,Total Reviews,Address,Website,Phone
Dél-Alföldi Klíma Kft - Szeged - Bemutatóterem,"4,9",,"Szeged, Kossuth Lajos sgrt. 45. fsz. 1, 6724",delklima.hu,06 70 434 3879
Monaco Klíma Kft.,"4,9",,"Szeged, Algyői út 53/A, 6727",monaco-klima.hu,06 20 937 3090
Alfa-Klíma Kft.,"4,6",,"Szeged, Kossuth Lajos sgrt. 72/E, 6724",alfa-klima.hu,(06 62) 950 335
P&P klíma kft. - Szeged,"5,0",,"Szeged, Róna u. 27, 6723",ppklima.hu,06 70 243 5222
Klímaszerelés,,,"Szeged, Űrhajós u., 6723",,06 70 383 2180
Gree Klíma Szeged,"5,0",,"Szeged, József Attila sgrt. 38, 6721",greeklimaszeged.hu,06 70 417 7488
Tisza Klíma - Szeged,"4,3",,"Szeged, Hont Ferenc u. 5, 6723",tiszaklima.hu,06 30 262 8669
"Napfény Klíma - Klíma értékesítés , karbantartás (Gree , Midea , Aux , Polar , Lg )","5,0",,"Szeged, Mérey u. 6/b, 6722",szegedklimaszerelo.hu,06 20 228 1400
teleklima.hu ( GREE márkaképviselet ),"5,0",,"Szeged, Bálint Sándor u. 18/b, 6724",teleklima.hu,06 70 977 7888
"Klíma tisztítás, klíma szerelés Szeged - Klimagyar.hu","5,0",,"Szeged, Hajnóczy u. 23, 6722",klimagyar.hu,06 30 527 3950
Tisza Cool Klíma Kft.,,,"Szeged Sárosi utca 2.10 em/60 ajtó, 6724",tiszacoolklima.hu,06 70 234 9932
Szegedi K.&F. Kft.-Klíma berendezések kereskedelme,"4,9",,"Szeged, Napos út 5, 6728",hutes-klima-technika.hu,(06 62) 464 040
klimamago.hu - Szeged klíma telepítés és szerviz,"5,0",,"Szeged, 6724",klimamago.hu,06 70 236 2029
Frigo Trade Team Klíma Kft,"3,5",,"Szeged, Gádor köz 4, 6710",frigotrade.hu,06 20 999 3336
"DRZ Klíma Kft. - Klíma Beszerelés és Inverteres Klíma, Hűtő Fűtő Klíma, Split Klíma, Szeged, Szeged Klíma","4,8",,"Szeged, Fonógyári út 8, 6728",drzklima.com,06 30 504 4886
ALFA-Klíma Kft.,,,"Szeged, Kossuth Lajos sgrt. 113, 6725",alfa-klima.hu,(06 62) 472 242
Klíma Konstrukt-Gree Klíma Értékesítés,"5,0",,"Szeged, Bérkert u. 74.3, 6726",klimakonstrukt.hu,06 70 227 7234
Szeged Klíma,"3,6",,,szegedklima.hu,06 20 279 6509
Príma Klíma Technika,"5,0",,"Szeged, Dobogó u. 6, 6727",primaklimatechnika.hu,06 20 406 6144
VENTO 2000 Klíma- és Légtechnikai Kft.,"4,9",,"6753 Szeged, Berettyó u.-Tápé Ipari Park, 6753",vento2000.hu,(06 62) 333 992
VENTO 2000 Klíma- és Légtechnikai Kft.,"4,9",,"6753 Szeged, Berettyó u.-Tápé Ipari Park, 6753",vento2000.hu,(06 62) 333 992
Klímatisztítás - Szeged,"5,0",,,klimatisztitasszeged.hu,06 20 489 3470
B-KOMFORT Szeged,"5,0",,"Röszke, Rákóczi Ferenc u. 85, 6758",huto-klima-szeged.hu,06 30 248 7671
Kovács Hűtőgép Kft.,"4,2",,"Szeged, Napos út 5, 6728",,(06 62) 421 122
Szuper Elszo '57 Kft.,"3,2",,"Szeged, Tábor u. 3, 6722",elszo.hu,(06 62) 426 448
KLÍMAPONT - Minker Kft.,"4,0",,"Baja, Szegedi út 113, 6500",klimapont.hu,(06 79) 420 300
Szabó J & G Kft,"4,9",,"Szeged, Szabadkai út 75, 6729",szabohutogep.hu,06 30 912 9050
Szuper Elszo '57 Kft.,"4,0",,"Szeged, Tisza Lajos krt. 39, 6720",elszo.hu,(06 62) 425 353
Auto klíma,"5,0",,"Szeged, Hargitai u. 56, 6726",,
Anna Kúti Áruház,"2,6",,"Szeged, Tisza Lajos krt. 39, 6721",elszo.hu,(06 62) 425 353
Gienger Hungária Épületgépészeti Kft.,"4,9",,"Szeged, Pulz u. 33/B, 6724",gienger.hu,
Munkácsi Szerviz Kft.,"4,5",,"Szeged, Tanács u. 9, 6726",munkacsiszerviz.hu,06 30 465 9477
Autóklíma,"4,6",,"Szeged, Ősz u. 51, 6724",,(06 62) 543 777
"Autotherm Kft. Hűtőautó, hűtős felépítmény és raktérhűtés","4,9",,"Szeged, Lencsés u 1, 6728",autotherm.hu,06 20 910 2050
Aktív Kft. - Aktív szakáruház,"4,4",,"Szeged, Kálvária sugárút 96/b, 6725",aktiv.hu,06 30 162 2147
