Name,Rating,Total Reviews,Address,Website,Phone
Alfa-Klíma Kft.,"4,6",,"Szeged, Kossuth Lajos sgrt. 72/E, 6724",alfa-klima.hu,(06 62) 950 335
"DRZ Klíma Kft. - Klíma Beszerelés és Inverteres Klíma, Hűtő Fűtő Klíma, Split Klíma, Szeged, Szeged Klíma","4,8",,"Szeged, Fonógyári út 8, 6728",drzklima.com,06 30 504 4886
Tisza Cool Klíma Kft.,,,"Szeged Sárosi utca 2.10 em/60 ajtó, 6724",tiszacoolklima.hu,06 70 234 9932
Tisza Klíma - Szeged,"4,3",,"Szeged, Hont Ferenc u. 5, 6723",tiszaklima.hu,06 30 262 8669
"Napfény Klíma - Klíma értékesítés , karbantartás (Gree , Midea , Aux , Polar , Lg )","5,0",,"Szeged, Mérey u. 6/b, 6722",szegedklimaszerelo.hu,06 20 228 1400
teleklima.hu ( GREE márkaképviselet ),"5,0",,"Szeged, Bálint Sándor u. 18/b, 6724",teleklima.hu,06 70 977 7888
Szeged Klíma,"3,6",,,szegedklima.hu,06 20 279 6509
Monaco Klíma Kft.,"4,9",,"Szeged, Algyői út 53/A, 6727",monaco-klima.hu,06 20 937 3090
Dél-Alföldi Klíma Kft - Szeged - Bemutatóterem,"4,9",,"Szeged, Kossuth Lajos sgrt. 45. fsz. 1, 6724",delklima.hu,06 70 434 3879
Klíma Konstrukt-Gree Klíma Értékesítés,"5,0",,"Szeged, Bérkert u. 74.3, 6726",klimakonstrukt.hu,06 70 227 7234
Klímaszerelés,,,"Szeged, Űrhajós u., 6723",,06 70 383 2180
BARANYI Hűtéstechnika és Klímatechnikai Készülékgyártó és Szerviz Kft.,"4,9",,"Hódmezővásárhely, Mester u. 1f, 6800",baranyihutestechnika.hu,06 30 228 8006
"Klíma tisztítás, klíma szerelés Szeged - Klimagyar.hu","5,0",,"Szeged, Hajnóczy u. 23, 6722",klimagyar.hu,06 30 527 3950
P&P klíma kft. - Szeged,"5,0",,"Szeged, Róna u. 27, 6723",ppklima.hu,06 70 243 5222
klimamago.hu - Szeged klíma telepítés és szerviz,"5,0",,"Szeged, 6724",klimamago.hu,06 70 236 2029
