Name,Rating,Total Reviews,Address,Website,Phone
Skorpioklíma (Skorpió King Kft.),"4,9",,"Budapest, Összekötő u. 4, 1173",skorpioklima.hu,06 70 779 0190
"Kakas Zoltán - Klímaszerelés Hűtés-Fűtés, Villanyszerelés, Hőszivattyú, Napelem","5,0",,"Pilisborosjenő, Dugovics Titusz u. 14, 2097",klimatelepites.com,06 30 175 4604
Pannon-klímatech Kft.,"4,3",,"Budapest, Üllői út 545, 1182",pannonklima.hu,(06 1) 295 0296
Klíma Áruház - Webklíma,"4,9",,"Érd, Bagoly u. 83, 2030",webklima.hu,06 30 299 1919
Klíma szerelés,,,"Budapest, Fodros u., 1039",klima-master.hu,06 20 925 9686
Klíma javítás Budapest,,,"Budapest, Havanna u. 1, 1181",klima-javitas-budapest.hu,06 20 611 8463
"Szaniter és Klíma Center , RMG","4,8",,"Budapest, Arany János u. 48, 1221",szaniteresklimacenter.hu,06 30 815 9597
Gree Magyarország,"4,0",,"Szarvas, Arborétum u. 2, 5540",gree-magyarorszag.hu,(06 66) 514 680
Klímaszerelő,,,"Budapest, Széchenyi u., 1081",klimaszerelő.hu,(06 1) 333 8175
"Kisbér Klíma - ifj Csőre József - klímaszerelés, ipari hűtők","4,6",,"Kisbér, Kossuth Lajos u. 53, 2870",,06 20 368 5418
Klíma Szaküzlet,"4,2",,"Érd, Balatoni út 72, 2030",klimaszakuzletem.hu,06 20 382 6376
