Name,Rating,Total Reviews,Address,Website,Phone
Meleget.hu Szolnok,"5,0",,"Szolnok, Thököly út 78, 5000",meleget.hu,06 20 915 2043
Szerelvenybolt.hu,"4,6",,"Kecskemét, Ceglédi út 38, 6000",szerelvenybolt.hu,(06 76) 501 463
Minden Ami Klíma Kft.,"3,6",,"Szolnok, Szántó krt. 62, 5000",,06 20 776 6553
"Gree Sinclair Rcool Klímaáruház - Hűtő Fűtő Klíma és Inverteres Klíma, Sinclair Klíma, Split Klíma, Klíma Akció","5,0",,"Szolnok, Verseghy út 11, 5000",szigetklima.hu,06 20 849 5847
Frigotherm Kft.,"4,1",,"Szolnok, Vércse u. 21, 5000",klimaszolnok.hu,06 70 703 2170
MrMűszaki kereskedés Klíma áruház 06/56-341-133,"4,5",,"Szolnok, Ady Endre út 20, 5000",facebook.com,
"HEVES - JEGES KLÍMA KFT, klímaszerelés, klíma értékesítés és villanyszerelés","3,7",,,heves-jeges.hu,06 30 850 2628
"SzolCool Klímatechnika - Klíma szerelés, beszerelés, karbantartás, szerviz","5,0",,"Szolnok, Béke u. 32, 5000",szolcoolklima.hu,06 70 633 3837
"GLM Építőipari Kft. - KLÍMA, VILLANY, VÍZ szerelés","5,0",,"Szolnok, Kert u. 31, 5000",glmhaz.hu,06 30 981 3842
Tiszavirág klíma,"5,0",,"Szolnok, Fogoly u. 18 Fsz. 4-a. 5000, 5000",tiszaviragklima.hu,06 70 210 8329
Urbán Klímatechnika Kft.,"5,0",,"Szolnok, Dobó István u. 1/a, 5000",urbanklimatechnika.hu,06 20 471 5207
Frigoteam Kft.,"4,2",,"Szolnok, Koszorú u. 4, 5000",frigoteam.hu,(06 56) 513 542
Szanda Klíma,"5,0",,"Szolnok, Szerb Antal u. 9, 5008",,06 30 519 4347
Klíma - Szala Rt.,,,"Szolnok, Remete u. 3, 5008",,(06 56) 428 206
