Name,Rating,Total Reviews,Address,Website,Phone
"Vasi Klíma Szombathely, Vas megye","5,0",,"Szombathely, Reismann János u. 15, 9700",vasiklima.hu,06 20 425 9233
Vasi Hűtéstechnika - Szombathely,"4,3",,"Szombathely, Csók István u. 22, 9700",vasihutestechnika.hu,06 30 682 5448
Vasi Alfa Bau Kft.,"5,0",,"Szombathely, Mészáros Lőrinc u. 1, 9700",alfabau.hu,06 30 864 5499
"Express Klíma, klímaszerelés és értékesítés Szombathelyen, Vas megyében","4,6",,"Szombathely, Tömjénhegy u. 28, 9700",klimaszereles-szombathely.hu,06 20 222 2470
KOHO Klíma Kft.,"5,0",,"Szombathely, Dob u. 2, 9700",kohoklima.hu,06 30 300 7653
SavariaKlíma - Klímaszerelés és Villanyszerelés Szombathely,"5,0",,"Szombathely, Szigligeti Ede u. 74, 9700",savariaklima.hu,06 20 345 9905
Nardai Hűtő és Klímatechnikai Kft.,"4,9",,"Szombathely, Tulipán u. 11/a, 9700",nardaiklima.hu,06 30 594 7413
Gárty Kft.,"3,2",,,klimaszereles.hu,06 70 312 0501
MAY -WAY Kft.,"5,0",,"Szombathely, Vépi út 2/B, 9700",mayway.hu,(06 94) 501 596
Dobosi Kft.,"4,2",,"Szombathely, Nagy Lajos király u. 1, 9700",dobosi.hu,(06 94) 508 212
Mál-Ta Elektronikai Szaküzlet,"4,6",,"Szombathely, Losonc u. 20, 9700",mal-ta.eu,(06 94) 510 236
Elkom Hűtéstechnika Kft.,"5,0",,"Szombathely, Lipp Vilmos u. 9, 9700",elkom.hu,(06 94) 505 051
Air Metal Kft.,"4,5",,"Szombathely, Vépi út 2/B, 9700",airmetal.hu,
