Name,Rating,Total Reviews,Address,Website,Phone
Totál Klíma,"5,0",,"Szeged, Sándor u. 31/1, 6723",totalklima.hu,06 30 635 0232
Tisza Klíma - Szeged,"4,3",,"Szeged, Hont Ferenc u. 5, 6723",tiszaklima.hu,06 30 262 8669
"DRZ Klíma Kft. - Klíma Beszerelés és Inverteres Klíma, Hűtő Fűtő Klíma, Split Klíma, Szeged, Szeged Klíma","4,8",,"Szeged, Fonógyári út 8, 6728",drzklima.com,06 30 504 4886
teleklima.hu ( GREE márkaképviselet ),"5,0",,"Szeged, Bálint Sándor u. 18/b, 6724",teleklima.hu,06 70 977 7888
Klíma Konstrukt-Gree Klíma Értékesítés,"5,0",,"Szeged, Bérkert u. 74.3, 6726",klimakonstrukt.hu,06 70 227 7234
AR-T Klímatechnika Kft.,,,"Szatymaz, Rózsa u. 69, 6763",,06 70 392 6388
Nyír-Co Plusz Kft.,"4,6",,"Budapest, Nagyenyed u. 3, 1182",nyir-co-klima.hu,06 30 241 8617
klimastore.hu,,,"Csomád, Kossuth Lajos út 79, 2161",klimastore.hu,
Klíma Szektor,,,,klimaszektor.com,06 30 117 1624
Fűtés klímával,,,,klimas-futes.hu,
MARÓDI-AUTÓ KFT,"5,0",,"Tura, Szent István út 24, 2194",,06 20 329 0745
"Szaniter és Klíma Center , RMG","4,8",,"Budapest, Arany János u. 48, 1221",szaniteresklimacenter.hu,06 30 815 9597
Tradingonline kft. - klimamarkt.hu,"5,0",,"Kerepes, Vasút u. 44, 2144",klimamarkt.hu,
Klimatika,,,"Gödöllő, Kassa u., 2100",klimatika.hu,06 70 408 2283
Klima Kft.,"4,3",,"Budapest, Reitter Ferenc u. 132, 1131",klima.hu,(06 1) 666 7001
Klíma - hőszivattyú :: klimadirekt.hu,"4,7",,"Hévízgyörk, Orgona utca 57, 2192",klimadirekt.hu,06 30 442 8112
"Summer Klíma Kft GREE Márka képviselet. Viszonteladó. FUJITSU, FISHER, TOSHIBA,MIDEA, Klímaszerelés.","4,9",,"Veresegyház, Táborhely u. 5, 2112",summerklima.hu,06 20 489 9856
"Turul klíma és légtechnika, GLS csomagpont","4,9",,"Tatabánya, Szabadság tér 2, 2800",turulklima.hu,(06 34) 483 819
