Name,Rating,Total Reviews,Address,Website,Phone
Toma Klíma Kft.,"4,6",,"Budapest, Páskomliget utca 23, 1156",tomaklima.hu,06 30 378 9904
Légkondi Varázs,"4,2",,"Mogyoród, Gödöllői út 278, 2146",legkondivarazs.hu,06 20 326 6411
"Summer Klíma Kft GREE Márka képviselet. Viszonteladó. FUJITSU, FISHER, TOSHIBA,MIDEA, Klímaszerelés.","4,9",,"Veresegyház, Táborhely u. 5, 2112",summerklima.hu,06 20 489 9856
Klímahatár Kft.,"5,0",,"Veresegyház, Móricz Zsigmond u. 12, 2112",klimahatar.hu,06 20 986 8388
DIMER Kft. Veresi klímaszaküzlet,"5,0",,"Veresegyház, Gödöllői u. 2/A, 2112",dimerkft.hu,06 20 375 8010
"SZABIKLIMA - klímaszerelés, klímatelepítés, gázszerelés","5,0",,,szabiklima.hu,06 30 390 1810
Klimamate,"5,0",,"Veresegyház, Szent István Köz, 2112",klimamate.hu,06 70 341 1281
Veres Klíma Bt.,,,"Veresegyház, Csibaj u. 26, 2112",,(06 1) 137 2141
BrothAIR's Szellőzés és Klímatechnika Kft.,"5,0",,"Veresegyház, Huszka Jenő utca 6/A, 2112",brothairs.hu,06 30 670 6092
"Klíma ÁBC Kft. (klíma értékesítés, klíma telepítés, klíma szervízelés)","4,4",,"Veresegyház, Rózsavölgyi Márk u. 28, 2112",klimaabc.hu,06 70 635 0815
"Autóklíma javítás, feltöltés","5,0",,"Veresegyház, Anonymus u. 104, 2112",,
Autóklíma töltés kiszállással,,,"Veresegyház, Tavasz u., 2112",lakas-autoklimatoltes.hu,06 70 630 0005
