Name,Rating,Total Reviews,Address,Website,Phone
Klíma Centrum,"4,7",,"Veszprém, Házgyári út 5-7, 8200",kcv.hu,06 30 663 0655
P&S Klímaszerelés Kft,"5,0",,"Veszprém, Vécsey Károly u., 8200",klimaszerelesveszprem.hu,06 30 567 6256
Grande Klíma Kft,"5,0",,"Veszprém, Rómer Flóris u. 30, 8200",grandeklima.hu,06 70 675 0752
Cooltrend,"4,6",,"Veszprém, Budapest út 45, 8200",cooltrend.hu,(06 88) 423 277
Molnár Hűtő & Klímatechnika Kft.,"4,5",,"Veszprém, Budapest út 30, 8200",,(06 88) 422 666
Balaton Klíma,"4,9",,"Veszprém, Buzogány u. 11, 8411",balatonklima.hu,06 30 320 8877
4M Frigo,"4,9",,"Veszprém, Házgyári út 5, 8200",4mfrigo.hu,06 70 365 6962
Novák Gábor EV.,"5,0",,"Veszprém, Major u. 17, 8200",,06 20 828 0891
Klímás Tamás,"5,0",,"Veszprém, Lóczy Lajos u., 8200",klimastamas.hu,06 30 514 7130
Veszprém Klímatechnika,"5,0",,"Veszprém, Rózsa u. 26, 8200",veszpremklimatechnika.hu,06 70 940 8710
Alarm MV Autóklíma Kft.,"4,2",,"Veszprém, Kádártai út 33, 8200",autoklimaveszprem.hu,06 30 226 2356
Óceán-L Kft.,"4,3",,"Veszprém, Házgyári út 5, 8200",ocean-l.hu,(06 88) 443 443
Komfort-Bázis Kft. - Villamossági szaküzlet,"4,7",,"Veszprém, Házgyári út 7, 8200",komfort.hu,(06 88) 564 860
