Name,Rating,Total Reviews,Address,Website,Phone
MÁTRA KLÍMA KFT.,"4,7",,"Gyöngyös, Szövetkezet u. 2, 3200",,06 20 939 4797
GalgaKlíma KFT - SáraTamás,"5,0",,"Hévízgyörk, Erdély u. 7, 2192",galgaklima.hu,06 70 275 7323
Profi klímaszerelés,,,"Budapest, Csongor u. 24, 1139",profiklimatisztitas.hu,06 20 943 8440
Mátrai Klíma és Épületgépészet Kft.,"5,0",,"Üllő, Pesti út 22, 2225",matraiklima.hu,06 30 353 2093
Profi Online Bolt Kft.,"4,5",,"Gyál, Vecsési út 89, 2360",pob.hu,06 20 334 1717
Nikovia Klímatechnikai és Ügyviteli Bt.,"5,0",,"Budapest, Beszterce u. 2, 1194",nikovia.hu,06 30 950 3311
Klíma - hőszivattyú :: klimadirekt.hu,"4,7",,"Hévízgyörk, Orgona utca 57, 2192",klimadirekt.hu,06 30 442 8112
Klíma szerelő és Hőszivattyú szerelő,"5,0",,"Felsőpakony, Márai Sándor u. 37, 2363",aklimaszerelo.hu,06 30 972 0035
Bogyisz Kft.- Klíma | Ventilátor |Központi porszívó | Kis- és Nagykereskedés,,,"Budapest, Timót u. 4a, 1097",bogyisz.hu,06 70 560 0901
Klíma Szerelve Webáruház,"5,0",,"Budapest, Lehel u 7/B, 1134",yesklima.hu,06 30 682 5559
KlímaRutin klíma és légtechnikai szaküzlet Pet Store Hungary Kft.,"5,0",,"Budapest, Toborzó udvar 3, 1138",klimarutin.hu,06 20 425 5628
Skorpioklíma (Skorpió King Kft.),"4,9",,"Budapest, Összekötő u. 4, 1173",skorpioklima.hu,06 70 779 0190
Klíma Professional Kft,"5,0",,"Budapest, Kaszáló u. 69, 1173",klimaprofessional.hu,06 20 340 3637
Klíma-bolt.hu,"1,0",,"Szentendre, Napos stny. 20, 2000",klima-bolt.hu,06 20 535 6825
Klímaszerelőnk - Klíma és hőszivattyú szerelés,,,"Budapest, Nagyenyed u. 11, 1132",klimaszerelonk.hu,06 30 623 8903
Mil-Air Klímaszerelés,"5,0",,"Budapest, Üllői út 458, 1183",,06 70 789 5733
Climexpert Kft,"5,0",,"Üllő, Vadvirág u. 10, 2225",climexpert.hu,06 70 364 3500
HELLOKLIMA.COM,"4,3",,"Budapest, Fehér út 10, 1106",helloklima.com,06 70 233 3760
Kistarcsaklíma,"4,7",,"Kistarcsa, Szabadság út 30, 2143",kistarcsaklima.hu,06 70 603 7830
KOVÁCS Hűtő és Klíma Szervíz - Klímaértékesítés - Autóklíma,"5,0",,,klima.mzy.hu,06 20 580 4204
