Name,Rating,Total Reviews,Address,Website,Phone
Ódor Klíma 2000 Kft,"5,0",,"Hévíz, Ady Endre u. 20, 8380",odorklima.hu,06 70 418 7035
Multiker Bt,"4,7",,"Gyenesdiás, Kereskedők útja 4-6, 8315",multikervideo.hu,06 70 606 1631
Klimatrend Hungary Kft.,"4,5",,"Zalaegerszeg, Kaszaházi út 32, 8900",klimatrend.hu,(06 92) 598 200
"Zalaklíma Kft. - Boronyák László klíma forgalmazás, telepítés","5,0",,"Zalaegerszeg, Takarék köz 1-B. lépcsőház. 2. em. 8, 8900",,06 30 979 4210
Jég-Sas Klíma Kft.,"4,8",,"Zalaegerszeg, Újhegyi út 2, 8900",,06 20 536 7660
Kövér Klíma klímaszerés,"5,0",,"Zalaegerszeg, Akácfa u. 7, 8900",,06 30 994 2346
Tulok Gábor Egyéni Vállalkozó,"5,0",,"Zalaegerszeg, Göcseji Pataki Ferenc u. 24, 8900",sterilklima.hu,06 30 911 2913
ThermodinamiC Kft.,,,"Zalaegerszeg, Landorhegyi út 20-A/B/2, 8900",tervezem.hu,06 30 949 9658
Varjasi Zoltán E.V. Villanyszerelés és klímaszereles,,,,,06 30 356 2114
Klimatrend Hungary Kft.,"4,7",,"Zalaegerszeg, Kelemen Imre u. 4, 8900",klimatrend.eu,(06 92) 598 200
Klíma Center Hungary Kft.,"5,0",,"Egervár, Szabadság u. 8, 8913",ttklima.hu,06 30 820 6251
Völler Ferenc Ev.,"4,5",,"Zalaegerszeg, Vizslaparki út 33, 8900",vollervill.hu,06 30 500 0453
Klíma Zalaegerszeg,"5,0",,"Sármellék, Szitaközi u., 8391",zalaegerszeg-klima.hu,06 30 743 8267
