Name,Rating,Total Reviews,Address,Website,Phone
Toma Klíma Kft.,"4,6",,"Budapest, Páskomliget utca 23, 1156",tomaklima.hu,06 30 378 9904
Klíma Áruház - Webklíma,"4,9",,"Érd, Bagoly u. 83, 2030",webklima.hu,06 30 299 1919
Nagymarosi háztartási gép és klíma szerviz,"5,0",,"Nagymaros, Váci út 60, 2626",,
Klíma.Shop.hu,"5,0",,"Piliscsév, Szilvás u. 22, 2519",cooltradetechnika.hu,06 70 395 4380
Klíma-bolt.hu,"1,0",,"Szentendre, Napos stny. 20, 2000",klima-bolt.hu,06 20 535 6825
"Kakas Zoltán - Klímaszerelés Hűtés-Fűtés, Villanyszerelés, Hőszivattyú, Napelem","5,0",,"Pilisborosjenő, Dugovics Titusz u. 14, 2097",klimatelepites.com,06 30 175 4604
Klíma Szerelve Webáruház,"5,0",,"Budapest, Lehel u 7/B, 1134",yesklima.hu,06 30 682 5559
Cool Comfort Klíma Kft,"4,6",,"Zsámbék, Etyeki u. 40, 2072",ccklima.hu,06 70 433 4566
KlímaRutin klíma és légtechnikai szaküzlet Pet Store Hungary Kft.,"5,0",,"Budapest, Toborzó udvar 3, 1138",klimarutin.hu,06 20 425 5628
"Frozente Klímatechnika Kft - Klímatelepítés Kispest,Klímakarbantartás Kispest, klímaszerelés","5,0",,"Budapest, Toldy u. 15, 1191",kispestklima.hu,06 30 640 8408
Bogyisz Kft.- Klíma kis- és nagykereskedés,"4,4",,"Budapest, Timót u. 4a, 1097",bogyisz.hu,06 70 560 0901
"SZABIKLIMA - klímaszerelés, klímatelepítés, gázszerelés","5,0",,,szabiklima.hu,06 30 390 1810
Profi klímaszerelés,,,"Budapest, Csongor u. 24, 1139",profiklimatisztitas.hu,06 20 943 8440
Frozen Air Klíma Webshop,"5,0",,"Budapest, Szent István u. 3, 1039",frozenair.hu,06 70 381 3960
BHG Klíma - Klímaszerelés,"4,4",,"Budapest, Jászberényi út 29/b, 1102",bhgklima.hu,06 30 644 6868
N&Sz Klíma,,,"Budapest, Frangepán u. 61, 1135",facebook.com,06 20 529 3505
Hidegklima.hu,"4,2",,"Budapest, Kerepesi út, 1173",hidegklima.hu,06 30 207 0840
Klíma Kisházi,"5,0",,"Budapest, Kövér Lajos u. 45, 1149",klimakishazi7.webnode.hu,06 70 603 1267
Thermonet Kft. - Villamossági - Klíma - Kazán áruház,"3,5",,"Budapest, Hidegkúti út 283, 1028",,06 70 703 8112
Pannon-klímatech Kft.,"4,3",,"Budapest, Üllői út 545, 1182",pannonklima.hu,(06 1) 295 0296
Klíma Áruház - Webklíma,"4,9",,"Érd, Bagoly u. 83, 2030",webklima.hu,06 30 299 1919
Klíma Kisházi,"5,0",,"Budapest, Kövér Lajos u. 45, 1149",klimakishazi7.webnode.hu,06 70 603 1267
Nikovia Klímatechnikai és Ügyviteli Bt.,"5,0",,"Budapest, Beszterce u. 2, 1194",nikovia.hu,06 30 950 3311
N&Sz Klíma,,,"Budapest, Frangepán u. 61, 1135",facebook.com,06 20 529 3505
Mil-Air Klímaszerelés,"5,0",,"Budapest, Üllői út 458, 1183",,06 70 789 5733
"Szigetklíma - Klímaszerelés és Klíma Tisztítás, Inverteres Klíma, GREE Klíma, Klíma Akció","4,4",,"Budaörs, Vasútsor utca 25, 2040",szigetklima.hu,06 20 849 5847
Hisense klíma webshop,"4,4",,"Budapest, Lomb u. 15, 1139",hisense-klima.hu,06 30 432 0234
eklima.hu Webáruház,"4,2",,"Tököl, Hangár u. 7-16. Épület, 2316",eklima.hu,06 30 600 9306
Thermonet Kft. - Villamossági - Klíma - Kazán áruház,"3,5",,"Budapest, Hidegkúti út 283, 1028",,06 70 703 8112
Első Hókristály Kft.,"4,7",,"Gödöllő, Rét u. 2, 2100",,(06 28) 513 736
Frozen Air Klíma Webshop,"5,0",,"Budapest, Szent István u. 3, 1039",frozenair.hu,06 70 381 3960
DT Klíma és Villanyszerelés,"5,0",,"Budapest, Fiume u. 58-Fszt. 7, 1202",dtklima.hu,06 30 389 9042
“HIDEGMELEG” Klima Hőszivattyú,"4,7",,"Érd, Tárnoki út 36, 2030",hidegmeleg.hu,06 20 801 4372
Mátrai Klíma és Épületgépészet Kft.,"5,0",,"Üllő, Pesti út 22, 2225",matraiklima.hu,06 30 353 2093
Klíma Tech,"4,5",,"Budapest, Béke tér, 1139",klima-tech.hu,06 20 217 8178
"Szaniter és Klíma Center , RMG","4,8",,"Budapest, Arany János u. 48, 1221",szaniteresklimacenter.hu,06 30 815 9597
ICEKLÍMA,"3,8",,"Diósd, Homokbánya u. 77, 2049",iceklima.hu,06 20 231 2880
Klímaszerelőnk - Klíma és hőszivattyú szerelés,,,"Budapest, Nagyenyed u. 11, 1132",klimaszerelonk.hu,06 30 623 8903
Klíma és Hűtéstechnikai Kft. Klima-Hőszivattyú Gödöllő,"4,2",,"Gödöllő, Bajcsy-Zsilinszky utca 21-25 fsz 2, 2100",klima-hutestechnika.hu,06 30 934 3689
Fagyos-Szentek Kft,"4,8",,"Budapest, Bemutatóterem, Torbágy u. 2, 1118",technofrig.hu,06 30 833 7761
JegesEmber Klíma,"4,6",,,jegesemberklima.hu,06 70 788 9701
Petrov Klíma,"5,0",,"km, Monor, 4-es Főút 34, 2200",prcooling.hu,06 30 131 2244
Neo Klíma Kft. (Iroda és értékesítés),"5,0",,"Budapest, Hunyadi u. 47. szám, 1196",neoklima.hu,06 20 942 9577
Klíma Hungary Kft.,"4,8",,"Budapest, Lóránt út 24/A, 1125",klimahungary.hu,06 70 626 3477
Com-Klíma Kft.,,,"Komárom, Bajcsy-Zsilinszky u. 10, 2900",comklima.hu,06 30 515 3260
Kistarcsaklíma,"4,7",,"Kistarcsa, Szabadság út 30, 2143",kistarcsaklima.hu,06 70 603 7830
Boros Dániel E. V.,,,"Budakeszi, erdő utca 45, 2092",,06 70 389 4870
