Name,Rating,Total Reviews,Address,Website,Phone
KAPFER KLIMA KFT.,"5,0",,"Gyál, Szélső u. 29/2, 2360",kapferklima.hu,06 30 940 4649
Szerelvénybolt Kft. (Logisztika),"4,9",,"Budapest, Üllői út 807/b, 1182",nagyker.szerelvenybolt.hu,06 30 506 3039
Mátrai Klíma és Épületgépészet Kft.,"5,0",,"Üllő, Pesti út 22, 2225",matraiklima.hu,06 30 353 2093
"H-F klíma - Klíma Beszerelés és Klímatisztítás, Split Klíma, Inverteres Klíma, GREE Klíma","5,0",,"Üllő, Damjanich u. 34, 2225",hfklima.hu,06 30 274 3329
Evoklima.hu KFT,"5,0",,"Üllő, Ady Endre u. 13, 2225",evoklima.hu,06 30 090 5767
Mák-klíma,,,"Üllő, Viola u. 7-2ep, 2225",,06 30 930 3672
"Fülöp Cool Klíma szerelő Kft. Klíma telepítés, karbantartás és tisztítás !","5,0",,"Üllő, Ady Endre u. 24, 2225",facebook.com,06 30 415 0219
Climexpert Kft,"5,0",,"Üllő, Vadvirág u. 10, 2225",climexpert.hu,06 70 364 3500
Pannon-klímatech Kft.,"4,3",,"Budapest, Üllői út 545, 1182",pannonklima.hu,(06 1) 295 0296
Mil-Air Klímaszerelés,"5,0",,"Budapest, Üllői út 458, 1183",,06 70 789 5733
